"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error"
"boundary1",1,1.859685,1.78555,"group",-0.0741349999999998,-0.0398642780901066
"boundary",1,1.850615,2.027995,"group",0.17738,0.0958492176924968
"tau1",1,0.134473,0.137671,"group",0.00319799999999998,0.0237817256995827
"tau",1,0.0798233,0.0814321,"group",0.00160880000000001,0.0201545162878509
"drift_con",1,0.7585665,2.222105,"group",1.4635385,1.92934765772019
"urgency",1,0.153088,0.2438215,"group",0.0907335,0.592688519021739
"wgt_pun",1,0.2463515,0.0463922,"group",-0.1999593,-0.811682900246193
"wgt_rew",1,0.532409,0.720496,"group",0.188087,0.353275395419687
"update",1,0.3957345,0.1540475,"group",-0.241687,-0.610730173891839
"boundary1",2,1.691695,1.7117,"group",0.0200050000000001,0.0118254177023636
"boundary",2,1.10635,1.21731,"group",0.11096,0.100293758756271
"tau1",2,0.05943925,0.07941345,"group",0.0199742,0.336043944026885
"tau",2,0.05235265,0.0566296,"group",0.00427695,0.0816950049328926
"drift_con",2,2.902235,2.98281,"group",0.0805749999999996,0.0277630860354174
"urgency",2,0.0928433,0.210407,"group",0.1175637,1.26625938543761
"wgt_pun",2,0.195622,0.1090435,"group",-0.0865785,-0.442580589095296
"wgt_rew",2,0.6764455,0.7050195,"group",0.028574,0.0422413926916507
"update",2,0.08547005,0.1021035,"group",0.01663345,0.19461144576375
"boundary1",3,2.12054,2.16494,"group",0.0444,0.0209380629462307
"boundary",3,1.852945,1.916505,"group",0.0635599999999998,0.0343021514400049
"tau1",3,0.05905335,0.1249875,"group",0.06593415,1.11651836855995
"tau",3,0.0569802,0.08547365,"group",0.02849345,0.500058792352431
"drift_con",3,1.51406,2.03489,"group",0.52083,0.343995614440643
"urgency",3,0.1690815,0.2060235,"group",0.036942,0.218486351256643
"wgt_pun",3,0.344033,0.0752193,"group",-0.2688137,-0.781360218351147
"wgt_rew",3,0.582737,0.6942525,"group",0.1115155,0.191365058336779
"update",3,0.563258,0.3402355,"group",-0.2230225,-0.395950878638208
"boundary1",4,2.59342,2.395525,"group",-0.197895,-0.0763065758727857
"boundary",4,2.22178,2.01484,"group",-0.20694,-0.0931415351654979
"tau1",4,0.162677,0.1436425,"group",-0.0190345,-0.11700793597128
"tau",4,0.115937,0.0972347,"group",-0.0187023,-0.161314334509259
"drift_con",4,3.01768,2.48351,"group",-0.53417,-0.177013467299382
"urgency",4,0.3566965,0.3622705,"group",0.00557400000000002,0.0156267302875134
"wgt_pun",4,0.5320715,0.174336,"group",-0.3577355,-0.672344788247444
"wgt_rew",4,0.588392,0.6746215,"group",0.0862295,0.14655110878462
"update",4,0.0667907,0.1438225,"group",0.0770318,1.1533312272517
"boundary1",5,1.941055,2.238955,"group",0.2979,0.153473240067901
"boundary",5,1.344665,1.324115,"group",-0.0205500000000001,-0.0152826168599615
"tau1",5,0.059183,0.105583,"group",0.0464,0.784008921480831
"tau",5,0.0533539,0.06677685,"group",0.01342295,0.251583295691599
"drift_con",5,2.975835,2.98404,"group",0.00820500000000024,0.00275720932108139
"urgency",5,0.1227215,0.3047735,"group",0.182052,1.48345644406237
"wgt_pun",5,0.0961721,0.09517725,"group",-0.000994850000000005,-0.0103444762046374
"wgt_rew",5,0.7079615,0.7044695,"group",-0.00349199999999994,-0.00493247161039116
"update",5,0.229706,0.188689,"group",-0.041017,-0.178563032746206
"boundary1",6,1.80078,1.889185,"group",0.0884049999999998,0.0490926154222058
"boundary",6,1.357995,1.32105,"group",-0.036945,-0.0272055493576928
"tau1",6,0.0834599,0.100714,"group",0.0172541,0.206735210562198
"tau",6,0.0623371,0.06893865,"group",0.00660154999999999,0.105900819896979
"drift_con",6,3.533485,2.71786,"group",-0.815625,-0.230827355995568
"urgency",6,0.107149,0.361533,"group",0.254384,2.37411455076576
"wgt_pun",6,0.386014,0.04819105,"group",-0.33782295,-0.875157248182708
"wgt_rew",6,0.668323,0.727161,"group",0.0588379999999999,0.088038268920866
"update",6,0.04777225,0.25241,"group",0.20463775,4.28361130154012
"boundary1",7,1.386365,1.484245,"group",0.09788,0.0706018977686251
"boundary",7,0.8442045,0.9135195,"group",0.069315,0.082106882870205
"tau1",7,0.05917255,0.08262775,"group",0.0234552,0.39638650015928
"tau",7,0.0513335,0.05872395,"group",0.00739045,0.14396933776189
"drift_con",7,0.9676915,2.637015,"group",1.6693235,1.72505752091446
"urgency",7,0.08072355,0.834085,"group",0.75336145,9.33261049594573
"wgt_pun",7,0.2615495,0.07607555,"group",-0.18547395,-0.709135173265481
"wgt_rew",7,0.553979,0.7068205,"group",0.1528415,0.275897642329403
"update",7,0.2897875,0.118326,"group",-0.1714615,-0.591680110425743
"boundary1",8,0.680033,0.643017,"group",-0.037016,-0.0544326525330389
"boundary",8,0.607383,0.670031,"group",0.062648,0.103144144633617
"tau1",8,0.05271095,0.0607286,"group",0.00801765,0.152105966597073
"tau",8,0.0512214,0.053738,"group",0.00251659999999999,0.0491318081895457
"drift_con",8,1.000315,2.95462,"group",1.954305,1.95368958777985
"urgency",8,0.07145415,0.301959,"group",0.23050485,3.22591270066189
"wgt_pun",8,0.3941665,0.0752725,"group",-0.318894,-0.809033745891647
"wgt_rew",8,0.4872535,0.714803,"group",0.2275495,0.467004341682512
"update",8,0.4043525,0.05921255,"group",-0.34513995,-0.853562052911754
"boundary1",9,1.365125,1.367235,"group",0.00211000000000006,0.00154564600311331
"boundary",9,1.11563,1.113505,"group",-0.00212499999999993,-0.00190475336805207
"tau1",9,0.05889215,0.0872041,"group",0.02831195,0.480742340023246
"tau",9,0.0533644,0.0673085,"group",0.0139441,0.261299667943423
"drift_con",9,0.768816,2.375155,"group",1.606339,2.08936728684106
"urgency",9,0.114479,0.2163375,"group",0.1018585,0.889757073349698
"wgt_pun",9,0.3876585,0.1365175,"group",-0.251141,-0.647840818658691
"wgt_rew",9,0.444016,0.6792705,"group",0.2352545,0.529833384382545
"update",9,0.3615175,0.16226,"group",-0.1992575,-0.551169722074312
"boundary1",10,1.16626,1.29537,"group",0.12911,0.110704302642635
"boundary",10,1.261515,1.266765,"group",0.00524999999999998,0.00416166276263063
"tau1",10,0.05621725,0.0876857,"group",0.03146845,0.559765018744247
"tau",10,0.0530217,0.06651605,"group",0.01349435,0.254506173887295
"drift_con",10,1.755685,2.54742,"group",0.791735,0.45095504034038
"urgency",10,0.07807075,0.1509945,"group",0.07292375,0.934072620027347
"wgt_pun",10,0.177826,0.10322,"group",-0.074606,-0.419544948432738
"wgt_rew",10,0.63847,0.6981045,"group",0.0596344999999999,0.0934021958745124
"update",10,0.228553,0.122488,"group",-0.106065,-0.464071790788132
"boundary1",11,2.42304,2.5694,"group",0.14636,0.0604034601162175
"boundary",11,2.259735,2.530735,"group",0.271,0.119925566493416
"tau1",11,0.09614015,0.1488315,"group",0.05269135,0.548068106821135
"tau",11,0.07195575,0.0922569,"group",0.02030115,0.282133811404926
"drift_con",11,2.27764,2.54223,"group",0.26459,0.116168490191602
"urgency",11,0.1114615,0.192693,"group",0.0812315,0.72878527563329
"wgt_pun",11,0.127881,0.105468,"group",-0.022413,-0.175264503718301
"wgt_rew",11,0.680774,0.699341,"group",0.018567,0.0272733682543693
"update",11,0.261449,0.1453315,"group",-0.1161175,-0.444130595259496
"boundary1",12,1.80385,1.74742,"group",-0.05643,-0.0312830889486376
"boundary",12,1.6774,1.897705,"group",0.220305,0.131337188506021
"tau1",12,0.0574598,0.122491,"group",0.0650312,1.13176864520935
"tau",12,0.0568115,0.08082645,"group",0.02401495,0.422712831028929
"drift_con",12,0.8888235,2.54382,"group",1.6549965,1.86200803646618
"urgency",12,0.135675,0.324625,"group",0.18895,1.39266629813894
"wgt_pun",12,0.354055,0.0599978,"group",-0.2940572,-0.830541017638503
"wgt_rew",12,0.498905,0.7154705,"group",0.2165655,0.434081638788948
"update",12,0.374393,0.199901,"group",-0.174492,-0.466066406156098
"boundary1",13,2.49228,2.40175,"group",-0.0905300000000002,-0.036324169033977
"boundary",13,1.808105,2.04396,"group",0.235855,0.130443198818653
"tau1",13,0.075714,0.1796425,"group",0.1039285,1.372645745833
"tau",13,0.07497275,0.08138865,"group",0.0064159,0.0855764261014836
"drift_con",13,2.212335,2.818855,"group",0.60652,0.27415377869988
"urgency",13,0.1261055,0.3503445,"group",0.224239,1.77818572544417
"wgt_pun",13,0.1589915,0.1348025,"group",-0.024189,-0.152140208753298
"wgt_rew",13,0.673251,0.692216,"group",0.0189649999999999,0.0281692860463629
"update",13,0.6256275,0.0730684,"group",-0.5525591,-0.883207819349373
"boundary1",14,1.293725,1.231135,"group",-0.0625899999999999,-0.0483796788343736
"boundary",14,1.29517,1.37465,"group",0.07948,0.0613664615455886
"tau1",14,0.05863605,0.0954028,"group",0.03676675,0.627033198859746
"tau",14,0.05675725,0.06845605,"group",0.0116988,0.206119923005431
"drift_con",14,1.146495,3.01331,"group",1.866815,1.62828010588795
"urgency",14,0.09474435,0.196696,"group",0.10195165,1.07607102692667
"wgt_pun",14,0.55597,0.1279535,"group",-0.4280165,-0.769855387880641
"wgt_rew",14,0.339045,0.698461,"group",0.359416,1.0600834697459
"update",14,0.54276,0.0383654,"group",-0.5043946,-0.929314245707127
"boundary1",15,1.82268,1.853675,"group",0.0309949999999999,0.0170051791866921
