"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error"
"boundary1",1,1.891635,1.82502,"group",-0.0666150000000001,-0.0352155674852707
"boundary",1,1.8406,2.05052,"group",0.20992,0.114049766380528
"tau1",1,0.1333015,0.185002,"group",0.0517005,0.38784634831566
"tau",1,0.0804829,0.07696015,"group",-0.00352274999999999,-0.0437701673274695
"drift_con",1,0.8413185,1.973285,"group",1.1319665,1.34546726358686
"urgency",1,0.1517885,0.1138295,"group",-0.037959,-0.250078233858296
"wgt_pun",1,0.4435305,0.195311,"group",-0.2482195,-0.559644714399573
"wgt_rew",1,0.4138785,0.657218,"group",0.2433395,0.587949120333625
"update",1,0.5942075,0.1135725,"group",-0.480635,-0.808867272796119
"boundary1",2,1.62542,1.572565,"group",-0.0528550000000001,-0.0325177492586532
"boundary",2,0.973018,0.9920525,"group",0.0190345,0.019562330809913
"tau1",2,0.0594727,0.07854075,"group",0.01906805,0.320618535899665
"tau",2,0.0525377,0.05816735,"group",0.00562965,0.10715448144856
"drift_con",2,3.728315,1.09264,"group",-2.635675,-0.70693463401027
"urgency",2,0.1178665,0.154983,"group",0.0371165,0.314902877407915
"wgt_pun",2,0.728777,0.3740475,"group",-0.3547295,-0.486746288645223
"wgt_rew",2,0.0819733,0.5067285,"group",0.4247552,5.18162865225628
"update",2,0.629057,0.453188,"group",-0.175869,-0.279575618743611
"boundary1",3,2.050705,2.227665,"group",0.17696,0.086292275095638
"boundary",3,1.73721,1.983905,"group",0.246695,0.142006435606519
"tau1",3,0.05912125,0.128471,"group",0.06934975,1.17300885891283
"tau",3,0.05626505,0.07168535,"group",0.0154203,0.274065338962642
"drift_con",3,1.73518,2.07165,"group",0.33647,0.193910718196383
"urgency",3,0.18547,0.1715585,"group",-0.0139115,-0.0750067396344423
"wgt_pun",3,0.5657285,0.0953235,"group",-0.470405,-0.831503097333792
"wgt_rew",3,0.4141945,0.6883615,"group",0.274167,0.661928152112111
"update",3,0.4612575,0.172315,"group",-0.2889425,-0.6264234185894
"boundary1",4,2.621585,3.09598,"group",0.474395,0.180957321620318
"boundary",4,2.31004,2.55832,"group",0.24828,0.10747865837821
"tau1",4,0.1622805,0.215606,"group",0.0533255,0.328600786909086
"tau",4,0.109416,0.08376885,"group",-0.02564715,-0.234400361921474
"drift_con",4,3.12608,2.598215,"group",-0.527865,-0.168858442522264
