"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error"
"boundary1",1,1.87067,1.87543,"group",0.0047600000000001,0.00254454286432139
"boundary",1,1.86454,1.89345,"group",0.0289100000000002,0.0155051648127689
"tau1",1,0.134153,0.1321755,"group",-0.00197749999999999,-0.0147406319649951
"tau",1,0.0796721,0.0892804,"group",0.0096083,0.120598051262613
"drift_con",1,0.6251895,1.85438,"group",1.2291905,1.96610867584948
"urgency",1,0.148603,0.3177545,"group",0.1691515,1.13827782750012
"Arew",1,0.6048165,0.434056,"group",-0.1707605,-0.282334393985614
"Apun",1,0.16323,0.03116305,"group",-0.13206695,-0.80908503338847
"K",1,1.462005,2.979515,"group",1.51751,1.03796498643986
"betaF",1,-0.042847,-0.130135,"group",-0.087288,-2.03720213783929
"betaP",1,-0.814394,0.3171585,"group",1.1315525,1.38944110590206
"boundary1",2,1.93409,1.789305,"group",-0.144785,-0.0748594946460608
"boundary",2,1.19947,1.238175,"group",0.038705,0.0322684185515269
"tau1",2,0.0592815,0.1064245,"group",0.047143,0.7952396616145
"tau",2,0.05318415,0.0635245,"group",0.01034035,0.194425406817633
"drift_con",2,1.20973,1.91935,"group",0.70962,0.586593702727055
"urgency",2,0.0933899,0.4460505,"group",0.3526606,3.77621777087244
"Arew",2,0.6087885,0.459106,"group",-0.1496825,-0.245869460411949
"Apun",2,0.0888503,0.02191785,"group",-0.06693245,-0.753317096284424
"K",2,2.675995,2.730895,"group",0.0549000000000004,0.0205157334000999
"betaF",2,0.976058,-0.00462998,"group",-0.98068798,-1.00474355007592
"betaP",2,0.4032495,0.4422815,"group",0.039032,0.0967936724038094
"boundary1",3,2.284405,2.116225,"group",-0.16818,-0.073620920983801
"boundary",3,1.95082,2.092995,"group",0.142175,0.0728796096000657
"tau1",3,0.05894965,0.106828,"group",0.04787835,0.812190572802383
"tau",3,0.05668435,0.07869155,"group",0.0220072,0.388241198849418
"drift_con",3,0.702213,1.13693,"group",0.434717,0.619067149141357
"urgency",3,0.153629,0.1994315,"group",0.0458025,0.298137070474975
"Arew",3,0.7187545,0.6227325,"group",-0.0960219999999999,-0.133594989666152
"Apun",3,0.433882,0.0593589,"group",-0.3745231,-0.863191144135963
"K",3,1.378625,0.9134925,"group",-0.4651325,-0.33738870251156
"betaF",3,0.998833,0.2067455,"group",-0.7920875,-0.793012946108108
"betaP",3,1.418245,1.022275,"group",-0.39597,-0.279197176792444
"boundary1",4,1.78956,1.632625,"group",-0.156935,-0.0876947406066296
"boundary",4,1.178285,1.20167,"group",0.023385,0.0198466415171202
"tau1",4,0.05813815,0.0919022,"group",0.03376405,0.580755493595857
"tau",4,0.0521161,0.0687852,"group",0.0166691,0.319845498799795
"drift_con",4,1.066595,2.323145,"group",1.25655,1.17809477824291
"urgency",4,0.07575355,0.249488,"group",0.17373445,2.29341661215877
"Arew",4,0.4734365,0.60258,"group",0.1291435,0.272778926001692
"Apun",4,0.0689812,0.0497269,"group",-0.0192543,-0.279123877230318
"K",4,2.74415,3.19129,"group",0.44714,0.162942987810433
"betaF",4,0.533214,-0.07334105,"group",-0.60655505,-1.13754524449846
"betaP",4,-0.2127,-0.244685,"group",-0.031985,-0.150376116596145
"boundary1",5,1.400875,1.4573,"group",0.0564249999999999,0.0402783974301775
"boundary",5,0.8530455,0.8768645,"group",0.0238189999999999,0.0279223089506948
"tau1",5,0.05914375,0.07484715,"group",0.0157034,0.265512416781148
"tau",5,0.0513259,0.06036115,"group",0.00903525,0.1760368546874
"drift_con",5,0.6914865,1.932025,"group",1.2405385,1.79401694754706
"urgency",5,0.0807454,0.197375,"group",0.1166296,1.44441169404078
"Arew",5,0.4072485,0.557993,"group",0.1507445,0.370153604003452
"Apun",5,0.1351205,0.1073125,"group",-0.027808,-0.205801488301183
"K",5,2.44887,1.49296,"group",-0.95591,-0.390347384712132
"betaF",5,0.7504305,-0.417564,"group",-1.1679945,-1.55643260768319
"betaP",5,0.4318295,0.9622225,"group",0.530393,1.22824633333295
"boundary1",6,0.6821645,0.738422,"group",0.0562575,0.0824691111894564
"boundary",6,0.609219,0.633691,"group",0.024472,0.0401694628696742
"tau1",6,0.05270955,0.05875195,"group",0.0060424,0.114635772834335
"tau",6,0.05122005,0.05430975,"group",0.0030897,0.0603220809038648
"drift_con",6,0.670537,1.493375,"group",0.822838,1.22713288006478
"urgency",6,0.0713176,0.2393005,"group",0.1679829,2.35541998048168
"Arew",6,0.486069,0.514121,"group",0.0280520000000001,0.0577119709341679
"Apun",6,0.4075865,0.137958,"group",-0.2696285,-0.661524608886703
"K",6,2.413345,0.985747,"group",-1.427598,-0.591543272926167
"betaF",6,-0.3963985,-0.4203795,"group",-0.023981,-0.060497201679623
"betaP",6,-0.4401815,0.990856,"group",1.4310375,3.25101691007005
"boundary1",7,1.491785,1.513265,"group",0.0214799999999999,0.0143988577442459
"boundary",7,1.02241,0.9766935,"group",-0.0457165,-0.0447144491935721
"tau1",7,0.05879475,0.1026295,"group",0.04383475,0.745555513034752
"tau",7,0.0516105,0.06565575,"group",0.01404525,0.272139390240358
"drift_con",7,1.19956,1.59623,"group",0.39667,0.330679582513588
"urgency",7,0.09017105,0.225602,"group",0.13543095,1.5019338246588
"Arew",7,0.4514745,0.5024405,"group",0.0509660000000001,0.112887881818353
"Apun",7,0.07112185,0.0396668,"group",-0.03145505,-0.442269850967038
"K",7,2.28671,2.052155,"group",-0.234555,-0.102573129080644
"betaF",7,0.2436185,-0.04284465,"group",-0.28646315,-1.17586780150112
"betaP",7,-0.6461075,0.7316755,"group",1.377783,2.13243616580832
"boundary1",8,2.404145,2.902995,"group",0.49885,0.207495804121632
"boundary",8,1.236975,1.200115,"group",-0.0368599999999999,-0.0297985003738959
"tau1",8,0.0771337,0.103694,"group",0.0265603,0.344341059744314
"tau",8,0.05518385,0.0631784,"group",0.00799455,0.144871189668716
"drift_con",8,0.9011945,1.62694,"group",0.7257455,0.805315056849548
"urgency",8,0.07960415,0.308881,"group",0.22927685,2.88021227536504
"Arew",8,0.2534895,0.67421,"group",0.4207205,1.65971568842102
"Apun",8,0.0807642,0.03765315,"group",-0.04311105,-0.533789104578514
"K",8,1.87721,2.67936,"group",0.80215,0.427309677659932
"betaF",8,0.8840195,0.0881934,"group",-0.7958261,-0.900235911085672
"betaP",8,-0.996752,0.365292,"group",1.362044,1.36648233462286
"boundary1",9,2.49923,2.719905,"group",0.220675,0.0882971955362251
"boundary",9,2.296875,2.29569,"group",-0.00118499999999999,-0.000515918367346935
"tau1",9,0.0948153,0.109557,"group",0.0147417,0.155478071577056
"tau",9,0.07126535,0.114676,"group",0.04341065,0.609141048209263
"drift_con",9,1.092265,1.60861,"group",0.516345,0.472728687635327
"urgency",9,0.111664,0.205394,"group",0.09373,0.839393179538616
"Arew",9,0.511285,0.4339535,"group",-0.0773315,-0.151249303226185
"Apun",9,0.0907012,0.02297385,"group",-0.06772735,-0.746708422821308
"K",9,2.776035,2.762515,"group",-0.0135200000000002,-0.00487025559836248
"betaF",9,0.664407,0.277781,"group",-0.386626,-0.581911388651835
"betaP",9,-0.3352495,0.377077,"group",0.7123265,2.12476528674912
"boundary1",10,1.94129,1.621095,"group",-0.320195,-0.164939292944382
"boundary",10,1.82132,1.763655,"group",-0.0576650000000001,-0.0316611029363319
"tau1",10,0.05702075,0.1374125,"group",0.08039175,1.40986833740349
"tau",10,0.0561907,0.08055775,"group",0.02436705,0.433649162583844
"drift_con",10,1.107585,1.971085,"group",0.8635,0.779624137199402
"urgency",10,0.116743,0.481778,"group",0.365035,3.12682559125601
"Arew",10,0.5434645,0.6249765,"group",0.081512,0.149985877642422
"Apun",10,0.1216585,0.0412474,"group",-0.0804111,-0.660957516326438
"K",10,0.551159,3.169255,"group",2.618096,4.75016465303116
"betaF",10,0.1858105,-0.090362,"group",-0.2761725,-1.48631266801392
"betaP",10,-1.74782,-0.183664,"group",1.564156,0.894918241008799
"boundary1",11,2.65179,2.175535,"group",-0.476255,-0.179597554859171
"boundary",11,1.93287,1.956905,"group",0.0240349999999998,0.0124348766342278
"tau1",11,0.07458225,0.1249855,"group",0.05040325,0.675807581562637
"tau",11,0.0729334,0.0827944,"group",0.00986099999999999,0.135205543687803
"drift_con",11,0.815927,1.9658,"group",1.149873,1.40928416390192
"urgency",11,0.122191,0.1462055,"group",0.0240145,0.196532477842067
"Arew",11,0.7776455,0.3796565,"group",-0.397989,-0.51178718323452
"Apun",11,0.264166,0.0291985,"group",-0.2349675,-0.889469121688635
"K",11,1.63975,2.594135,"group",0.954385,0.582030797377649
"betaF",11,1.05411,-0.04517355,"group",-1.09928355,-1.04285468309759
"betaP",11,1.080465,0.506661,"group",-0.573804,-0.531071344282323
"boundary1",12,1.40355,1.511535,"group",0.107985,0.0769370524740834
"boundary",12,1.429115,1.43822,"group",0.00910499999999992,0.00637107580565589
"tau1",12,0.0587152,0.08229655,"group",0.02358135,0.401622578139902
"tau",12,0.0567628,0.0684813,"group",0.0117185,0.206446827852044
"drift_con",12,1.45457,1.77703,"group",0.32246,0.221687509023285
"urgency",12,0.120198,0.234695,"group",0.114497,0.952569926288291
"Arew",12,0.549365,0.564567,"group",0.015202,0.027671948522385
"Apun",12,0.0574015,0.03143315,"group",-0.02596835,-0.452398456486329
"K",12,2.90004,0.7082415,"group",-2.1917985,-0.755782161625357
"betaF",12,0.38278,-0.1297765,"group",-0.5125565,-1.33903678353101
"betaP",12,0.1420805,0.508194,"group",0.3661135,2.57680329109202
"boundary1",13,2.002185,2.20896,"group",0.206775,0.103274672420381
"boundary",13,1.293235,1.356905,"group",0.0636699999999997,0.0492331246834486
"tau1",13,0.0594519,0.1296555,"group",0.0702036,1.18084703768929
"tau",13,0.05633085,0.06801895,"group",0.0116881,0.207490211846617
"drift_con",13,0.788778,1.55527,"group",0.766492,0.971746169391134
"urgency",13,0.1080755,0.4271435,"group",0.319068,2.95226947828139
"Arew",13,0.611179,0.641639,"group",0.03046,0.0498380998038219
"Apun",13,0.193781,0.06668915,"group",-0.12709185,-0.65585299900403
"K",13,2.40128,2.026685,"group",-0.374595,-0.155998051039446
