"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error"
"boundary1",1,1.86609,1.803365,"group",-0.0627250000000001,-0.0336130626068411
"boundary",1,1.870265,1.91753,"group",0.0472649999999999,0.0252718197688562
"tau1",1,0.1347135,0.1259135,"group",-0.00879999999999997,-0.0653238168409252
"tau",1,0.0793793,0.0943092,"group",0.0149299,0.188083039281022
"drift_con",1,0.50263,0.5880515,"group",0.0854214999999999,0.169949067902831
"urgency",1,0.1482785,0.2369575,"group",0.088679,0.598057034566711
"gain",1,0.2375365,0.549457,"group",0.3119205,1.31314766362222
"loss",1,3.303955,2.66115,"group",-0.642805,-0.19455622125604
"decay",1,0.4942,0.6086425,"group",0.1144425,0.231571226224201
"epP",1,-0.5181235,0.255587,"group",0.7737105,1.4932935873397
"epN",1,-0.2624845,1.0075,"group",1.2699845,4.8383218818635
"K",1,0.456611,0.813458,"group",0.356847,0.78151205292908
"w",1,0.3612135,0.315044,"group",-0.0461695,-0.127817758749327
"boundary1",2,2.273135,2.032035,"group",-0.2411,-0.106064971944033
"boundary",2,1.931435,1.858705,"group",-0.07273,-0.0376559397546384
"tau1",2,0.05890465,0.1072725,"group",0.04836785,0.821121082970529
"tau",2,0.0567824,0.0818981,"group",0.0251157,0.442314872213926
"drift_con",2,0.8071775,0.798216,"group",-0.00896149999999996,-0.0111022668496086
"urgency",2,0.161328,0.1889085,"group",0.0275805,0.170959163939304
"gain",2,0.50883,0.400549,"group",-0.108281,-0.212803883418824
"loss",2,3.9783,2.43217,"group",-1.54613,-0.388640876756403
"decay",2,0.4880465,0.678092,"group",0.1900455,0.389400395249223
"epP",2,1.12145,0.4097215,"group",-0.7117285,-0.634650229613447
"epN",2,0.5398815,0.7219855,"group",0.182104,0.337303649041503
"K",2,0.1378595,0.8031355,"group",0.665276,4.82575375654199
"w",2,0.2083925,0.482327,"group",0.2739345,1.3145122785129
"boundary1",3,2.983845,2.56555,"group",-0.418295,-0.140186571353405
"boundary",3,2.33189,2.269195,"group",-0.0626950000000002,-0.0268859165741095
"tau1",3,0.1521555,0.167197,"group",0.0150415,0.0988561044457807
"tau",3,0.110241,0.09595685,"group",-0.01428415,-0.129572028555619
"drift_con",3,0.823531,1.03181,"group",0.208279,0.252909726531242
"urgency",3,0.416156,0.246718,"group",-0.169438,-0.407150203289151
"gain",3,0.4187775,0.381093,"group",-0.0376845,-0.0899869262317102
"loss",3,3.507525,1.571215,"group",-1.93631,-0.552044532825853
"decay",3,0.616052,0.711415,"group",0.095363,0.154796997656042
"epP",3,1.164525,0.5634235,"group",-0.6011015,-0.51617741139091
"epN",3,0.552892,0.808565,"group",0.255673,0.462428467042388
"K",3,0.1432795,0.260136,"group",0.1168565,0.815584225238084
"w",3,0.1966775,0.366933,"group",0.1702555,0.865658247638901
"boundary1",4,1.76389,1.829065,"group",0.065175,0.0369495830238847
"boundary",4,1.18915,1.257625,"group",0.0684750000000001,0.0575831476264559
"tau1",4,0.058244,0.102333,"group",0.044089,0.756970675090996
"tau",4,0.0521731,0.06716435,"group",0.01499125,0.287336769331322
"drift_con",4,0.5281225,0.618128,"group",0.0900055,0.170425422132176
"urgency",4,0.0758754,0.161455,"group",0.0855796,1.12789652509245
"gain",4,0.268856,0.4627735,"group",0.1939175,0.721269006456988
"loss",4,2.556255,2.367095,"group",-0.18916,-0.0739988772638098
"decay",4,0.5512145,0.4709635,"group",-0.080251,-0.145589421178144
"epP",4,0.506174,0.405038,"group",-0.101136,-0.199804810203606
"epN",4,0.2702225,0.9790675,"group",0.708845,2.62319014885881
"K",4,0.7053345,0.836713,"group",0.1313785,0.186264105895855
"w",4,0.393606,0.2995065,"group",-0.0940995,-0.239070288562674
"boundary1",5,2.10374,2.042775,"group",-0.0609650000000004,-0.0289793415536142
"boundary",5,1.404875,1.414475,"group",0.00959999999999983,0.0068333481626478
"tau1",5,0.05918415,0.109613,"group",0.05042885,0.852066811806877
"tau",5,0.0556656,0.07038235,"group",0.01471675,0.264377820413325
"drift_con",5,0.836419,0.871473,"group",0.0350539999999999,0.0419096170699134
"urgency",5,0.1282595,0.318451,"group",0.1901915,1.4828648170311
"gain",5,0.5508445,0.4563875,"group",-0.094457,-0.171476705313387
"loss",5,2.80385,1.692275,"group",-1.111575,-0.396445958235997
"decay",5,0.5965735,0.3025745,"group",-0.293999,-0.492812704553588
"epP",5,0.8786405,0.3239495,"group",-0.554691,-0.63130597781459
"epN",5,0.5371585,0.677251,"group",0.1400925,0.260802910128016
"K",5,0.7364695,0.8002565,"group",0.063787,0.0866118691948547
"w",5,0.3666855,0.4819455,"group",0.11526,0.314329309449106
"boundary1",6,2.094575,2.048435,"group",-0.0461399999999998,-0.0220283351037799
"boundary",6,1.38622,1.421165,"group",0.034945,0.0252088413094603
"tau1",6,0.0788788,0.0993714,"group",0.0204926,0.25979857705746
"tau",6,0.0621198,0.0635636,"group",0.0014438,0.0232421868711747
"drift_con",6,1.00951,1.033105,"group",0.023595,0.0233727253816208
"urgency",6,0.1025865,0.3200495,"group",0.217463,2.11980133838273
"gain",6,0.6658395,0.4256455,"group",-0.240194,-0.360738586401077
"loss",6,2.075515,2.659165,"group",0.58365,0.281207314811023
"decay",6,0.332125,0.6397165,"group",0.3075915,0.926131727512232
"epP",6,0.897785,0.416283,"group",-0.481502,-0.536322170675607
"epN",6,0.801315,1.00445,"group",0.203135,0.253502055995458
"K",6,0.447658,0.744846,"group",0.297188,0.663872867233468
"w",6,0.3136735,0.399591,"group",0.0859175,0.27390742284573
"boundary1",7,0.681763,0.694436,"group",0.012673,0.0185885711016879
"boundary",7,0.608842,0.6309685,"group",0.0221265,0.0363419409304878
"tau1",7,0.0527067,0.0609716,"group",0.00826490000000001,0.156809286105941
"tau",7,0.05121505,0.0543595,"group",0.00314445,0.0613969917045868
"drift_con",7,0.5528045,0.7930435,"group",0.240239,0.434582207633983
"urgency",7,0.0710151,0.256442,"group",0.1854269,2.6110911623021
"gain",7,0.531153,0.515805,"group",-0.0153479999999999,-0.0288956289430727
"loss",7,3.44377,2.689595,"group",-0.754175,-0.218996913266565
"decay",7,0.543072,0.369847,"group",-0.173225,-0.318972438277061
"epP",7,-0.556871,0.3627855,"group",0.9196565,1.65147134614659
"epN",7,0.142986,0.902442,"group",0.759456,5.31140111619319
"K",7,0.381278,0.854281,"group",0.473003,1.24057249565934
"w",7,0.3772935,0.341246,"group",-0.0360475,-0.095542329777746
"boundary1",8,1.48112,1.589265,"group",0.108145,0.0730156908285623
"boundary",8,1.01529,1.18835,"group",0.17306,0.170453761979336
"tau1",8,0.0588196,0.1024835,"group",0.0436639,0.742335888037321
"tau",8,0.05160855,0.065195,"group",0.01358645,0.263259673058049
"drift_con",8,0.5378835,0.5331695,"group",-0.004714,-0.00876397956062976
"urgency",8,0.08999725,0.504428,"group",0.41443075,4.6049268172083
"gain",8,0.453478,0.438546,"group",-0.014932,-0.0329277274752028
"loss",8,2.54117,4.34625,"group",1.80508,0.710334216128791
"decay",8,0.517234,0.6433005,"group",0.1260665,0.243732043910493
"epP",8,0.2318695,0.5543685,"group",0.322499,1.39086425769668
"epN",8,0.5535105,0.7350885,"group",0.181578,0.328047977409643
"K",8,0.621979,0.918851,"group",0.296872,0.477302288340925
"w",8,0.363116,0.3718395,"group",0.0087235,0.0240240033487921
"boundary1",9,1.370965,1.286505,"group",-0.08446,-0.0616062408595405
"boundary",9,1.125215,1.164845,"group",0.0396300000000001,0.0352199357456131
"tau1",9,0.0587951,0.0979894,"group",0.0391943,0.666625279997823
"tau",9,0.05331565,0.0706003,"group",0.01728465,0.324194678298023
"drift_con",9,0.5420865,0.6338055,"group",0.091719,0.169196244510793
"urgency",9,0.11337,0.161786,"group",0.048416,0.427061832936403
"gain",9,0.308277,0.580744,"group",0.272467,0.883838236391297
"loss",9,2.556775,3.344525,"group",0.78775,0.308102981294795
"decay",9,0.3246525,0.4475745,"group",0.122922,0.378626377434334
"epP",9,-0.03744925,0.303953,"group",0.34140225,9.11639752465003
