"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error"
"boundary1",1,1.87048,1.85759,"group",-0.0128900000000001,-0.0068912792438305
"boundary",1,1.867,1.873425,"group",0.00642500000000013,0.00344134975897168
"tau1",1,0.1339165,0.153148,"group",0.0192315,0.143608143880702
"tau",1,0.07967505,0.08678185,"group",0.0071068,0.0891973083167189
"drift_con",1,0.5428,0.5650015,"group",0.0222015,0.0409018054532056
"urgency",1,0.148878,0.2268685,"group",0.0779905,0.523855102835879
"gain",1,0.2991625,0.4838095,"group",0.184647,0.617213053106589
"loss",1,2.633705,1.9667,"group",-0.667005,-0.253257293432636
"update",1,0.3874485,0.3219485,"group",-0.0655,-0.169054725982937
"epP",1,-0.4009375,0.3327805,"group",0.733718,1.83000592361652
"epN",1,-0.6070175,0.7030025,"group",1.31002,2.15812558945994
"K",1,0.464778,0.883078,"group",0.4183,0.899999569687033
"w",1,0.373953,0.4115155,"group",0.0375625,0.10044711501178
"boundary1",2,1.89917,1.892645,"group",-0.00652500000000011,-0.00343571138971241
"boundary",2,1.2131,1.2261,"group",0.0130000000000001,0.0107163465501608
"tau1",2,0.0592944,0.0879474,"group",0.028653,0.483232817938962
"tau",2,0.05341935,0.0612066,"group",0.00778725,0.145775828421723
"drift_con",2,0.9995305,0.8341075,"group",-0.165423,-0.165500702579861
"urgency",2,0.09439,0.3103035,"group",0.2159135,2.287461595508
"gain",2,0.3761155,0.291151,"group",-0.0849645,-0.225900022732379
"loss",2,1.240765,1.907545,"group",0.66678,0.537394268858325
"update",2,0.424878,0.574525,"group",0.149647,0.352211693709724
"epP",2,1.110685,0.300584,"group",-0.810101,-0.729370613630327
"epN",2,-0.2745725,0.8266765,"group",1.101249,4.01077675295232
"K",2,0.455464,0.9146945,"group",0.4592305,1.00826958881492
"w",2,0.366403,0.499716,"group",0.133313,0.363842544957328
"boundary1",3,2.25498,1.874085,"group",-0.380895,-0.168912806322007
"boundary",3,1.938925,1.90129,"group",-0.0376350000000001,-0.0194102402104259
"tau1",3,0.0590154,0.225246,"group",0.1662306,2.81673258166512
"tau",3,0.0567412,0.08868825,"group",0.03194705,0.563030919331984
"drift_con",3,0.7692565,0.825388,"group",0.0561315,0.0729685092033671
"urgency",3,0.1580485,0.289335,"group",0.1312865,0.830672230359668
"gain",3,0.640234,0.4907845,"group",-0.1494495,-0.233429496090492
"loss",3,2.944295,0.7588975,"group",-2.1853975,-0.742248144292607
"update",3,0.537512,0.4375295,"group",-0.0999825,-0.186009800711426
"epP",3,1.231265,0.51982,"group",-0.711445,-0.577816310867279
"epN",3,0.129284,0.5175715,"group",0.3882875,3.00336855295319
"K",3,0.1398195,0.7103405,"group",0.570521,4.08041081537268
"w",3,0.23,0.548008,"group",0.318008,1.38264347826087
"boundary1",4,2.936045,2.52681,"group",-0.409235,-0.139383081662577
"boundary",4,2.33871,2.513115,"group",0.174405,0.0745731621278398
"tau1",4,0.152941,0.177565,"group",0.024624,0.161003262696072
"tau",4,0.111556,0.09976025,"group",-0.01179575,-0.105738373552297
"drift_con",4,0.829818,1.416165,"group",0.586347,0.706597109245642
"urgency",4,0.408705,0.765238,"group",0.356533,0.872348026082382
"gain",4,0.6544725,0.586483,"group",-0.0679895,-0.103884426007204
"loss",4,3.583495,0.2883255,"group",-3.2951695,-0.919540699791684
"update",4,0.2005865,0.177123,"group",-0.0234635,-0.116974472359805
"epP",4,1.2915,0.7100275,"group",-0.5814725,-0.450230352303523
"epN",4,0.1691025,0.1886665,"group",0.019564,0.115693144690351
"K",4,0.1342545,0.2628335,"group",0.128579,0.957725811797742
"w",4,0.2189685,0.6448385,"group",0.42587,1.94489161683073
"boundary1",5,1.77046,1.683255,"group",-0.087205,-0.0492555607017385
"boundary",5,1.18273,1.22174,"group",0.03901,0.0329830138746798
"tau1",5,0.05817835,0.09984575,"group",0.0416674,0.716201129801722
"tau",5,0.0521395,0.06914845,"group",0.01700895,0.326220044304222
"drift_con",5,0.6144535,0.852834,"group",0.2383805,0.387955313135982
"urgency",5,0.0758258,0.570023,"group",0.4941972,6.51753360993224
"gain",5,0.389126,0.4697095,"group",0.0805835,0.207088449499648
"loss",5,1.37325,1.51585,"group",0.1426,0.103841252503186
"update",5,0.367116,0.261229,"group",-0.105887,-0.288429270312381
"epP",5,0.6507725,0.2551495,"group",-0.395623,-0.607928269863892
"epN",5,-0.197376,0.755486,"group",0.952862,4.82764875162127
"K",5,0.619037,0.8888255,"group",0.2697885,0.435819668291233
"w",5,0.4361505,0.4957785,"group",0.059628,0.136714276379369
"boundary1",6,2.063845,2.115865,"group",0.0520200000000006,0.0252053812180666
"boundary",6,1.382135,1.49194,"group",0.109805,0.0794459296667838
"tau1",6,0.05918195,0.1262825,"group",0.06710055,1.13380093085814
