"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error"
"boundary1",1,1.90433,1.84514,"group",-0.0591900000000001,-0.0310817977976507
"boundary",1,1.920665,1.91148,"group",-0.009185,-0.00478219783252155
"tau1",1,0.1318585,0.121724,"group",-0.0101345,-0.0768589055692276
"tau",1,0.07831015,0.08354315,"group",0.005233,0.0668240323891603
"drift_con",1,0.936218,0.5093795,"group",-0.4268385,-0.455917852465985
"urgency",1,0.147118,0.193312,"group",0.046194,0.313992849277451
"gain",1,0.240088,0.492512,"group",0.252424,1.05138116024124
"loss",1,0.51683,0.421465,"group",-0.095365,-0.18451908751427
"decay",1,0.522138,0.8155885,"group",0.2934505,0.56201712957111
"explore_alpha",1,0.3031675,0.438751,"group",0.1355835,0.447223069755168
"explore_bonus",1,1.35015,0.295566,"group",-1.054584,-0.78108654593934
"boundary1",2,1.927795,1.82864,"group",-0.0991550000000001,-0.0514344108165028
"boundary",2,1.218545,1.20824,"group",-0.010305,-0.00845680709370603
"tau1",2,0.05928445,0.0873629,"group",0.02807845,0.473622509781232
"tau",2,0.0535046,0.06414985,"group",0.01064525,0.198959528713419
"drift_con",2,1.089095,0.439357,"group",-0.649738,-0.596585238202361
"urgency",2,0.0970686,0.176436,"group",0.0793674,0.817642368386893
"gain",2,0.2476215,0.571682,"group",0.3240605,1.30869290429143
"loss",2,0.956962,1.769455,"group",0.812493,0.8490337129374
"decay",2,0.481688,0.4220505,"group",-0.0596375,-0.123809395293219
"explore_alpha",2,0.4962315,0.268125,"group",-0.2281065,-0.459677589995798
"explore_bonus",2,0.08711625,-2.546865,"group",-2.63398125,-30.23524600749
"boundary1",3,2.970535,2.994395,"group",0.02386,0.00803222315172183
"boundary",3,2.340135,2.47893,"group",0.138795,0.0593106807940567
"tau1",3,0.156265,0.215668,"group",0.059403,0.380142706300195
"tau",3,0.1120815,0.104179,"group",-0.00790250000000001,-0.070506729478103
"drift_con",3,0.3362605,0.5588935,"group",0.222633,0.662084901438022
"urgency",3,0.3598105,0.611696,"group",0.2518855,0.700050443219417
"gain",3,0.410518,0.4450605,"group",0.0345424999999999,0.0841436916286251
"loss",3,3.73834,0.439959,"group",-3.298381,-0.882311667745577
"decay",3,0.348529,0.8561535,"group",0.5076245,1.4564770793822
"explore_alpha",3,0.5402155,0.442936,"group",-0.0972795,-0.180075358815139
"explore_bonus",3,-3.67927,0.134944,"group",3.814214,1.03667684078635
