"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error"
"con",1,0.6695995,0.496495,"group",-0.1731045,-0.258519458273192
"wgt_pun",1,0.290261,0.261984,"group",-0.028277,-0.0974192192543952
"wgt_rew",1,0.4868715,0.4694265,"group",-0.017445,-0.0358308095667954
"update",1,0.3953345,0.370484,"group",-0.0248505000000001,-0.0628594266374426
"con",2,0.958536,0.4906925,"group",-0.4678435,-0.488081303153977
"wgt_pun",2,0.4448815,0.258164,"group",-0.1867175,-0.419701650889057
"wgt_rew",2,0.4309355,0.4666235,"group",0.0356879999999999,0.0828151776774017
"update",2,0.4239605,0.3959825,"group",-0.0279779999999999,-0.0659919968959371
"con",3,0.376408,0.5974005,"group",0.2209925,0.587108934985441
"wgt_pun",3,0.2422245,0.3109775,"group",0.068753,0.283839991412925
"wgt_rew",3,0.434944,0.453075,"group",0.018131,0.0416858262213067
"update",3,0.351662,0.4600135,"group",0.1083515,0.308112619503955
"con",4,1.35013,0.5285125,"group",-0.8216175,-0.608546954737692
"wgt_pun",4,0.394844,0.3004295,"group",-0.0944145,-0.239118487301314
"wgt_rew",4,0.510385,0.44063,"group",-0.0697550000000001,-0.136671336344133
"update",4,0.118515,0.3416405,"group",0.2231255,1.88267729823229
"con",5,2.899605,1.064795,"group",-1.83481,-0.632779292351889
"wgt_pun",5,0.1590995,0.266844,"group",0.1077445,0.677214573270186
"wgt_rew",5,0.6830845,0.550268,"group",-0.1328165,-0.194436413064562
"update",5,0.120703,0.145811,"group",0.025108,0.208014713801645
"con",6,0.6920135,0.617615,"group",-0.0743985,-0.107510185856201
"wgt_pun",6,0.3032645,0.3207715,"group",0.017507,0.0577284845407227
"wgt_rew",6,0.4841295,0.454321,"group",-0.0298085,-0.0615713357686322
"update",6,0.359483,0.30901,"group",-0.050473,-0.14040441411694
"con",7,0.928976,0.618031,"group",-0.310945,-0.334718012090732
"wgt_pun",7,0.1952795,0.3772455,"group",0.181966,0.931823360875054
"wgt_rew",7,0.575483,0.41083,"group",-0.164653,-0.286112708802866
"update",7,0.425957,0.580273,"group",0.154316,0.36228069969504
