"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error"
"con",1,2.273155,2.21672,"group",-0.056435,-0.0248267276098638
"gain",1,1.33783,1.38793,"group",0.0501,0.037448704244934
"loss",1,0.375454,0.210031,"group",-0.165423,-0.440594586820223
"update",1,0.423205,0.3354395,"group",-0.0877655,-0.207382946798833
"decay",1,0.6076975,0.3654805,"group",-0.242217,-0.398581531107171
"con",2,1.686125,1.737185,"group",0.0510599999999999,0.0302824523685966
"gain",2,1.317705,1.41376,"group",0.0960549999999998,0.0728956784712813
"loss",2,0.314462,0.098959,"group",-0.215503,-0.685306968727541
"update",2,0.4170145,0.447394,"group",0.0303795,0.0728499848326617
"decay",2,0.655064,0.646276,"group",-0.00878800000000002,-0.0134154830673034
"con",3,0.6616385,0.85053,"group",0.1888915,0.285490490653129
"gain",3,1.00012,1.22424,"group",0.22412,0.224093108826941
"loss",3,0.5870615,0.3057985,"group",-0.281263,-0.479103126333442
"update",3,0.462988,0.473635,"group",0.0106470000000001,0.0229962763613745
"decay",3,0.5257515,0.67878,"group",0.1530285,0.291066216644175
"con",4,1.758355,2.53388,"group",0.775525,0.441051437280868
"gain",4,1.304495,1.378865,"group",0.07437,0.0570105673076555
"loss",4,0.398359,0.238818,"group",-0.159541,-0.40049553292382
"update",4,0.3345975,0.490404,"group",0.1558065,0.465653509066864
"decay",4,0.352394,0.5221785,"group",0.1697845,0.481803038644245
"con",5,1.38481,1.739305,"group",0.354495,0.255988186104953
"gain",5,1.35373,1.374965,"group",0.0212349999999999,0.0156862889941125
"loss",5,0.1719595,0.155822,"group",-0.0161375,-0.0938447715886588
"update",5,0.3161425,0.367093,"group",0.0509505,0.161163083103347
"decay",5,0.318925,0.3441435,"group",0.0252185,0.0790734498706592
"con",6,1.113515,1.125035,"group",0.01152,0.0103456172570643
"gain",6,0.5267105,1.381085,"group",0.8543745,1.6220950598099
"loss",6,1.204595,0.109928,"group",-1.094667,-0.908742772467095
"update",6,0.3446505,0.4099315,"group",0.065281,0.18941217262125
"decay",6,0.2875425,0.3654545,"group",0.077912,0.270958206178217
"con",7,1.24873,1.33978,"group",0.0910500000000001,0.0729140807059974
"gain",7,1.290695,1.397665,"group",0.10697,0.0828778293864933
"loss",7,0.3218495,0.09863215,"group",-0.22321735,-0.693545741099489
"update",7,0.448542,0.436843,"group",-0.011699,-0.0260822843791663
"decay",7,0.7149085,0.5269605,"group",-0.187948,-0.26289797925189
"con",8,1.21002,1.53026,"group",0.32024,0.26465678253252
"gain",8,1.252215,1.4,"group",0.147785,0.118018870561365
"loss",8,0.4356645,0.106566,"group",-0.3290985,-0.755394345878537
"update",8,0.3681225,0.52495,"group",0.1568275,0.42601987110269
"decay",8,0.26521,0.4232025,"group",0.1579925,0.595726028430301
"con",9,2.135685,2.042165,"group",-0.0935199999999998,-0.0437892292168554
"gain",9,1.35504,1.390785,"group",0.0357450000000001,0.0263792950761602
"loss",9,0.2793365,0.1835445,"group",-0.095792,-0.342926899993377
"update",9,0.2006055,0.3044825,"group",0.103877,0.517817308099728
"decay",9,0.4293705,0.3482505,"group",-0.08112,-0.1889277442209
"con",10,0.8669305,0.742509,"group",-0.1244215,-0.143519578559066
"gain",10,0.296235,1.21564,"group",0.919405,3.10363393927119
"loss",10,1.20823,0.242332,"group",-0.965898,-0.799432227307715
"update",10,0.444465,0.461314,"group",0.016849,0.0379084967320261
"decay",10,0.6200995,0.601096,"group",-0.0190035,-0.0306458882808323
"con",11,0.743398,0.77776,"group",0.034362,0.0462228846459097
"gain",11,0.9258755,1.191875,"group",0.2659995,0.287295106091478
"loss",11,0.781739,0.3415935,"group",-0.4401455,-0.563033825867713
"update",11,0.4106075,0.4501585,"group",0.039551,0.0963231309705741
"decay",11,0.508354,0.578855,"group",0.070501,0.138684853468253
