"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error"
"con",1,1.456255,1.50452,"group",0.0482649999999998,0.0331432338429738
"gain",1,1.205985,1.366165,"group",0.16018,0.132820889148704
"loss",1,0.657618,0.124414,"group",-0.533204,-0.81081113959776
"update",1,0.8120095,0.519919,"group",-0.2920905,-0.359713156065292
"con",2,1.5144,1.77848,"group",0.26408,0.174379292128896
"gain",2,0.8328695,1.42596,"group",0.5930905,0.712104957619411
"loss",2,1.126215,0.08820965,"group",-1.03800535,-0.921676012129123
"update",2,0.6636645,0.3629555,"group",-0.300709,-0.453103940319243
"con",3,1.689405,2.065255,"group",0.37585,0.222474776622538
"gain",3,0.595858,1.395445,"group",0.799587,1.34190864266318
"loss",3,1.246435,0.1681825,"group",-1.0782525,-0.865069177293642
"update",3,0.2589185,0.0683195,"group",-0.190599,-0.736135115876231
"con",4,1.48285,1.88769,"group",0.40484,0.27301480257612
"gain",4,1.139605,1.383135,"group",0.24353,0.213696851101917
"loss",4,0.7235405,0.161229,"group",-0.5623115,-0.777166585699073
"update",4,0.1412355,0.1372645,"group",-0.003971,-0.0281161605970171
"con",5,3.530635,3.433285,"group",-0.09735,-0.0275729436772705
"gain",5,1.00991,1.371555,"group",0.361645,0.358096266003901
"loss",5,1.273585,0.499169,"group",-0.774416,-0.608059925328894
"update",5,0.1311145,0.1273355,"group",-0.00377900000000003,-0.0288221363769837
"con",6,1.108355,1.176585,"group",0.06823,0.0615596988329552
"gain",6,1.002805,1.25764,"group",0.254835,0.254122187264722
"loss",6,0.782124,0.2861885,"group",-0.4959355,-0.634088072990984
"update",6,0.4781795,0.4755735,"group",-0.002606,-0.00544983630624064
"con",7,1.350165,1.595205,"group",0.24504,0.181488929130884
"gain",7,0.647905,1.32853,"group",0.680625,1.05050123089033
"loss",7,1.18022,0.250467,"group",-0.929753,-0.787779397061565
"update",7,0.391419,0.1357975,"group",-0.2556215,-0.653063596810579
"con",8,0.914116,1.50357,"group",0.589454,0.644835009998731
"gain",8,1.07207,1.299055,"group",0.226985,0.211725913419833
"loss",8,0.629147,0.3149605,"group",-0.3141865,-0.499384881434704
"update",8,0.448344,0.257203,"group",-0.191141,-0.426326659886159
"con",9,0.79345,0.7897255,"group",-0.00372450000000002,-0.00469405759657196
"gain",9,0.9271925,1.058225,"group",0.1310325,0.141321785929028
"loss",9,0.763923,0.564339,"group",-0.199584,-0.261261933467117
"update",9,0.412827,0.509532,"group",0.096705,0.234250666744181
"con",10,1.17941,0.442838,"group",-0.736572,-0.62452582223315
"gain",10,1.052725,0.894021,"group",-0.158704,-0.150755420456435
"loss",10,0.7999345,0.5034525,"group",-0.296482,-0.37063284556423
"update",10,0.473813,0.3743305,"group",-0.0994825,-0.209961524905395
"con",11,1.230515,1.3215,"group",0.0909849999999999,0.073940585852265
"gain",11,0.900903,1.31001,"group",0.409107,0.454107711929031
"loss",11,1.01087,0.204951,"group",-0.805919,-0.797252861396619
"update",11,0.30783,0.53482,"group",0.22699,0.737387519085209
"con",12,1.15639,1.40563,"group",0.24924,0.215532821971826
"gain",12,1.08394,1.30831,"group",0.22437,0.206994852113586
"loss",12,0.7072915,0.261505,"group",-0.4457865,-0.630272666927285
"update",12,0.2682525,0.4295335,"group",0.161281,0.601228320332523
"con",13,2.219635,2.75908,"group",0.539445,0.243033201404735
"gain",13,0.4179295,1.40121,"group",0.9832805,2.35274250800673
"loss",13,1.31816,0.1997345,"group",-1.1184255,-0.848474767858227
"update",13,0.177987,0.0324406,"group",-0.1455464,-0.817736126795777
"con",14,2.60128,2.02466,"group",-0.57662,-0.221667794316644
"gain",14,0.512487,1.45592,"group",0.943433,1.84089157383504
"loss",14,1.320165,0.0650424,"group",-1.2551226,-0.950731613093818
"update",14,0.164363,0.1771925,"group",0.0128295,0.0780558884907187
"con",15,1.493365,1.497225,"group",0.00385999999999997,0.00258476661767215
"gain",15,1.24125,1.359475,"group",0.118225,0.0952467270896274
"loss",15,0.518171,0.1577565,"group",-0.3604145,-0.695551275544174
"update",15,0.266012,0.4940985,"group",0.2280865,0.857429364088838
"con",16,0.908185,1.16546,"group",0.257275,0.28328479329652
"gain",16,0.772165,1.284995,"group",0.51283,0.664145616545686
"loss",16,0.933766,0.2373715,"group",-0.6963945,-0.745791236776666
"update",16,0.231923,0.5546115,"group",0.3226885,1.39136049464693
"con",17,2.197975,2.85018,"group",0.652205,0.296729944608105
"gain",17,1.1827,1.36855,"group",0.18585,0.157140441362983
"loss",17,0.6738555,0.3274875,"group",-0.346368,-0.514009309117459
"update",17,0.06501535,0.04700165,"group",-0.0180137,-0.277068415381906
"con",18,0.7260345,1.09312,"group",0.3670855,0.505603383861235
"gain",18,1.009,1.242395,"group",0.233395,0.231313181367691
"loss",18,0.6264035,0.270122,"group",-0.3562815,-0.568773162985201
"update",18,0.4148075,0.3800325,"group",-0.034775,-0.0838340676096744
"con",19,1.845485,1.469495,"group",-0.37599,-0.203735061514995
"gain",19,1.29216,1.374635,"group",0.0824750000000001,0.0638272350173354
"loss",19,0.467144,0.141473,"group",-0.325671,-0.697153340297639
"update",19,0.380773,0.4410575,"group",0.0602845,0.158321362071365
"con",20,2.41806,2.9347,"group",0.51664,0.213658883567819
"gain",20,1.13727,1.44096,"group",0.30369,0.267034213511303
"loss",20,1.022995,0.113961,"group",-0.909034,-0.888600628546572
"update",20,0.154812,0.162862,"group",0.00805,0.0519985530837403
"con",21,1.37775,1.76693,"group",0.38918,0.2824750499002
"gain",21,0.7150585,1.3719,"group",0.6568415,0.918584283663505
"loss",21,1.129145,0.17997,"group",-0.949175,-0.840613915838975
"update",21,0.2037485,0.2308935,"group",0.027145,0.133227974684476
"con",22,1.88172,2.676965,"group",0.795245,0.42261601088366
"gain",22,0.5325765,1.431405,"group",0.8988285,1.68769838699229
"loss",22,1.25097,0.123088,"group",-1.127882,-0.901605953779867
"update",22,0.136243,0.0726148,"group",-0.0636282,-0.467019956988616
"con",23,2.41039,2.950935,"group",0.540545000000001,0.224256240691341
"gain",23,0.6725665,1.397675,"group",0.7251085,1.07812164298995
"loss",23,1.27188,0.2073325,"group",-1.0645475,-0.836987373022612
"update",23,0.06243925,0.2778525,"group",0.21541325,3.44996536633608
"con",24,2.17491,2.80551,"group",0.6306,0.289943032125467
"gain",24,1.15901,1.421135,"group",0.262125,0.226162845877085
"loss",24,0.9289445,0.1463,"group",-0.7826445,-0.842509428711834
"update",24,0.09999545,0.05591645,"group",-0.044079,-0.440810056857587
"con",25,1.20368,0.781283,"group",-0.422397,-0.350921341220258
"gain",25,1.19267,1.12789,"group",-0.0647800000000003,-0.054315108118759
"loss",25,0.4829925,0.381803,"group",-0.1011895,-0.209505323581629
"update",25,0.507792,0.504503,"group",-0.00328899999999999,-0.00647706147398932
"con",26,0.80494,0.9280835,"group",0.1231435,0.152984694511392
"gain",26,0.7309,1.13934,"group",0.40844,0.558817895744972
"loss",26,0.977944,0.4175325,"group",-0.5604115,-0.573050706379916
"update",26,0.5993525,0.3458905,"group",-0.253462,-0.422893038737638
"con",27,2.472065,3.21644,"group",0.744375,0.301114655156721
"gain",27,0.5853925,1.40061,"group",0.8152175,1.39259983686159
"loss",27,1.297035,0.2748725,"group",-1.0221625,-0.788076266253416
"update",27,0.09647255,0.0738167,"group",-0.02265585,-0.234842450002617
"con",28,1.05527,1.161845,"group",0.106575,0.10099311076786
"gain",28,0.8518585,1.267685,"group",0.4158265,0.488140342556892
"loss",28,0.9737395,0.280555,"group",-0.6931845,-0.711878793044752
"update",28,0.4907885,0.412546,"group",-0.0782425,-0.159422032097329
"con",29,0.8795315,0.697673,"group",-0.1818585,-0.206767466543268
"gain",29,0.944474,1.124655,"group",0.180181,0.190773912251687
"loss",29,0.793574,0.359946,"group",-0.433628,-0.546424152000948
"update",29,0.5357815,0.3926305,"group",-0.143151,-0.267181677605516
"con",30,2.394925,1.80888,"group",-0.586045,-0.244702861258703
"gain",30,1.35764,1.3774,"group",0.0197600000000002,0.0145546683951565
"loss",30,0.2140155,0.165079,"group",-0.0489365,-0.228658671918623
"update",30,0.0351233,0.1649825,"group",0.1298592,3.69723801579009
"con",31,1.66246,2.04945,"group",0.38699,0.232781540608496
"gain",31,1.041095,1.444155,"group",0.40306,0.387150067957295
"loss",31,1.02807,0.07673165,"group",-0.95133835,-0.92536339937942
"update",31,0.7154305,0.3732745,"group",-0.342156,-0.478251905670781
"con",32,2.735005,3.210965,"group",0.47596,0.17402527600498
"gain",32,0.57882,1.418785,"group",0.839965,1.45116789330016
