"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error"
"con",1,1.110265,1.74115,"group",0.630885,0.568229206540781
"Arew",1,0.759686,0.5788865,"group",-0.1807995,-0.237992407389369
"Apun",1,0.1840415,0.2587085,"group",0.074667,0.405707408383435
"K",1,0.892262,0.553838,"group",-0.338424,-0.379287698007984
"betaF",1,1.13235,-0.5544645,"group",-1.6868145,-1.48965823287853
"betaP",1,1.84927,2.033485,"group",0.184215,0.0996149832095907
"con",2,0.5813065,0.5731155,"group",-0.00819099999999995,-0.0140906733366992
"Arew",2,0.580143,0.4025945,"group",-0.1775485,-0.306042648105726
"Apun",2,0.277341,0.5052805,"group",0.2279395,0.821874515488154
"K",2,2.626795,2.63671,"group",0.0099149999999999,0.00377456177585228
"betaF",2,-0.26993,0.1165025,"group",0.3864325,1.43160263772089
"betaP",2,0.08533875,-0.1474855,"group",-0.23282425,-2.72823600064449
"con",3,1.758545,3.385945,"group",1.6274,0.925424143254793
"Arew",3,0.3286315,0.4383355,"group",0.109704,0.333820707996647
"Apun",3,0.2442245,0.187816,"group",-0.0564085,-0.230969865840651
"K",3,0.8643395,1.384315,"group",0.5199755,0.601587107843619
"betaF",3,0.4780885,0.515223,"group",0.0371345,0.077672857640374
"betaP",3,1.64361,1.05352,"group",-0.59009,-0.359020692256679
"con",4,0.950752,0.9646555,"group",0.0139035,0.0146236873548517
"Arew",4,0.552724,0.7328475,"group",0.1801235,0.325883261808787
"Apun",4,0.09423195,0.1477935,"group",0.05356155,0.568401163299709
"K",4,2.66308,0.288457,"group",-2.374623,-0.891682938552353
"betaF",4,1.16631,-0.781812,"group",-1.948122,-1.67032950073308
"betaP",4,-0.061549,1.84445,"group",1.905999,30.9671806203188
"con",5,1.1391,1.921385,"group",0.782285,0.686757088929857
"Arew",5,0.2406675,0.322707,"group",0.0820395,0.340883168687089
"Apun",5,0.1816325,0.03353655,"group",-0.14809595,-0.815360411820572
"K",5,0.3852675,1.10532,"group",0.7200525,1.86896766532344
"betaF",5,0.406982,0.08165545,"group",-0.32532655,-0.799363485362989
"betaP",5,1.019435,1.18052,"group",0.161085,0.158013997949845
