"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error"
"con",1,1.16532,1.158475,"group",-0.00684499999999999,-0.00587392304259773
"gain",1,0.15066,0.413281,"group",0.262621,1.74313686446303
"loss",1,0.788325,1.21928,"group",0.430955,0.546671740716075
"update",1,0.7073,0.3472275,"group",-0.3600725,-0.509080305386682
"con",2,0.507667,0.541343,"group",0.033676,0.0663348218418767
"gain",2,0.772045,0.5841055,"group",-0.1879395,-0.243430758569773
"loss",2,0.906441,2.058655,"group",1.152214,1.27114064787449
"update",2,0.427844,0.318535,"group",-0.109309,-0.25548798160077
"con",3,0.7936925,0.9667435,"group",0.173051,0.218032802376235
"gain",3,0.153258,0.2514365,"group",0.0981785,0.640609299351421
"loss",3,4.034665,3.635375,"group",-0.399290000000001,-0.098964845904183
"update",3,0.390419,0.43683,"group",0.046411,0.118874849840812
"con",4,1.37921,1.001185,"group",-0.378025,-0.274088064906722
"gain",4,0.1529495,0.171553,"group",0.0186035,0.121631649662143
"loss",4,2.6855,3.696105,"group",1.010605,0.376319121206479
"update",4,0.05850115,0.1037515,"group",0.04525035,0.77349505095199
"con",5,1.01456,0.747586,"group",-0.266974,-0.263142643116228
"gain",5,0.5419145,0.5553435,"group",0.0134289999999999,0.0247806618940809
"loss",5,3.03239,4.42723,"group",1.39484,0.459980411490606
"update",5,0.1778545,0.25746,"group",0.0796055,0.447587775400679
"con",6,1.14724,0.7782175,"group",-0.3690225,-0.321661117115861
"gain",6,0.159548,0.1998095,"group",0.0402615,0.252347255998195
"loss",6,1.465025,2.64737,"group",1.182345,0.807047661302708
"update",6,0.133443,0.186958,"group",0.053515,0.401032650644845
"con",7,0.376538,0.421825,"group",0.045287,0.120272057534698
"gain",7,0.7919785,0.7600555,"group",-0.031923,-0.0403079123991371
"loss",7,0.9693255,1.33429,"group",0.3649645,0.376513874854216
"update",7,0.2515405,0.3070095,"group",0.055469,0.220517173178872
"con",8,0.926843,0.571729,"group",-0.355114,-0.383143639213977
