"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error"
"con",1,0.6836295,1.57637,"group",0.8927405,1.30588352316569
"gain",1,0.5709115,0.5222125,"group",-0.048699,-0.0853004362322357
"loss",1,1.367255,3.152735,"group",1.78548,1.30588661222669
"decay",1,0.590271,0.572483,"group",-0.0177879999999999,-0.030135310730156
"explore_alpha",1,0.6486155,0.5265045,"group",-0.122111,-0.188264079412225
"explore_bonus",1,-3.021325,-0.911435,"group",2.10989,0.698332685162967
"con",2,0.3995905,0.8251665,"group",0.425576,1.06503032479501
"gain",2,0.4936045,0.536847,"group",0.0432425000000001,0.087605562753176
"loss",2,0.7991805,1.650335,"group",0.8511545,1.06503411932598
"decay",2,0.5588085,0.332903,"group",-0.2259055,-0.404262819910578
"explore_alpha",2,0.605432,0.530104,"group",-0.075328,-0.124420248681933
"explore_bonus",2,-3.49067,-1.43119,"group",2.05948,0.589995616887303
"con",3,0.423823,0.4544415,"group",0.0306185,0.072243601692216
"gain",3,0.3045895,0.395815,"group",0.0912255000000001,0.299503101715588
"loss",3,0.847646,0.9088835,"group",0.0612375000000001,0.0722441915610999
"decay",3,0.5230445,0.5940885,"group",0.071044,0.135827831092766
"explore_alpha",3,0.112786,0.1572195,"group",0.0444335,0.393962903197205
"explore_bonus",3,-5.141785,-4.8078,"group",0.333985,0.0649550691053788
"con",4,0.609864,0.702017,"group",0.092153,0.1511041806042
"gain",4,0.7307065,0.5827205,"group",-0.147986,-0.202524543027878
"loss",4,1.219725,1.404035,"group",0.18431,0.151107831683371
"decay",4,0.9325705,0.5369305,"group",-0.39564,-0.424246745956472
"explore_alpha",4,0.4181585,0.1633645,"group",-0.254794,-0.609323976434773
"explore_bonus",4,0.3235335,-0.843717,"group",-1.1672505,-3.60781959209788
"con",5,0.392044,1.20143,"group",0.809386,2.06452847129404
"gain",5,0.4337425,0.481852,"group",0.0481095,0.110917191651729
"loss",5,0.784088,2.402855,"group",1.618767,2.06452209445878
"decay",5,0.369525,0.603654,"group",0.234129,0.633594479399229
"explore_alpha",5,0.491426,0.601997,"group",0.110571,0.225000305234155
