"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error"
"con",1,1.58662,2.072145,"group",0.485525,0.306012151617905
"wgt_pun",1,0.00722153,0.0380484,"group",0.03082687,4.26874498894279
"wgt_rew",1,0.7809945,0.1476905,"group",-0.633304,-0.810894314876737
"update",1,0.00263468,0.01833995,"group",0.01570527,5.96097818330879
"con",2,1.66033,1.996395,"group",0.336065,0.202408557334988
"wgt_pun",2,0.00723021,0.03777255,"group",0.03054234,4.22426734493189
"wgt_rew",2,0.7798745,0.02495625,"group",-0.75491825,-0.96799965891948
"update",2,0.004425435,0.01592745,"group",0.011502015,2.59906992193988
"con",3,4.488445,3.55042,"group",-0.938025000000001,-0.208986631227519
"wgt_pun",3,0.00722698,0.0399096,"group",0.03268262,4.5223066896546
"wgt_rew",3,0.8702955,0.993651,"group",0.1233555,0.141739788382222
"update",3,0.20608,0.1091245,"group",-0.0969555,-0.470475058229814
"con",4,1.452045,2.031315,"group",0.57927,0.398933917337273
"wgt_pun",4,0.00723821,0.0383647,"group",0.03112649,4.30030214652518
"wgt_rew",4,0.7732355,0.0395434,"group",-0.7336921,-0.948859823430249
"update",4,0.00238182,0.01648,"group",0.01409818,5.91907868772619
"con",5,1.358645,2.03375,"group",0.675105,0.496895804275583
"wgt_pun",5,0.00722417,0.03770905,"group",0.03048488,4.21984532479164
"wgt_rew",5,0.7707525,0.258513,"group",-0.5122395,-0.6645966117528
"update",5,0.00286966,0.01708045,"group",0.01421079,4.9520814312497
"con",6,2.559,2.426635,"group",-0.132365,-0.0517252833137945
"wgt_pun",6,0.007213695,0.04513145,"group",0.037917755,5.25635683238618
"wgt_rew",6,0.802139,0.1851675,"group",-0.6169715,-0.769157839227366
"update",6,0.004080565,0.02601175,"group",0.021931185,5.37454617191492
"con",7,1.353965,2.26791,"group",0.913945,0.675013755894724
"wgt_pun",7,0.007241675,0.0420992,"group",0.034857525,4.81346166460108
"wgt_rew",7,0.774183,0.387482,"group",-0.386701,-0.49949559729418
"update",7,0.002427435,0.0224778,"group",0.020050365,8.25989779334977
"con",8,2.98321,2.79035,"group",-0.19286,-0.0646484826747028
"wgt_pun",8,0.00710167,0.03987025,"group",0.03276858,4.61420764411751
