"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error"
"Arew",1,0.33208,0.4202985,"group",0.0882185,0.265654360395085
"Apun",1,0.3006665,0.1321555,"group",-0.168511,-0.560458182072163
"K",1,0.626276,0.671301,"group",0.045025,0.071893222796339
"betaF",1,3.908735,5.19197,"group",1.283235,0.328299309111515
"betaP",1,4.264195,0.9773415,"group",-3.2868535,-0.770802812723152
"Arew",2,0.110919,0.289675,"group",0.178756,1.61159043987054
"Apun",2,0.0206668,0.03150925,"group",0.01084245,0.524631292701338
"K",2,0.777979,0.6099175,"group",-0.1680615,-0.216023183145046
"betaF",2,1.38148,2.376565,"group",0.995085,0.72030358745693
"betaP",2,1.28148,0.3604795,"group",-0.9210005,-0.718700643006524
"Arew",3,0.2314805,0.2441335,"group",0.012653,0.0546611917634532
"Apun",3,0.03337635,0.04773845,"group",0.0143621,0.430307687928728
"K",3,0.4458705,0.4718735,"group",0.026003,0.0583196241958147
"betaF",3,5.548315,5.111035,"group",-0.437280000000001,-0.078813117135563
"betaP",3,4.862165,5.00271,"group",0.140545,0.0289058474979768
"Arew",4,0.2015,0.213152,"group",0.011652,0.0578263027295285
"Apun",4,0.1137125,0.104002,"group",-0.00971049999999998,-0.0853951852258985
"K",4,0.639431,0.560541,"group",-0.07889,-0.123375313364538
"betaF",4,3.95313,4.289355,"group",0.336225000000001,0.0850528568501417
"betaP",4,-6.18377,-5.5015,"group",0.68227,0.110332370059042
"Arew",5,0.13542,0.153674,"group",0.018254,0.134795451188894
"Apun",5,0.011667,0.04679955,"group",0.03513255,3.01127539213165
"K",5,0.970029,0.6700815,"group",-0.2999475,-0.30921498223249
"betaF",5,2.68523,3.87081,"group",1.18558,0.441518976028124
"betaP",5,4.59562,2.168595,"group",-2.427025,-0.528116989655368
"Arew",6,0.2844075,0.265873,"group",-0.0185345,-0.0651688158715927
"Apun",6,0.2561325,0.234058,"group",-0.0220745,-0.08618390871912
"K",6,0.470148,0.5501595,"group",0.0800115,0.170183644299242
"betaF",6,5.17536,5.425565,"group",0.250205,0.0483454291102455
"betaP",6,-1.92028,-2.49585,"group",-0.57557,-0.299732330701773
"Arew",7,0.2714875,0.284638,"group",0.0131505,0.0484386942308578
"Apun",7,0.0149539,0.0229153,"group",0.0079614,0.53239623108353
"K",7,0.710457,0.527318,"group",-0.183139,-0.257776332698531
"betaF",7,3.115945,2.32092,"group",-0.795025,-0.255147314859537
"betaP",7,-5.415245,-3.782105,"group",1.63314,0.301581922886222
"Arew",8,0.125453,0.118674,"group",-0.00677900000000001,-0.0540361729093765
"Apun",8,0.0334028,0.0377141,"group",0.0043113,0.129070018082317
"K",8,0.4701125,0.630513,"group",0.1604005,0.341195990321466
"betaF",8,4.82924,5.28092,"group",0.45168,0.0935302449246671
"betaP",8,-3.470525,-4.28177,"group",-0.811245,-0.233752818377623
"Arew",9,0.1152865,0.155587,"group",0.0403005,0.349568249534854
"Apun",9,0.0498909,0.03375515,"group",-0.01613575,-0.323420703976076
"K",9,0.468879,0.637395,"group",0.168516,0.359401892599156
"betaF",9,6.26369,4.859885,"group",-1.403805,-0.224117892168993
"betaP",9,-1.094035,-0.9049715,"group",0.1890635,0.172813027005534
"Arew",10,0.201107,0.2288315,"group",0.0277245,0.137859447955566
"Apun",10,0.0193326,0.0529735,"group",0.0336409,1.7401125559935
"K",10,0.4857165,0.614667,"group",0.1289505,0.265485113229631
"betaF",10,1.38061,2.178125,"group",0.797515,0.577654080442703
"betaP",10,-2.47747,-3.566205,"group",-1.088735,-0.439454362716804
"Arew",11,0.072767,0.1786765,"group",0.1059095,1.45546057965836
"Apun",11,0.1035935,0.1244795,"group",0.020886,0.201614966189964
"K",11,0.803461,0.5910745,"group",-0.2123865,-0.264339526125101
"betaF",11,3.15436,2.35108,"group",-0.80328,-0.254657046120291
"betaP",11,4.740325,3.57141,"group",-1.168915,-0.246589632567387
"Arew",12,0.08328985,0.1685215,"group",0.08523165,1.02331376512264
"Apun",12,0.0220561,0.0455081,"group",0.023452,1.06328861403421
"K",12,0.90564,0.67012,"group",-0.23552,-0.260059184664988
"betaF",12,3.22559,3.712945,"group",0.487355,0.151090188151625
"betaP",12,1.14307,-0.9574495,"group",-2.1005195,-1.83761230720778
"Arew",13,0.233054,0.283895,"group",0.050841,0.218151158100698
"Apun",13,0.251935,0.06994695,"group",-0.18198805,-0.722361124893326
"K",13,0.4947625,0.498316,"group",0.00355349999999999,0.00718223390010356
"betaF",13,4.14596,2.73407,"group",-1.41189,-0.340545977288734
"betaP",13,5.776645,5.71793,"group",-0.0587150000000003,-0.0101642043089025
"Arew",14,0.08824775,0.1394705,"group",0.05122275,0.580442560858492
"Apun",14,0.01584675,0.0466957,"group",0.03084895,1.94670516036411
"K",14,0.3016605,0.4355095,"group",0.133849,0.443707412803466
"betaF",14,4.84543,3.98076,"group",-0.86467,-0.178450622545368
"betaP",14,-3.244735,-4.242285,"group",-0.99755,-0.307436508682527
"Arew",15,0.437058,0.3342125,"group",-0.1028455,-0.235313162097479
"Apun",15,0.0251382,0.0454231,"group",0.0202849,0.806935261872369
"K",15,0.6854205,0.839458,"group",0.1540375,0.224734305437319
"betaF",15,5.596505,4.82753,"group",-0.768975000000001,-0.137402718303656
"betaP",15,-4.612755,-4.517165,"group",0.0955899999999996,0.0207229735808643
"Arew",16,0.3256765,0.1391365,"group",-0.18654,-0.572776973469071
"Apun",16,0.05707605,0.0440544,"group",-0.01302165,-0.228145605731301
"K",16,0.26008,0.535808,"group",0.275728,1.06016610273762
"betaF",16,4.401015,2.750485,"group",-1.65053,-0.375033941034057
"betaP",16,-4.7876,-4.313205,"group",0.474394999999999,0.0990882696967164
"Arew",17,0.3185005,0.1834685,"group",-0.135032,-0.423961657830993
"Apun",17,0.04334095,0.0423926,"group",-0.000948350000000001,-0.021881153966399
"K",17,0.5779665,0.636422,"group",0.0584555,0.101139944962208
"betaF",17,4.08186,4.480615,"group",0.398755,0.0976895336929732
"betaP",17,-2.44857,-1.20514,"group",1.24343,0.507818849369224
"Arew",18,0.1839385,0.1823605,"group",-0.00157800000000002,-0.00857895437877347
"Apun",18,0.119774,0.0865026,"group",-0.0332714,-0.277784828092908
"K",18,0.459924,0.580115,"group",0.120191,0.261327958532279
"betaF",18,6.39511,4.77836,"group",-1.61675,-0.252810350408359
"betaP",18,-2.904755,-0.8178625,"group",2.0868925,0.718440109406817
"Arew",19,0.07529495,0.1436545,"group",0.06835955,0.907890236994646
"Apun",19,0.0353695,0.02104915,"group",-0.01432035,-0.404878497010136
"K",19,0.7299035,0.666729,"group",-0.0631745,-0.0865518524024066
"betaF",19,3.37553,4.20852,"group",0.83299,0.246773099335512
"betaP",19,0.284615,-1.130795,"group",-1.41541,-4.97306888252552
"Arew",20,0.3484085,0.3804045,"group",0.031996,0.0918347284868194
"Apun",20,0.04953975,0.02927625,"group",-0.0202635,-0.409035168728143
"K",20,0.5440155,0.804675,"group",0.2606595,0.479139840684686
"betaF",20,4.423075,3.854295,"group",-0.56878,-0.12859379504078
"betaP",20,-4.19029,-3.59904,"group",0.59125,0.141100019330404
"Arew",21,0.311052,0.241195,"group",-0.069857,-0.224583027918162
"Apun",21,0.04090535,0.0626244,"group",0.02171905,0.530958664331194
"K",21,0.5081605,0.40181,"group",-0.1063505,-0.209285255347474
"betaF",21,2.6329,3.94023,"group",1.30733,0.496536138858293
"betaP",21,-3.724845,-3.44759,"group",0.277255,0.0744339697356535
"Arew",22,0.1853425,0.129672,"group",-0.0556705,-0.300365539474217
"Apun",22,0.03107485,0.04673745,"group",0.0156626,0.504028177127162
"K",22,0.647151,0.6719695,"group",0.0248185,0.0383504004474998
"betaF",22,3.06745,3.62094,"group",0.55349,0.180439778969502
"betaP",22,-2.979095,-3.34635,"group",-0.367255,-0.123277371147949
"Arew",23,0.1181085,0.08071015,"group",-0.03739835,-0.316644018000398
"Apun",23,0.125188,0.0379089,"group",-0.0872791,-0.697184234910694
"K",23,0.666458,0.682609,"group",0.016151,0.0242340852686891
"betaF",23,3.387565,4.368205,"group",0.98064,0.289482268236919
"betaP",23,2.74822,1.479075,"group",-1.269145,-0.461806187277583
"Arew",24,0.395039,0.3683335,"group",-0.0267055,-0.0676021861132699
"Apun",24,0.050987,0.02345045,"group",-0.02753655,-0.540070017847687
"K",24,0.420725,0.640547,"group",0.219822,0.522483807712877
"betaF",24,2.596015,3.440585,"group",0.84457,0.325333251156099
"betaP",24,0.7793635,0.2837005,"group",-0.495663,-0.635984364163834
"Arew",25,0.125553,0.08395015,"group",-0.04160285,-0.331356877175376
"Apun",25,0.0164831,0.0381064,"group",0.0216233,1.3118466793261
"K",25,0.323546,0.302825,"group",-0.020721,-0.0640434435907104
"betaF",25,2.753625,2.169535,"group",-0.584090000000001,-0.212116755186345
"betaP",25,-4.90968,-4.327045,"group",0.582635,0.118670666927376
"Arew",26,0.1168695,0.1470115,"group",0.030142,0.257911602257219
"Apun",26,0.01858165,0.0751097,"group",0.05652805,3.0421437278175
"K",26,0.4089525,0.5148265,"group",0.105874,0.258890702465445
"betaF",26,3.718935,3.2027,"group",-0.516235,-0.138812590163582
"betaP",26,-2.799085,-3.81202,"group",-1.012935,-0.361880757461813
"Arew",27,0.0934648,0.152457,"group",0.0589922,0.631170237351388
"Apun",27,0.0319504,0.0241222,"group",-0.0078282,-0.245011017076469
"K",27,0.579635,0.5119495,"group",-0.0676855,-0.116772624151406
"betaF",27,4.752975,5.382675,"group",0.6297,0.1324854433276
"betaP",27,-2.494265,-2.925875,"group",-0.43161,-0.173040955952956
"Arew",28,0.189116,0.112325,"group",-0.076791,-0.406052369973984
"Apun",28,0.02758755,0.0382586,"group",0.01067105,0.386806729847341
"K",28,0.549908,0.71623,"group",0.166322,0.302454228707347
"betaF",28,0.3550095,1.55477,"group",1.1997605,3.37951660448523
"betaP",28,-4.845335,-4.49699,"group",0.348345,0.0718928618970618
"Arew",29,0.167947,0.1676145,"group",-0.000332500000000013,-0.00197979124366624
"Apun",29,0.0247837,0.02172755,"group",-0.00305615,-0.123312903238822
"K",29,0.484915,0.5733755,"group",0.0884605000000001,0.182424754853944
"betaF",29,4.42641,4.612155,"group",0.185745,0.0419628999573017
"betaP",29,-1.43701,-1.57047,"group",-0.13346,-0.0928733968448376
"Arew",30,0.4193685,0.4533475,"group",0.033979,0.0810242066344992
"Apun",30,0.0530969,0.03763965,"group",-0.01545725,-0.291113982172217
"K",30,0.73629,0.5520205,"group",-0.1842695,-0.25026755761996
"betaF",30,3.68991,4.19187,"group",0.50196,0.136035838272478
"betaP",30,-0.719572,-1.490825,"group",-0.771253,-1.07182186077279
"Arew",31,0.279806,0.161438,"group",-0.118368,-0.423035960629865
"Apun",31,0.03834065,0.02508765,"group",-0.013253,-0.345664457957807
"K",31,0.8061075,0.558635,"group",-0.2474725,-0.306996895575342
"betaF",31,3.86284,6.22243,"group",2.35959,0.610843317352
"betaP",31,-5.2044,-5.581765,"group",-0.377365000000001,-0.0725088386749675
"Arew",32,0.1086385,0.1035065,"group",-0.005132,-0.0472392383915463
"Apun",32,0.04214185,0.03527275,"group",-0.0068691,-0.162999488631847
"K",32,0.6754095,0.821351,"group",0.1459415,0.216078541980828
"betaF",32,4.85427,5.33507,"group",0.4808,0.0990468185741626
"betaP",32,-3.27682,-3.22353,"group",0.0532900000000001,0.0162627181230584
