"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error"
"con",1,1.14407,1.189065,"group",0.0449949999999999,0.0393288872184393
"gain",1,0.01923625,0.0161255,"group",-0.00311075,-0.161712911820131
"loss",1,0.526036,0.417231,"group",-0.108805,-0.206839455854732
"update",1,0.829761,0.6308605,"group",-0.1989005,-0.239708181030441
"decay",1,0.7329025,0.7667145,"group",0.033812,0.0461343766735684
"con",2,0.3730355,0.4068095,"group",0.033774,0.0905382999741312
"gain",2,0.0495384,0.06417455,"group",0.01463615,0.295450599938633
"loss",2,0.08801165,0.1698955,"group",0.08188385,0.930375126474734
"update",2,0.0301003,0.31501,"group",0.2849097,9.46534419922725
"decay",2,0.35324,0.2669205,"group",-0.0863195,-0.24436502094893
"con",3,1.10507,0.9639505,"group",-0.1411195,-0.127701865040224
"gain",3,0.0145058,0.02469485,"group",0.01018905,0.702412138592839
"loss",3,0.3315355,0.568206,"group",0.2366705,0.713861713149874
"update",3,0.02526895,0.0337334,"group",0.00846445,0.334974345985884
"decay",3,0.0417176,0.0526171,"group",0.0108995,0.261268625232516
"con",4,1.267525,1.28104,"group",0.0135149999999999,0.0106625115875426
"gain",4,0.01216565,0.03011815,"group",0.0179525,1.47567125472128
"loss",4,0.2274175,0.2557935,"group",0.028376,0.124774918376994
"update",4,0.7481905,0.3981335,"group",-0.350057,-0.467871484601849
"decay",4,0.7653575,0.706874,"group",-0.0584835,-0.0764133101197807
"con",5,0.6653355,0.6107695,"group",-0.0545660000000001,-0.0820127589764865
"gain",5,0.0102701,0.0167252,"group",0.0064551,0.628533315157594
"loss",5,0.306334,0.8074495,"group",0.5011155,1.63584682079038
"update",5,0.9307735,0.3185545,"group",-0.612219,-0.657752933447289
"decay",5,0.1010215,0.4006565,"group",0.299635,2.96605178105651
"con",6,0.2585515,0.329883,"group",0.0713315,0.275888942821836
"gain",6,0.0559642,0.07417275,"group",0.01820855,0.325360677004228
"loss",6,4.47659,2.07262,"group",-2.40397,-0.537009196732334
"update",6,0.0782826,0.205049,"group",0.1267664,1.61934325124613
"decay",6,0.100967,0.0740751,"group",-0.0268919,-0.26634345875385
"con",7,0.7174675,0.5992315,"group",-0.118236,-0.164796314815654
"gain",7,0.01046605,0.0289716,"group",0.01850555,1.76815035280741
"loss",7,0.1573995,0.206872,"group",0.0494725,0.314311671892223
"update",7,0.7214835,0.5760365,"group",-0.145447,-0.201594353855632
"decay",7,0.1227425,0.301065,"group",0.1783225,1.45281789111351
"con",8,1.0103,0.9174975,"group",-0.0928025,-0.0918563792932792
"gain",8,0.00872144,0.0220889,"group",0.01336746,1.53271248784604
