"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error"
"con",1,1.424015,1.525655,"group",0.10164,0.0713756526441083
"gain",1,0.0405713,0.1034555,"group",0.0628842,1.54996758792545
"loss",1,0.5928185,0.61721,"group",0.0243915,0.0411449710155807
"decay",1,0.7796245,0.7337655,"group",-0.045859,-0.0588219072130237
"con",2,0.298276,0.168906,"group",-0.12937,-0.433725810993845
"gain",2,0.04033075,0.1136105,"group",0.07327975,1.81696968194244
"loss",2,0.1006205,0.644622,"group",0.5440015,5.40646786688597
"decay",2,0.243596,0.5472255,"group",0.3036295,1.2464469859932
"con",3,1.28259,1.339835,"group",0.057245,0.0446323454884258
"gain",3,0.0273462,0.0586599,"group",0.0313137,1.1450841433179
"loss",3,0.5813335,0.1973035,"group",-0.38403,-0.660601874827444
"decay",3,0.095884,0.1489,"group",0.053016,0.55291810938217
"con",4,0.1845455,0.5191615,"group",0.334616,1.8131897011848
"gain",4,0.102493,0.103054,"group",0.000561000000000006,0.00547354453474877
"loss",4,8.26092,3.17595,"group",-5.08497,-0.615545241934312
"decay",4,0.356259,0.780305,"group",0.424046,1.1902744913111
"con",5,1.202995,1.108025,"group",-0.09497,-0.0789446340175977
"gain",5,0.1088645,0.08878425,"group",-0.02008025,-0.184451772616418
"loss",5,0.3465355,0.366666,"group",0.0201305,0.0580907295212179
"decay",5,0.834036,0.7206875,"group",-0.1133485,-0.135903606079354
"con",6,0.939065,0.950447,"group",0.011382,0.0121205667339322
"gain",6,0.5405525,0.3482205,"group",-0.192332,-0.355806327784998
"loss",6,1.565385,1.92864,"group",0.363255,0.232054734138886
"decay",6,0.2076335,0.291386,"group",0.0837525,0.403366990394132
"con",7,0.1259315,0.310852,"group",0.1849205,1.46842132429138
"gain",7,0.08654655,0.0865419,"group",-4.64999999999494e-06,-5.37283115270907e-05
"loss",7,4.97693,1.992955,"group",-2.983975,-0.599561376189739
"decay",7,0.4064865,0.311769,"group",-0.0947175,-0.233015118583274
"con",8,0.216489,0.239955,"group",0.023466,0.108393498053019
"gain",8,0.0954652,0.162713,"group",0.0672478,0.704422134976934
"loss",8,6.8983,3.34671,"group",-3.55159,-0.514850035515997
"decay",8,0.4221455,0.570491,"group",0.1483455,0.351408459879355
"con",9,0.9129125,0.453169,"group",-0.4597435,-0.503600837977353
"gain",9,0.953614,0.0520093,"group",-0.9016047,-0.945460846841594
"loss",9,0.9991465,0.229523,"group",-0.7696235,-0.770280934777833
"decay",9,0.0304616,0.1280155,"group",0.0975539,3.20252055046353
"con",10,0.0955404,0.179486,"group",0.0839456,0.878639821478663
"gain",10,0.1002885,0.2015245,"group",0.101236,1.00944774326069
"loss",10,0.807497,0.6807925,"group",-0.1267045,-0.156910180471259
"decay",10,0.324523,0.330801,"group",0.00627800000000001,0.0193453160484773
"con",11,1.047615,0.917378,"group",-0.130237,-0.124317616681701
"gain",11,0.0202032,0.044794,"group",0.0245908,1.2171735170666
"loss",11,0.243082,0.267101,"group",0.024019,0.0988102780131808
"decay",11,0.73926,0.6061045,"group",-0.1331555,-0.180119984849715
"con",12,0.414974,0.358997,"group",-0.0559769999999999,-0.134892788463855
"gain",12,0.02549895,0.05498585,"group",0.0294869,1.15639663593991
"loss",12,1.510875,1.170515,"group",-0.34036,-0.225273434268222
"decay",12,0.187203,0.117345,"group",-0.069858,-0.373167096681143
"con",13,1.5222,1.52706,"group",0.00486000000000009,0.00319274733937727
"gain",13,0.02695365,0.0533015,"group",0.02634785,0.977524379814979
"loss",13,0.2829785,0.1321155,"group",-0.150863,-0.533125308106446
"decay",13,0.7641075,0.6332145,"group",-0.130893,-0.171301812899363
"con",14,0.1647785,0.248554,"group",0.0837755,0.508412808709874
"gain",14,0.02443835,0.130732,"group",0.10629365,4.34946099061516
"loss",14,7.212635,4.80462,"group",-2.408015,-0.333860648708828
"decay",14,0.21536,0.34892,"group",0.13356,0.62017087667162
"con",15,0.2818525,0.35789,"group",0.0760375,0.269777631917404
"gain",15,0.217882,0.1086325,"group",-0.1092495,-0.501415904021443
"loss",15,0.608194,1.04878,"group",0.440586,0.724416880140218
"decay",15,0.2039795,0.4052365,"group",0.201257,0.986653070529146
"con",16,0.262017,0.306532,"group",0.044515,0.169893556524958
"gain",16,0.1110705,0.126623,"group",0.0155525,0.140023678654548
"loss",16,8.29139,4.92971,"group",-3.36168,-0.40544227204365
"decay",16,0.4945325,0.3593405,"group",-0.135192,-0.273373337444961
"con",17,0.174214,0.1957785,"group",0.0215645,0.123781670818648
"gain",17,0.02166345,0.05663125,"group",0.0349678,1.61413809896392
"loss",17,5.855285,6.32679,"group",0.471505000000001,0.0805263962386119
"decay",17,0.0615484,0.06778365,"group",0.00623525,0.101306451508081
"con",18,0.368734,0.4871295,"group",0.1183955,0.321086474260578
"gain",18,0.108619,0.0707531,"group",-0.0378659,-0.348612121267918
"loss",18,2.81826,1.83987,"group",-0.97839,-0.347161014242831
"decay",18,0.1125165,0.190504,"group",0.0779875,0.693120564539423
"con",19,0.168865,0.234062,"group",0.065197,0.38608947976194
"gain",19,0.02327675,0.0592986,"group",0.03602185,1.54754637137917
"loss",19,6.008375,5.162995,"group",-0.84538,-0.140700272536251
"decay",19,0.07328165,0.1171365,"group",0.04385485,0.598442447734187
"con",20,0.19056,0.318293,"group",0.127733,0.670303316540722
"gain",20,0.02677265,0.0555499,"group",0.02877725,1.07487491899382
"loss",20,5.30094,4.263885,"group",-1.037055,-0.195636057001211
"decay",20,0.2340875,0.356143,"group",0.1220555,0.521409729267902
"con",21,0.1914445,0.19503,"group",0.00358549999999996,0.0187286654879088
"gain",21,0.1794145,0.1443795,"group",-0.035035,-0.195274072051033
"loss",21,7.37338,3.016895,"group",-4.356485,-0.590839614939146
"decay",21,0.5806145,0.465949,"group",-0.1146655,-0.19748990078615
"con",22,0.166665,0.4185265,"group",0.2518615,1.51118411184112
"gain",22,0.0355237,0.08428035,"group",0.04875665,1.3725104648446
"loss",22,6.145505,6.30081,"group",0.155305,0.0252713161896378
"decay",22,0.2628985,0.404471,"group",0.1415725,0.538506305665494
"con",23,0.7121035,0.777175,"group",0.0650714999999999,0.0913792728163813
"gain",23,0.02326955,0.04329505,"group",0.0200255,0.86058819358346
"loss",23,0.2062595,0.4594105,"group",0.253151,1.22734225575064
"decay",23,0.3616965,0.360103,"group",-0.00159350000000003,-0.00440562736990827
"con",24,0.495608,0.474079,"group",-0.021529,-0.0434395732110861
"gain",24,0.0312447,0.06742985,"group",0.03618515,1.15812121735846
"loss",24,0.703826,0.5075905,"group",-0.1962355,-0.278812519003276
"decay",24,0.274411,0.465794,"group",0.191383,0.697431954258394
"con",25,0.09707385,0.1829425,"group",0.08586865,0.884570355456181
"gain",25,0.103367,0.1207445,"group",0.0173775,0.168114582023276
"loss",25,4.395355,1.89069,"group",-2.504665,-0.569843619002333
"decay",25,0.3916805,0.411377,"group",0.0196965,0.0502871600705167
"con",26,0.1329685,0.211549,"group",0.0785805,0.59097079383463
"gain",26,0.04694,0.1015225,"group",0.0545825,1.16281423093311
"loss",26,3.000565,0.878859,"group",-2.121706,-0.707102162426076
"decay",26,0.15036,0.4693765,"group",0.3190165,2.1216846235701
"con",27,0.1423545,0.1928325,"group",0.050478,0.354593637714298
"gain",27,0.0269408,0.1178355,"group",0.0908947,3.37386788811023
"loss",27,4.091625,2.267495,"group",-1.82413,-0.445820425869917
"decay",27,0.05921705,0.09299675,"group",0.0337797,0.570438750326131
"con",28,0.1164045,0.3564945,"group",0.24009,2.06254912825535
"gain",28,0.0809095,0.115753,"group",0.0348435,0.430647822567189
"loss",28,6.324835,2.88183,"group",-3.443005,-0.544362817369939
"decay",28,0.558449,0.501763,"group",-0.056686,-0.101506135743819
"con",29,0.2637135,0.2717365,"group",0.008023,0.0304231675663172
"gain",29,0.03134465,0.160997,"group",0.12965235,4.13634703210915
"loss",29,0.7620595,0.7745455,"group",0.012486,0.0163845474008263
"decay",29,0.1101195,0.0954666,"group",-0.0146529,-0.133063626333211
"con",30,0.5561365,0.628133,"group",0.0719965,0.129458325429099
"gain",30,0.0227455,0.09182255,"group",0.06907705,3.03695456244092
"loss",30,1.15084,0.8224535,"group",-0.3283865,-0.285345052309617
"decay",30,0.267108,0.2433,"group",-0.023808,-0.0891324857361068
"con",31,0.1746725,0.289761,"group",0.1150885,0.658881621319899
"gain",31,0.101302,0.1160995,"group",0.0147975,0.146073127875067
"loss",31,3.541705,2.664185,"group",-0.87752,-0.2477676712205
"decay",31,0.200206,0.2647885,"group",0.0645825,0.322580242350379
"con",32,0.1558325,0.230298,"group",0.0744655,0.477856031315676
"gain",32,0.1022995,0.104198,"group",0.00189850000000001,0.0185582529728885
"loss",32,0.942341,0.4978345,"group",-0.4445065,-0.471704510363021
"decay",32,0.090743,0.29633,"group",0.205587,2.26559624433841
"con",33,0.252344,0.3742955,"group",0.1219515,0.483274815331452
"gain",33,0.0400221,0.0821462,"group",0.0421241,1.05252098215736
"loss",33,0.8960705,0.3686315,"group",-0.527439,-0.588613284334213
"decay",33,0.082687,0.1673825,"group",0.0846955,1.02429039631381
"con",34,0.6724285,0.656072,"group",-0.0163565,-0.0243245192611556
"gain",34,0.0310155,0.0550027,"group",0.0239872,0.773393948187197
"loss",34,0.3730895,0.553,"group",0.1799105,0.482218073679372
"decay",34,0.6886745,0.6084715,"group",-0.080203,-0.116459953141869
"con",35,0.205309,0.3417195,"group",0.1364105,0.664415588210941
"gain",35,0.0524805,0.158146,"group",0.1056655,2.0134240336887
"loss",35,7.445135,5.741315,"group",-1.70382,-0.228850114873673
"decay",35,0.150694,0.2255365,"group",0.0748425,0.496652156024792
"con",36,0.1963235,0.261139,"group",0.0648155,0.330146416501336
"gain",36,0.1683925,0.1960885,"group",0.027696,0.164472883293496
"loss",36,4.818925,5.28326,"group",0.464335,0.0963565525506208
"decay",36,0.199783,0.3344175,"group",0.1346345,0.673903685498766
"con",37,0.1957205,0.2188675,"group",0.023147,0.118265587917464
"gain",37,0.0466895,0.063654,"group",0.0169645,0.363347219396224
"loss",37,0.92021,1.44378,"group",0.52357,0.568967952967258
"decay",37,0.05350555,0.080118,"group",0.02661245,0.497377374870457
"con",38,0.1509975,0.2736175,"group",0.12262,0.81206642494081
"gain",38,1.41491,0.4575885,"group",-0.9573215,-0.676595331151805
"loss",38,1.54694,0.666854,"group",-0.880086,-0.568920578690835
"decay",38,0.0155558,0.09458995,"group",0.07903415,5.08068694634799
"con",39,0.1087585,0.196599,"group",0.0878405,0.807665607745602
