"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error"
"con",1,1.39693,0.97547,"group",-0.42146,-0.301704451905249
"gain",1,0.103154,0.06473275,"group",-0.03842125,-0.372464955309537
"loss",1,0.7660765,1.364055,"group",0.5979785,0.780572827909484
"update",1,0.967506,0.8794125,"group",-0.0880934999999999,-0.0910521485138076
"con",2,0.924598,0.951597,"group",0.026999,0.029200798617345
"gain",2,0.1283585,0.2235605,"group",0.095202,0.74168831826486
"loss",2,0.2949675,0.4644825,"group",0.169515,0.574690431996746
"update",2,0.0197256,0.0691389,"group",0.0494133,2.50503406740479
"con",3,2.7447,2.59655,"group",-0.14815,-0.0539767552009328
"gain",3,0.05171185,0.0812728,"group",0.02956095,0.571647504392127
"loss",3,0.469703,0.341921,"group",-0.127782,-0.272048507248197
"update",3,0.3201995,0.33104,"group",0.0108405,0.0338554557393126
"con",4,0.7189745,0.9014635,"group",0.182489,0.253818459486393
"gain",4,0.1378025,0.476751,"group",0.3389485,2.45966872879665
"loss",4,0.8285735,0.500488,"group",-0.3280855,-0.395964268710018
"update",4,0.152846,0.08674295,"group",-0.06610305,-0.432481386493595
"con",5,2.23946,1.815195,"group",-0.424265,-0.189449688764256
"gain",5,0.4838235,0.1354295,"group",-0.348394,-0.720084906996043
"loss",5,0.306995,0.203881,"group",-0.103114,-0.335881691884233
"update",5,0.274738,0.2478325,"group",-0.0269055,-0.0979314838136696
"con",6,1.94748,2.0944,"group",0.14692,0.0754410828352538
"gain",6,0.6302755,0.6139405,"group",-0.016335,-0.025917237779352
"loss",6,0.857958,0.7056925,"group",-0.1522655,-0.177474305269022
"update",6,0.2646605,0.3316955,"group",0.0670350000000001,0.253286757940834
"con",7,0.9255895,0.868844,"group",-0.0567455000000001,-0.0613074154363248
"gain",7,0.2165145,0.3129285,"group",0.096414,0.445300430225227
"loss",7,0.400894,0.782298,"group",0.381404,0.951383657525431
"update",7,0.07628325,0.2154345,"group",0.13915125,1.82413898201768
"con",8,1.137525,1.09233,"group",-0.0451950000000001,-0.0397309949231886
"gain",8,0.132474,0.331114,"group",0.19864,1.49946404577502
"loss",8,0.4871525,1.184735,"group",0.6975825,1.43195919142363
"update",8,0.0681043,0.140441,"group",0.0723367,1.06214585569487
"con",9,2.531845,2.34262,"group",-0.189225,-0.0747379875150333
"gain",9,0.03079685,0.09645695,"group",0.0656601,2.1320394780635
"loss",9,0.190859,0.8500065,"group",0.6591475,3.45358353548955
"update",9,0.0158425,0.03141655,"group",0.01557405,0.98305507337857
"con",10,0.830915,0.891704,"group",0.0607890000000001,0.0731591077306344
"gain",10,0.1643165,0.23559,"group",0.0712735,0.433757413284728
"loss",10,0.5683525,0.6791265,"group",0.110774,0.194903690931244
"update",10,0.01837115,0.0700576,"group",0.05168645,2.81345751354706
"con",11,3.90986,2.4104,"group",-1.49946,-0.383507337858645
"gain",11,0.916688,0.0776134,"group",-0.8390746,-0.915332806800133
"loss",11,0.6644465,0.964442,"group",0.2999955,0.451496847375974
"update",11,0.0286535,0.0257701,"group",-0.0028834,-0.100629940495925
"con",12,1.63973,1.45764,"group",-0.18209,-0.111048770224366
"gain",12,0.148499,0.08457585,"group",-0.06392315,-0.430461821291726
"loss",12,0.55675,0.7036895,"group",0.1469395,0.263923664122137
"update",12,0.04019195,0.0546832,"group",0.01449125,0.360551055621835
"con",13,2.971135,3.10489,"group",0.133755,0.0450181496296869
"gain",13,0.8576735,0.941035,"group",0.0833615000000001,0.0971949115834873
"loss",13,0.885935,1.453805,"group",0.56787,0.640983819354693
"update",13,0.138279,0.1153745,"group",-0.0229045,-0.165639757302266
"con",14,1.263715,1.046035,"group",-0.21768,-0.17225402879605
"gain",14,0.1033425,0.17513,"group",0.0717875,0.694656119215231
"loss",14,0.9703945,0.515528,"group",-0.4548665,-0.468743897456138
"update",14,0.03851715,0.0445865,"group",0.00606935,0.157575261928777
"con",15,0.856133,0.843344,"group",-0.0127890000000001,-0.0149380995709779
"gain",15,0.177318,0.2167885,"group",0.0394705,0.222597254649838
"loss",15,0.322782,0.4672845,"group",0.1445025,0.447678309199398
"update",15,0.3645875,0.02747635,"group",-0.33711115,-0.924637158432475
"con",16,0.877903,0.8514555,"group",-0.0264475000000001,-0.0301257656028059
"gain",16,0.22477,0.3676855,"group",0.1429155,0.63582995951417
"loss",16,0.66614,0.664058,"group",-0.00208199999999992,-0.00312546912060515
"update",16,0.1020895,0.0261912,"group",-0.0758983,-0.743448640653544
"con",17,0.9474315,1.011345,"group",0.0639135,0.0674597583044262
"gain",17,0.02834505,0.06208655,"group",0.0337415,1.19038421170539
"loss",17,1.37579,1.07995,"group",-0.29584,-0.215032817508486
"update",17,0.496557,0.461794,"group",-0.034763,-0.0700080756086411
"con",18,1.48584,1.198375,"group",-0.287465,-0.193469687180316
"gain",18,0.369586,0.2863405,"group",-0.0832455,-0.225239862981823
"loss",18,1.41138,2.891165,"group",1.479785,1.04846674885573
"update",18,0.1306705,0.1236215,"group",-0.00704900000000003,-0.0539448460057934
"con",19,0.9265715,0.849448,"group",-0.0771235,-0.0832353466516076
"gain",19,0.0658024,0.04148265,"group",-0.02431975,-0.369587583431607
"loss",19,2.46961,1.849485,"group",-0.620125,-0.251102400783929
"update",19,0.1562175,0.367203,"group",0.2109855,1.35058812232944
"con",20,0.936681,1.04477,"group",0.108089,0.115395743054466
"gain",20,0.0769567,0.212912,"group",0.1359553,1.76664669872799
"loss",20,0.9110565,0.762761,"group",-0.1482955,-0.162773110119954
"update",20,0.2146545,0.1897655,"group",-0.024889,-0.115949118234186
"con",21,0.792023,0.996087,"group",0.204064,0.257649083423082
"gain",21,0.321796,0.228429,"group",-0.093367,-0.290143444915412
"loss",21,0.645784,0.685078,"group",0.0392940000000001,0.0608469705040696
"update",21,0.047568,0.0328561,"group",-0.0147119,-0.309281449714093
"con",22,1.29298,1.02176,"group",-0.27122,-0.209763492088045
"gain",22,0.222839,0.510188,"group",0.287349,1.28949151629652
"loss",22,0.426874,1.026805,"group",0.599931,1.40540534209158
"update",22,0.05615895,0.09091785,"group",0.0347589,0.618937854073126
"con",23,2.9498,2.578725,"group",-0.371075,-0.125796664180622
"gain",23,0.9734745,0.795124,"group",-0.1783505,-0.18321024330889
"loss",23,0.6648255,1.38852,"group",0.7236945,1.08854804757038
"update",23,0.0966119,0.08140275,"group",-0.01520915,-0.157425224014847
"con",24,1.10661,0.9138185,"group",-0.1927915,-0.1742181075537
"gain",24,0.02917425,0.08552775,"group",0.0563535,1.93161777937736
"loss",24,0.3686965,0.719362,"group",0.3506655,0.951095277552133
"update",24,0.885644,0.646001,"group",-0.239643,-0.270586149739625
"con",25,0.840028,0.8475055,"group",0.00747750000000003,0.00890148899798581
"gain",25,0.204863,0.23653,"group",0.031667,0.154576473057604
"loss",25,0.5730975,0.507517,"group",-0.0655805,-0.11443166302418
"update",25,0.01813815,0.02310675,"group",0.0049686,0.273930913571671
"con",26,1.278745,1.47938,"group",0.200635,0.156899929227485
"gain",26,0.1850585,0.131276,"group",-0.0537825,-0.29062431609464
"loss",26,0.4698905,0.7186815,"group",0.248791,0.529465907482701
"update",26,0.0455438,0.02950235,"group",-0.01604145,-0.352220280257686
"con",27,1.12944,1.284805,"group",0.155365,0.137559321433631
"gain",27,0.0879296,0.1236295,"group",0.0356999,0.406005486207148
"loss",27,1.813575,1.386915,"group",-0.42666,-0.235259087713494
"update",27,0.0706548,0.06318585,"group",-0.00746894999999999,-0.105710440055028
"con",28,0.804873,0.8412385,"group",0.0363655000000001,0.0451816622001236
"gain",28,0.2232555,0.3869255,"group",0.16367,0.733106239263982
"loss",28,0.542855,0.546544,"group",0.00368899999999983,0.00679555314034103
"update",28,0.0152018,0.05381795,"group",0.03861615,2.54023536686445
"con",29,1.4634,1.28255,"group",-0.18085,-0.123582069154025
"gain",29,0.05083705,0.1398535,"group",0.08901645,1.75101525363883
"loss",29,1.355285,1.09235,"group",-0.262935,-0.194007164544727
"update",29,0.04353675,0.0890368,"group",0.04550005,1.04509523563426
"con",30,1.304195,1.053885,"group",-0.25031,-0.191926820759166
"gain",30,0.04245545,0.07255125,"group",0.0300958,0.708879543144637
"loss",30,0.420924,0.5717405,"group",0.1508165,0.358298647736884
"update",30,0.610352,0.688845,"group",0.0784929999999999,0.128602839017485
"con",31,0.9933215,0.948643,"group",-0.0446785000000001,-0.0449788915270636
"gain",31,0.07131095,0.161455,"group",0.09014405,1.26409829065522
"loss",31,0.3936755,0.3282185,"group",-0.065457,-0.166271459615851
"update",31,0.664295,0.6396555,"group",-0.0246395,-0.0370912019509405
"con",32,1.14376,0.8634035,"group",-0.2803565,-0.245118294047702
"gain",32,0.4229915,0.263808,"group",-0.1591835,-0.376327893113691
"loss",32,1.15832,1.20302,"group",0.0447,0.0385903722632778
"update",32,0.03610345,0.08639315,"group",0.0502897,1.3929333623241
"con",33,1.372565,1.473845,"group",0.10128,0.0737888551726148
"gain",33,0.074238,0.07718595,"group",0.00294795,0.0397094479915947
"loss",33,0.9896935,0.451105,"group",-0.5385885,-0.544197269154541
"update",33,0.109568,0.105169,"group",-0.004399,-0.0401485835280374
"con",34,1.057615,1.112185,"group",0.05457,0.0515972258335973
"gain",34,0.0395599,0.0594563,"group",0.0198964,0.502943637370166
"loss",34,0.3982505,0.2537205,"group",-0.14453,-0.362912287617969
"update",34,0.34803,0.438934,"group",0.0909040000000001,0.261195873918915
"con",35,0.861158,1.27958,"group",0.418422,0.485882962243862
"gain",35,0.112885,0.1079145,"group",-0.00497050000000002,-0.0440315365194669
"loss",35,2.351965,1.455985,"group",-0.89598,-0.38094954644308
"update",35,0.236394,0.222202,"group",-0.014192,-0.060035364687767
"con",36,1.053535,0.8042375,"group",-0.2492975,-0.23662953769927
"gain",36,0.642513,0.101239,"group",-0.541274,-0.84243276011536
"loss",36,1.519495,1.29352,"group",-0.225975,-0.148717172481647
"update",36,0.128452,0.147389,"group",0.018937,0.147424718961168
"con",37,1.63375,1.869415,"group",0.235665,0.144247895944912
"gain",37,0.03479925,0.03855565,"group",0.00375639999999999,0.107944855133372
"loss",37,0.330455,0.2971635,"group",-0.0332915,-0.100744428136963
"update",37,0.0371359,0.0308877,"group",-0.0062482,-0.168252284177844
"con",38,1.618935,1.49559,"group",-0.123345,-0.0761889760861307
"gain",38,1.528315,1.33682,"group",-0.191495,-0.125298122442036
"loss",38,1.86888,1.42647,"group",-0.44241,-0.236724669320663
"update",38,0.0325972,0.07752415,"group",0.04492695,1.37824567754286
"con",39,0.849999,1.03265,"group",0.182651,0.214883782216214
"gain",39,0.113509,0.1546045,"group",0.0410955,0.362046181360068
"loss",39,1.120765,0.638532,"group",-0.482233,-0.430271287914951
"update",39,0.1168425,0.252934,"group",0.1360915,1.16474313712904
"con",40,1.13709,1.25128,"group",0.11419,0.100423009612256
"gain",40,0.8358955,0.75257,"group",-0.0833255000000001,-0.0996841112316074
"loss",40,1.399005,1.2008,"group",-0.198205,-0.141675690937488
"update",40,0.0802372,0.0301984,"group",-0.0500388,-0.623635919498686
"con",41,0.920292,0.8732365,"group",-0.0470555,-0.0511310540567559
"gain",41,0.275567,0.4814615,"group",0.2058945,0.747166750735756
"loss",41,0.3779875,0.415899,"group",0.0379115,0.100298290287377
"update",41,0.01492725,0.08375755,"group",0.0688303,4.61105026042975
"con",42,1.06024,0.9991195,"group",-0.0611204999999999,-0.0576477967252697
"gain",42,0.8669065,0.3109895,"group",-0.555917,-0.641265234486072
"loss",42,1.002295,1.34033,"group",0.338035,0.337260986037045
"update",42,0.138423,0.1392745,"group",0.000851500000000005,0.00615143437145565
"con",43,1.014005,1.136925,"group",0.12292,0.12122228194141
"gain",43,0.379325,0.3828455,"group",0.00352049999999998,0.00928095959928816
"loss",43,2.180525,2.66321,"group",0.482685,0.221361828000138
"update",43,0.2983565,0.150937,"group",-0.1474195,-0.494105206355484
"con",44,2.58345,1.78232,"group",-0.80113,-0.310100834155877
"gain",44,0.927377,0.566478,"group",-0.360899,-0.389161042380822
"loss",44,0.7457315,0.757003,"group",0.0112715,0.0151146894022849
