"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error"
"con",1,1.085225,1.113115,"group",0.0278900000000002,0.0256997396853189
"gain",1,0.01034535,0.0197741,"group",0.00942875,0.911399807643048
"loss",1,0.273718,0.2349745,"group",-0.0387435,-0.141545313059426
"update",1,0.7174255,0.6138765,"group",-0.103549,-0.144334150375196
"decay",1,0.674728,0.639649,"group",-0.0350790000000001,-0.0519898388684034
"epP",1,1.546865,1.819585,"group",0.27272,0.176304978133192
"epN",1,-1.614985,-1.51824,"group",0.0967449999999999,0.0599045811571004
"K",1,0.4287385,0.3880315,"group",-0.040707,-0.0949459868894444
"w",1,0.718755,0.7037345,"group",-0.0150205000000001,-0.020897941579537
"con",2,0.825524,0.881682,"group",0.056158,0.0680270955175138
"gain",2,0.05653165,0.226296,"group",0.16976435,3.0029965514893
"loss",2,0.0980042,0.260816,"group",0.1628118,1.66127370051488
"update",2,0.01132815,0.0426711,"group",0.03134295,2.76681982494935
"decay",2,0.42628,0.372302,"group",-0.053978,-0.126625692033405
"epP",2,-1.21661,-0.9964025,"group",0.2202075,0.181000895932139
"epN",2,-0.2114755,-1.28273,"group",-1.0712545,-5.06561989450315
"K",2,0.4076995,0.3752395,"group",-0.03246,-0.0796174633522974
"w",2,0.751299,0.8036685,"group",0.0523695,0.0697052704715432
"con",3,1.10075,1.07319,"group",-0.0275600000000003,-0.0250374744492394
"gain",3,0.009109245,0.01783225,"group",0.008723005,0.957599120454
"loss",3,0.258659,0.276056,"group",0.0173970000000001,0.0672584367835647
"update",3,0.01195855,0.02456925,"group",0.0126107,1.05453420356147
"decay",3,0.0650855,0.06835225,"group",0.00326675000000001,0.0501916709558967
"epP",3,0.493794,0.173136,"group",-0.320658,-0.649376055602134
"epN",3,-1.6481,-1.74121,"group",-0.0931100000000002,-0.056495358291366
"K",3,0.44652,0.3758745,"group",-0.0706455,-0.15821351787154
"w",3,0.7700515,0.813245,"group",0.0431935,0.0560917029575295
