"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error"
"con",1,0.8843005,0.8158945,"group",-0.068406,-0.0773560571321626
"gain",1,0.624308,0.206759,"group",-0.417549,-0.668818916304132
"loss",1,0.9209215,1.129475,"group",0.2085535,0.226461755969428
"decay",1,0.2540855,0.3210885,"group",0.067003,0.263702572559237
"epP",1,3.168665,4.477125,"group",1.30846,0.412937309560967
"epN",1,0.3119555,0.3291625,"group",0.017207,0.055158508184661
"K",1,0.274796,0.2248125,"group",-0.0499835,-0.181893113436877
"w",1,0.4687195,0.537681,"group",0.0689615000000001,0.147127439758747
"con",2,0.6294535,0.8001775,"group",0.170724,0.271225753768944
"gain",2,0.174068,0.3774,"group",0.203332,1.16811820667785
"loss",2,0.3534065,0.511595,"group",0.1581885,0.447610612708029
"decay",2,0.203527,0.252437,"group",0.04891,0.240312096183799
"epP",2,-0.00277321,-0.6302445,"group",-0.62747129,-226.261729187476
"epN",2,1.49128,2.423525,"group",0.932245,0.625130760152352
"K",2,0.274682,0.4982695,"group",0.2235875,0.813986719188007
"w",2,0.4933845,0.687937,"group",0.1945525,0.394322278061025
"con",3,1.03709,0.8407685,"group",-0.1963215,-0.189300350017838
"gain",3,0.0615658,0.09827325,"group",0.03670745,0.596231186795266
"loss",3,0.6962775,0.542615,"group",-0.1536625,-0.220691462814754
"decay",3,0.0888577,0.06708965,"group",-0.02176805,-0.244976518635976
"epP",3,2.21195,0.0776447,"group",-2.1343053,-0.96489762426818
"epN",3,-0.247629,-0.213491,"group",0.034138,0.137859459110201
"K",3,0.4009635,0.348939,"group",-0.0520245,-0.129748717776057
"w",3,0.5325245,0.800602,"group",0.2680775,0.503408763352672
"con",4,1.00825,0.872589,"group",-0.135661,-0.134550954624349
"gain",4,0.7398065,0.4932255,"group",-0.246581,-0.333304722248318
"loss",4,1.03874,0.8765155,"group",-0.1622245,-0.156174307333885
"decay",4,0.213505,0.32884,"group",0.115335,0.540198121823845
"epP",4,3.226175,4.592445,"group",1.36627,0.423495315660186
"epN",4,1.013965,-0.1760025,"group",-1.1899675,-1.17357847657464
"K",4,0.3216135,0.370853,"group",0.0492395,0.153101471175806
"w",4,0.453177,0.5920795,"group",0.1389025,0.30650827380913
"con",5,0.6783225,0.750379,"group",0.0720565000000001,0.106227495033705
"gain",5,0.06948835,0.501719,"group",0.43223065,6.22018870789132
"loss",5,0.7100085,0.796324,"group",0.0863155,0.121569671349005
"decay",5,0.2500845,0.2577085,"group",0.00762400000000002,0.0304856958348079
"epP",5,0.4096275,1.60433,"group",1.1947025,2.91655833653746
"epN",5,-0.263159,-0.503427,"group",-0.240268,-0.913014565338826
"K",5,0.402171,0.356635,"group",-0.045536,-0.11322546876826
"w",5,0.587373,0.769703,"group",0.18233,0.310416038871382
"con",6,1.241415,0.831198,"group",-0.410217,-0.330443083094694
"gain",6,0.0249138,0.222662,"group",0.1977482,7.93729579590428
"loss",6,1.690005,2.79137,"group",1.101365,0.65169333818539
"decay",6,0.1929205,0.1042545,"group",-0.088666,-0.45959864296433
"epP",6,-1.83004,-3.63183,"group",-1.80179,-0.984563178946908
"epN",6,-3.0987,-2.213655,"group",0.885045,0.285618162455223
"K",6,0.373141,0.426333,"group",0.053192,0.14255201117004
"w",6,0.494746,0.614372,"group",0.119626,0.241792758304261
"con",7,0.7577555,0.7687325,"group",0.010977,0.0144862030034754
"gain",7,0.524978,0.375573,"group",-0.149405,-0.284592878177752
