"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error"
"con",1,1.9261,1.718955,"group",-0.207145,-0.107546337157988
"gain",1,0.774191,0.602039,"group",-0.172152,-0.222363731947284
"loss",1,2.26844,0.9521515,"group",-1.3162885,-0.580261545379203
"update",1,0.01150935,0.01491985,"group",0.0034105,0.296324292857546
"epP",1,2.45398,2.0773,"group",-0.37668,-0.153497583517388
"epN",1,0.197346,0.1135275,"group",-0.0838185,-0.424728649174546
"K",1,0.2905,0.333283,"group",0.042783,0.147273666092943
"w",1,0.829541,0.7672905,"group",-0.0622505,-0.0750421015959428
"con",2,1.62723,1.514025,"group",-0.113205,-0.0695691451116314
"gain",2,0.6045295,0.366052,"group",-0.2384775,-0.394484470981151
"loss",2,0.451811,0.4205755,"group",-0.0312355,-0.0691339962949109
"update",2,0.00601671,0.0176924,"group",0.01167569,1.94054391852025
"epP",2,0.4460725,0.1162405,"group",-0.329832,-0.739413436156679
"epN",2,1.056255,0.74857,"group",-0.307685,-0.291298029358441
"K",2,0.4317015,0.466999,"group",0.0352975,0.0817636723523083
"w",2,0.849853,0.8129155,"group",-0.0369375,-0.0434633989642914
"con",3,2.093,2.056995,"group",-0.0360050000000003,-0.0172025800286671
"gain",3,0.2870695,0.234958,"group",-0.0521115,-0.181529211567234
"loss",3,0.6862575,0.991086,"group",0.3048285,0.444189680987093
"update",3,0.04952305,0.04104635,"group",-0.0084767,-0.171166759720979
"epP",3,2.02679,2.10751,"group",0.0807199999999999,0.0398265237148397
"epN",3,-0.03543925,0.301943,"group",0.33738225,9.52001664820785
"K",3,0.677793,0.5185695,"group",-0.1592235,-0.234914642080989
"w",3,0.831678,0.755053,"group",-0.0766250000000001,-0.0921330130170571
"con",4,2.1374,1.943115,"group",-0.194285,-0.0908978197810424
"gain",4,0.82472,0.814013,"group",-0.010707,-0.0129825880298768
"loss",4,4.325525,2.196575,"group",-2.12895,-0.492183029805631
"update",4,0.0319335,0.061055,"group",0.0291215,0.911942004478056
"epP",4,2.21204,2.180635,"group",-0.0314050000000003,-0.014197302037938
"epN",4,0.7895935,0.528635,"group",-0.2609585,-0.330497274863585
"K",4,0.3843845,0.304307,"group",-0.0800775,-0.208326558433027
"w",4,0.8258355,0.747656,"group",-0.0781794999999998,-0.0946671582899982
"con",5,1.528085,1.474315,"group",-0.0537699999999999,-0.0351878331375544
"gain",5,0.665353,0.0883648,"group",-0.5769882,-0.867191100062674
"loss",5,1.50199,0.4195455,"group",-1.0824445,-0.720673573059741
"update",5,0.00727122,0.0180532,"group",0.01078198,1.48282956642764
"epP",5,1.12728,1.127405,"group",0.000124999999999931,0.000110886381378123
