"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error"
"con",1,1.01766,0.9657415,"group",-0.0519185,-0.051017530412908
"gain",1,0.266353,0.778252,"group",0.511899,1.92188186354199
"loss",1,1.06026,1.1497,"group",0.0894400000000002,0.0843566672325658
"decay",1,0.3695,0.4675165,"group",0.0980165,0.265267929634641
"explore_alpha",1,0.542762,0.534131,"group",-0.00863099999999994,-0.015901997560625
"explore_bonus",1,-1.13684,-1.536615,"group",-0.399775,-0.351654586397382
"con",2,0.513729,0.83277,"group",0.319041,0.62102976472031
"gain",2,0.1221395,0.08546175,"group",-0.03667775,-0.300293926207329
"loss",2,0.1690225,0.2542,"group",0.0851775,0.503941782898726
"decay",2,0.59521,0.5796025,"group",-0.0156075,-0.0262218376707381
"explore_alpha",2,0.4240405,0.457055,"group",0.0330145,0.0778569499847302
"explore_bonus",2,0.0574126,0.524449,"group",0.4670364,8.1347369741137
"con",3,1.128845,0.944558,"group",-0.184287,-0.163252705198677
"gain",3,0.0193094,0.02831815,"group",0.00900875,0.466547381068288
"loss",3,0.4823065,0.722159,"group",0.2398525,0.497303063508371
"decay",3,0.847819,0.882619,"group",0.0348000000000001,0.0410464969527695
"explore_alpha",3,0.4459285,0.4153465,"group",-0.030582,-0.0685805011341504
"explore_bonus",3,-0.6420695,-0.4940925,"group",0.147977,0.230468819964194
"con",4,1.076435,0.9723745,"group",-0.1040605,-0.0966714200114266
"gain",4,0.525907,0.0878724,"group",-0.4380346,-0.832912663265558
"loss",4,0.741882,0.7896495,"group",0.0477675000000001,0.0643869240660915
"decay",4,0.4114325,0.5664235,"group",0.154991,0.376710639047717
"explore_alpha",4,0.519835,0.415508,"group",-0.104327,-0.200692527436591
"explore_bonus",4,-1.60373,-1.43188,"group",0.17185,0.107156441545647
"con",5,0.570604,0.7105065,"group",0.1399025,0.245183174320544
"gain",5,0.07567075,0.1383685,"group",0.06269775,0.828559912515734
"loss",5,0.6593885,0.5777715,"group",-0.0816169999999999,-0.123776802294853
"decay",5,0.6874585,0.7232445,"group",0.035786,0.0520555058959922
"explore_alpha",5,0.380172,0.412626,"group",0.032454,0.0853666235282978
"explore_bonus",5,-0.297536,-0.442027,"group",-0.144491,-0.485625268875027
"con",6,1.01966,1.112145,"group",0.0924849999999999,0.0907018025616381
"gain",6,0.01166735,0.0211355,"group",0.00946815,0.811508183092133
"loss",6,1.678975,1.55767,"group",-0.121305,-0.0722494379011004
"decay",6,0.7586805,0.7698525,"group",0.011172,0.0147255662956936
"explore_alpha",6,0.5418995,0.5344395,"group",-0.00746000000000002,-0.0137663902624011
"explore_bonus",6,2.073745,2.18988,"group",0.116135,0.0560025461182548
"con",7,0.86972,0.761622,"group",-0.108098,-0.124290576277423
"gain",7,0.8542565,0.7106735,"group",-0.143583,-0.168079493688371
"loss",7,0.5823715,0.560064,"group",-0.0223075,-0.0383045873639078
"decay",7,0.778042,0.7457665,"group",-0.0322755,-0.0414829790679681
"explore_alpha",7,0.338045,0.439351,"group",0.101306,0.299681995000666
"explore_bonus",7,-0.6384195,-0.7139605,"group",-0.0755410000000001,-0.118325019834137
"con",8,0.8496115,0.9175505,"group",0.067939,0.0799647839041726
"gain",8,0.03226385,0.03652005,"group",0.0042562,0.131918540409778
"loss",8,0.3827295,0.3546965,"group",-0.028033,-0.0732449419237347
"decay",8,0.478485,0.374089,"group",-0.104396,-0.218180298232965
"explore_alpha",8,0.395168,0.48916,"group",0.093992,0.23785326747105
"explore_bonus",8,-1.146785,-1.60485,"group",-0.458065,-0.399434070030564
"con",9,0.8376115,0.78524,"group",-0.0523715,-0.0625248101297559
"gain",9,0.7335655,0.636245,"group",-0.0973205,-0.132667771316944
"loss",9,0.4570715,0.59256,"group",0.1354885,0.296427364208882
"decay",9,0.631432,0.429649,"group",-0.201783,-0.319564101914379
"explore_alpha",9,0.5104495,0.4973185,"group",-0.013131,-0.0257243860558194
"explore_bonus",9,1.530955,2.09442,"group",0.563465,0.368048048440352
"con",10,1.05754,1.017845,"group",-0.039695,-0.0375352232539668
"gain",10,0.01407305,0.02294855,"group",0.0088755,0.630673521375963
"loss",10,1.320265,1.33836,"group",0.018095,0.01370558183395
"decay",10,0.1964555,0.3141445,"group",0.117689,0.599061874063083
"explore_alpha",10,0.4875085,0.4689665,"group",-0.018542,-0.038034208634311
"explore_bonus",10,-0.472978,-0.3046865,"group",0.1682915,0.355812532506797
"con",11,1.29298,0.7110835,"group",-0.5818965,-0.450042924097821
"gain",11,0.02321,0.024624,"group",0.001414,0.0609220163722533
"loss",11,0.2677355,0.4507185,"group",0.182983,0.683446909356436
"decay",11,0.5584725,0.734953,"group",0.1764805,0.316005712009096
"explore_alpha",11,0.3892255,0.3974955,"group",0.00827,0.0212473232098103
"explore_bonus",11,1.38224,1.614165,"group",0.231925,0.167789240652853
"con",12,0.9326285,0.754885,"group",-0.1777435,-0.190583388776989
"gain",12,0.03879965,0.6119495,"group",0.57314985,14.772036603423
"loss",12,0.393087,0.5466,"group",0.153513,0.390531866991277
"decay",12,0.640362,0.859379,"group",0.219017,0.342020607094112
"explore_alpha",12,0.4253195,0.453127,"group",0.0278075,0.0653802611918806
"explore_bonus",12,0.1056595,-1.04856,"group",-1.1542195,-10.9239538328309
"con",13,1.10967,0.963302,"group",-0.146368,-0.131902277253598
"gain",13,0.0237561,0.02225395,"group",-0.00150215,-0.0632321803663059
"loss",13,1.14038,1.0285,"group",-0.11188,-0.0981076483277504
"decay",13,0.1760615,0.2313285,"group",0.055267,0.313907356236315
"explore_alpha",13,0.547011,0.4529065,"group",-0.0941044999999999,-0.172034017597452
"explore_bonus",13,-0.6641635,-1.052695,"group",-0.3885315,-0.584993755302723
"con",14,0.9158485,0.840595,"group",-0.0752535000000001,-0.0821680660065503
"gain",14,0.0114943,0.2962245,"group",0.2847302,24.7714258371541
"loss",14,1.180095,0.863817,"group",-0.316278,-0.26801062626314
"decay",14,0.269766,0.2796185,"group",0.00985250000000004,0.0365223934817584
"explore_alpha",14,0.476895,0.469671,"group",-0.00722400000000001,-0.0151479885509389
"explore_bonus",14,-0.248784,-0.6570855,"group",-0.4083015,-1.64118874204129
"con",15,0.9486135,0.912424,"group",-0.0361895000000001,-0.038149889285784
"gain",15,0.06134085,0.1818225,"group",0.12048165,1.96413401509761
"loss",15,0.2253485,0.5195595,"group",0.294211,1.30558224261533
"decay",15,0.1522535,0.386943,"group",0.2346895,1.54143911305816
"explore_alpha",15,0.335241,0.319628,"group",-0.015613,-0.0465724657783505
"explore_bonus",15,2.171165,2.655695,"group",0.48453,0.223165904019271
"con",16,0.5695125,0.660482,"group",0.0909695,0.159732227124075
"gain",16,0.02795005,0.01977315,"group",-0.0081769,-0.292554038364869
"loss",16,0.7145405,0.410669,"group",-0.3038715,-0.425268406759309
"decay",16,0.760626,0.7794925,"group",0.0188664999999999,0.0248039115149888
"explore_alpha",16,0.5634065,0.4394335,"group",-0.123973,-0.220041834803113
"explore_bonus",16,0.693659,0.914749,"group",0.22109,0.318730096488332
"con",17,0.772527,0.7664245,"group",-0.0061024999999999,-0.00789940027986064
"gain",17,0.0253759,0.6114655,"group",0.5860896,23.0963079142021
"loss",17,0.5415165,0.483664,"group",-0.0578525,-0.106834233121244
"decay",17,0.1408105,0.3764875,"group",0.235677,1.6737175139638
"explore_alpha",17,0.491526,0.431365,"group",-0.060161,-0.122396373742183
"explore_bonus",17,-0.744912,-1.285785,"group",-0.540873,-0.726089793156775
"con",18,0.96752,0.892035,"group",-0.0754849999999999,-0.0780190590375392
"gain",18,0.4960005,0.750341,"group",0.2543405,0.512782749210938
"loss",18,0.7376155,0.4647825,"group",-0.272833,-0.36988512307564
"decay",18,0.5022255,0.53839,"group",0.0361645,0.072008490210075
"explore_alpha",18,0.448724,0.426782,"group",-0.021942,-0.048898654852426
"explore_bonus",18,-1.28626,-1.36315,"group",-0.0768900000000001,-0.059777960909925
"con",19,0.5116515,0.7099955,"group",0.198344,0.387654487478294
"gain",19,0.0703616,0.02684545,"group",-0.04351615,-0.618464474940877
"loss",19,0.5610995,0.4665825,"group",-0.0945170000000001,-0.168449624353613
"decay",19,0.896344,0.834513,"group",-0.061831,-0.0689813285970565
"explore_alpha",19,0.5112875,0.4587045,"group",-0.052583,-0.102844290149867
"explore_bonus",19,2.19326,1.214045,"group",-0.979215,-0.44646553532185
"con",20,1.147945,0.952387,"group",-0.195558,-0.170354851495498
"gain",20,0.01155515,0.02973565,"group",0.0181805,1.57336771915553
