"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","RT","boundary1","boundary","tau1","tau","urgency","drift_con","gain","loss","update","epP","epN","K","w","decay"
"0001",1,1,NA,FALSE,37,3,0.143391075951513,0.19556461465545,0.774476076022617,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
"0001",2,1,NA,FALSE,37,1,0.25,0,1.31123914273876,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
"0001",3,1,NA,FALSE,37,1,0.25,0,0.728685136281699,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
"0001",4,1,NA,FALSE,37,2,0.25,3.20121361810016,0.978440440456651,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
"0001",5,1,NA,FALSE,37,4,0.100878541043494,0,1.01567087783262,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
"0001",6,1,NA,FALSE,37,1,0.25,0.420546796068083,1.47180008005511,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
"0001",7,1,NA,FALSE,37,1,0.25,0,0.771347864993014,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
"0001",8,1,NA,FALSE,37,2,0.25,0,1.62310598371572,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
"0001",9,1,NA,FALSE,37,1,0.25,0,1.02255849751714,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
"0001",10,1,NA,FALSE,37,2,0.25,0,0.802908861568805,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
