"statistic","mean_ppp","sd_ppp","min_ppp","max_ppp","extreme_count","extreme_ratio","component"
"ssm_choice_prob",0.41655,0.192918858408524,0,0.82,13,0.065,"SSM"
"ssm_has_rt_data",1,0,1,1,200,1,"SSM"
"ssm_max_rt",0.4706,0.269105422916775,0,1,12,0.06,"SSM"
"ssm_mean_rt",0.4734,0.090272841595068,0.05,0.69,0,0,"SSM"
"ssm_median_rt",0.54485,0.215823717149951,0.04,1,4,0.02,"SSM"
"ssm_min_rt",0.45075,0.182428997683975,0.05,0.95,0,0,"SSM"
"ssm_rt_play_mean",0.4904,0.147531923127534,0.11,0.86,0,0,"SSM"
"ssm_rt_play_median",0.55465,0.222550039542802,0.03,1,5,0.025,"SSM"
"ssm_rt_play_quantiles_10%",0.4891,0.182773688219961,0.07,0.87,0,0,"SSM"
"ssm_rt_play_quantiles_30%",0.5204,0.200864563485752,0.04,0.95,1,0.005,"SSM"
"ssm_rt_play_quantiles_50%",0.55465,0.222550039542802,0.03,1,5,0.025,"SSM"
"ssm_rt_play_quantiles_70%",0.52025,0.202349112467989,0.06,1,2,0.01,"SSM"
"ssm_rt_play_quantiles_90%",0.4683,0.22558936768844,0.03,0.97,3,0.015,"SSM"
"ssm_rt_skip_mean",0.4557,0.221042550304746,0,0.99,7,0.035,"SSM"
"ssm_rt_skip_median",0.4612,0.250341595770388,0,0.99,7,0.035,"SSM"
"ssm_rt_skip_quantiles_10%",0.46555,0.233067155547441,0,0.96,5,0.025,"SSM"
"ssm_rt_skip_quantiles_30%",0.4774,0.236475885073099,0.01,0.98,5,0.025,"SSM"
"ssm_rt_skip_quantiles_50%",0.4612,0.250341595770388,0,0.99,7,0.035,"SSM"
"ssm_rt_skip_quantiles_70%",0.4511,0.251019609236222,0,1,10,0.05,"SSM"
"ssm_rt_skip_quantiles_90%",0.4712,0.258801955675197,0,0.96,10,0.05,"SSM"
