"statistic","mean_ppp","sd_ppp","min_ppp","max_ppp","extreme_count","extreme_ratio","component"
"avg_outcome",0.4955,0.264939075200015,0,1,13,0.065,"RL"
"good_deck_ratio",0.46475,0.362542581106796,0,1,71,0.355,"RL"
"lose_shift_ratio",0.598135858585859,0.254007489247016,0.05,0.99,13,0.065,"RL"
"new_bad_deck_ratio",0.6627,0.34899239023539,0.01,1,81,0.405,"RL"
"new_good_deck_ratio",0.34935,0.348596723850637,0,0.99,75,0.375,"RL"
"skip_ratio",0.7974,0.228469322132708,0.02,1,68,0.34,"RL"
"total_money",0.44185,0.301442224270032,0,1,26,0.13,"RL"
"win_stay_ratio",0.37115,0.296363516936303,0,1,31,0.155,"RL"
"choice_prob",0.2276,0.240163763223824,0,0.99,61,0.305,"SSM"
"has_rt_data",1,0,1,1,200,1,"SSM"
"max_rt",0.1792,0.193038023176678,0,0.82,66,0.33,"SSM"
"mean_rt",0.01915,0.0315237407544818,0,0.18,169,0.845,"SSM"
"median_rt",0.06425,0.105950768409829,0,0.9,130,0.65,"SSM"
"min_rt",0.0101,0.0326391878409156,0,0.21,185,0.925,"SSM"
"rt_play_mean",0.0812,0.116016633706044,0,0.57,121,0.605,"SSM"
"rt_play_median",0.13335,0.172219555733036,0,0.86,88,0.44,"SSM"
"rt_play_quantiles_10%",0.0272,0.0612611183632455,0,0.65,167,0.835,"SSM"
"rt_play_quantiles_30%",0.0875,0.123771348597599,0,0.71,98,0.49,"SSM"
"rt_play_quantiles_50%",0.13335,0.172219555733036,0,0.86,88,0.44,"SSM"
"rt_play_quantiles_70%",0.1714,0.19825124914851,0,0.88,74,0.37,"SSM"
"rt_play_quantiles_90%",0.15535,0.186743791646718,0,0.92,77,0.385,"SSM"
"rt_skip_mean",0.11335,0.189098037639728,0,0.88,109,0.545,"SSM"
"rt_skip_median",0.1328,0.18302362754903,0,0.93,96,0.48,"SSM"
"rt_skip_quantiles_10%",0.02095,0.0498802334441431,0,0.49,173,0.865,"SSM"
"rt_skip_quantiles_30%",0.07215,0.116134896006118,0,0.59,124,0.62,"SSM"
"rt_skip_quantiles_50%",0.1328,0.18302362754903,0,0.93,96,0.48,"SSM"
"rt_skip_quantiles_70%",0.18735,0.230102615299868,0,0.99,80,0.4,"SSM"
"rt_skip_quantiles_90%",0.2183,0.260123878490238,0,0.97,68,0.34,"SSM"
