"statistic","mean_ppp","sd_ppp","min_ppp","max_ppp","extreme_count","extreme_ratio","component"
"avg_outcome",0.4972,0.272221754121682,0.01,1,17,0.085,"RL"
"good_deck_ratio",0.49295,0.276510556651457,0.01,0.99,14,0.07,"RL"
"lose_shift_ratio",0.52365,0.279256330259405,0.02,1,10,0.05,"RL"
"new_bad_deck_ratio",0.52875,0.284141902230233,0,1,13,0.065,"RL"
"new_good_deck_ratio",0.481,0.285176485953354,0,1,12,0.06,"RL"
"skip_ratio",0.64695,0.236590517274724,0,1,18,0.09,"RL"
"total_money",0.49965,0.277301021966958,0,1,18,0.09,"RL"
"win_stay_ratio",0.47705,0.287183161661175,0.01,1,21,0.105,"RL"
"choice_prob",0.4047,0.243898219978217,0,1,12,0.06,"SSM"
"has_rt_data",1,0,1,1,200,1,"SSM"
"max_rt",0.4563,0.272190647788859,0,0.98,15,0.075,"SSM"
"mean_rt",0.4611,0.123091623349006,0.03,0.85,1,0.005,"SSM"
"median_rt",0.5226,0.209126539558562,0.1,1,1,0.005,"SSM"
"min_rt",0.44005,0.198799152450596,0,1,3,0.015,"SSM"
"rt_play_mean",0.4539,0.17362464568125,0.06,0.89,0,0,"SSM"
"rt_play_median",0.51775,0.22924047083213,0.05,1,2,0.01,"SSM"
"rt_play_quantiles_10%",0.4381,0.205830564070372,0.01,0.94,2,0.01,"SSM"
"rt_play_quantiles_30%",0.4991,0.212622273423503,0.03,0.95,1,0.005,"SSM"
"rt_play_quantiles_50%",0.51775,0.22924047083213,0.05,1,2,0.01,"SSM"
"rt_play_quantiles_70%",0.503,0.220902670761919,0.04,1,2,0.01,"SSM"
"rt_play_quantiles_90%",0.44785,0.226569073851951,0,0.91,4,0.02,"SSM"
"rt_skip_mean",0.46005,0.219694848899936,0,0.99,6,0.03,"SSM"
"rt_skip_median",0.47925,0.248957499753305,0,0.99,8,0.04,"SSM"
"rt_skip_quantiles_10%",0.5114,0.24435545408216,0.01,0.99,10,0.05,"SSM"
"rt_skip_quantiles_30%",0.4729,0.252060035123644,0.02,1,8,0.04,"SSM"
"rt_skip_quantiles_50%",0.47925,0.248957499753305,0,0.99,8,0.04,"SSM"
"rt_skip_quantiles_70%",0.46225,0.252199246230029,0,1,6,0.03,"SSM"
"rt_skip_quantiles_90%",0.4582,0.257515692062234,0,0.95,12,0.06,"SSM"
