"statistic","mean_ppp","sd_ppp","min_ppp","max_ppp","extreme_count","extreme_ratio","component"
"avg_outcome",0.5576,0.284446460594474,0.01,1,16,0.08,"RL"
"good_deck_ratio",0.50855,0.278683908946189,0,1,23,0.115,"RL"
"lose_shift_ratio",0.5521,0.255959305025517,0.04,1,13,0.065,"RL"
"new_bad_deck_ratio",0.51145,0.291656846448702,0,1,23,0.115,"RL"
"new_good_deck_ratio",0.49995,0.293380055191077,0,1,21,0.105,"RL"
"skip_ratio",0.6406,0.263371339199158,0.03,1,17,0.085,"RL"
"total_money",0.5615,0.287656883129989,0.01,1,19,0.095,"RL"
"win_stay_ratio",0.50805,0.273568815812264,0,1,12,0.06,"RL"
"choice_prob",0.40575,0.267781575844585,0,0.99,9,0.045,"SSM"
"has_rt_data",1,0,1,1,200,1,"SSM"
"max_rt",0.4752,0.288140738923075,0,1,17,0.085,"SSM"
"mean_rt",0.44565,0.126027744811655,0,0.75,2,0.01,"SSM"
"median_rt",0.4843,0.215650261246954,0.04,1,2,0.01,"SSM"
"min_rt",0.44415,0.197026329133594,0,0.97,2,0.01,"SSM"
"rt_play_mean",0.45985,0.198470223580872,0,0.95,1,0.005,"SSM"
"rt_play_median",0.4855,0.225142612536809,0.04,0.99,3,0.015,"SSM"
"rt_play_quantiles_10%",0.45125,0.213945791048896,0.02,0.89,1,0.005,"SSM"
"rt_play_quantiles_30%",0.49075,0.244819567443076,0.01,0.99,6,0.03,"SSM"
"rt_play_quantiles_50%",0.4855,0.225142612536809,0.04,0.99,3,0.015,"SSM"
"rt_play_quantiles_70%",0.47535,0.236615324013025,0,1,9,0.045,"SSM"
"rt_play_quantiles_90%",0.46395,0.240983949297657,0.01,1,7,0.035,"SSM"
"rt_skip_mean",0.4356,0.23679102590628,0,1,10,0.05,"SSM"
"rt_skip_median",0.44475,0.256640329632678,0,0.99,11,0.055,"SSM"
"rt_skip_quantiles_10%",0.48445,0.259699667087632,0,1,9,0.045,"SSM"
"rt_skip_quantiles_30%",0.44145,0.253968299173193,0,0.99,10,0.05,"SSM"
"rt_skip_quantiles_50%",0.44475,0.256640329632678,0,0.99,11,0.055,"SSM"
"rt_skip_quantiles_70%",0.44915,0.262482882906858,0,0.97,16,0.08,"SSM"
"rt_skip_quantiles_90%",0.46965,0.266215572714631,0,0.98,8,0.04,"SSM"
