"statistic","mean_ppp","sd_ppp","min_ppp","max_ppp","extreme_count","extreme_ratio","component"
"avg_outcome",0.501,0.281430302340343,0,1,16,0.08,"RL"
"good_deck_ratio",0.5043,0.290925589270628,0,1,17,0.085,"RL"
"lose_shift_ratio",0.51825,0.279584108756822,0.02,1,13,0.065,"RL"
"new_bad_deck_ratio",0.50545,0.267515645529407,0.01,0.98,10,0.05,"RL"
"new_good_deck_ratio",0.5043,0.26871088122449,0.03,0.99,9,0.045,"RL"
"skip_ratio",0.6103,0.232164622757864,0.03,1,5,0.025,"RL"
"total_money",0.50215,0.283800265067285,0,1,20,0.1,"RL"
"win_stay_ratio",0.4977,0.28379642714506,0,1,17,0.085,"RL"
"choice_prob",0.4424,0.234679809666973,0.02,0.98,5,0.025,"SSM"
"has_rt_data",1,0,1,1,200,1,"SSM"
"max_rt",0.45525,0.280915476656459,0,0.98,19,0.095,"SSM"
"mean_rt",0.3838,0.123151906033967,0,0.67,3,0.015,"SSM"
"median_rt",0.4328,0.197196838120757,0.08,1,1,0.005,"SSM"
"min_rt",0.40715,0.173935751726444,0,0.85,2,0.01,"SSM"
"rt_play_mean",0.4006,0.192279737589371,0.02,0.98,3,0.015,"SSM"
"rt_play_median",0.4317,0.226545191116674,0.03,1,4,0.02,"SSM"
"rt_play_quantiles_10%",0.4105,0.199710217200501,0.01,0.88,3,0.015,"SSM"
"rt_play_quantiles_30%",0.45245,0.227312234071979,0.02,0.97,4,0.02,"SSM"
"rt_play_quantiles_50%",0.4317,0.226545191116674,0.03,1,4,0.02,"SSM"
"rt_play_quantiles_70%",0.45605,0.237660070363589,0.02,1,6,0.03,"SSM"
"rt_play_quantiles_90%",0.43705,0.232108096243342,0,0.98,7,0.035,"SSM"
"rt_skip_mean",0.42635,0.234203831466026,0,0.95,9,0.045,"SSM"
"rt_skip_median",0.4496,0.25842553820002,0,1,15,0.075,"SSM"
"rt_skip_quantiles_10%",0.4405,0.240656033859876,0.01,1,6,0.03,"SSM"
"rt_skip_quantiles_30%",0.43525,0.242018184249733,0,0.97,10,0.05,"SSM"
"rt_skip_quantiles_50%",0.4496,0.25842553820002,0,1,15,0.075,"SSM"
"rt_skip_quantiles_70%",0.45565,0.269668654865717,0,0.98,13,0.065,"SSM"
"rt_skip_quantiles_90%",0.46525,0.261944674621978,0,0.99,14,0.07,"SSM"
