"statistic","mean_ppp","sd_ppp","min_ppp","max_ppp","extreme_count","extreme_ratio","component"
"avg_outcome",0.51655,0.281854229226143,0,1,23,0.115,"RL"
"good_deck_ratio",0.5176,0.29933635137798,0,1,22,0.11,"RL"
"lose_shift_ratio",0.5638,0.257509447550744,0.03,1,12,0.06,"RL"
"new_bad_deck_ratio",0.46255,0.289199201921374,0.01,0.99,12,0.06,"RL"
"new_good_deck_ratio",0.54635,0.289494755682792,0.01,0.99,12,0.06,"RL"
"skip_ratio",0.5459,0.271428734272819,0,1,17,0.085,"RL"
"total_money",0.52015,0.282749382966328,0,1,23,0.115,"RL"
"win_stay_ratio",0.4757,0.289859626397115,0,1,21,0.105,"RL"
"choice_prob",0.50445,0.270857001156287,0,1,14,0.07,"SSM"
"has_rt_data",1,0,1,1,200,1,"SSM"
"max_rt",0.444,0.284627941928815,0,1,16,0.08,"SSM"
"mean_rt",0.3042,0.158644889627826,0,0.7,11,0.055,"SSM"
"median_rt",0.32845,0.223517106694151,0,1,19,0.095,"SSM"
"min_rt",0.4078,0.201915848932795,0,0.99,8,0.04,"SSM"
"rt_play_mean",0.3185,0.207215931364013,0,0.82,15,0.075,"SSM"
"rt_play_median",0.34415,0.236805111439808,0,1,21,0.105,"SSM"
"rt_play_quantiles_10%",0.356,0.213678008829375,0,0.93,14,0.07,"SSM"
"rt_play_quantiles_30%",0.3665,0.247070779027481,0,0.98,19,0.095,"SSM"
"rt_play_quantiles_50%",0.34415,0.236805111439808,0,1,21,0.105,"SSM"
"rt_play_quantiles_70%",0.36085,0.257759534036929,0,1,20,0.1,"SSM"
"rt_play_quantiles_90%",0.36695,0.22660970254257,0,0.92,14,0.07,"SSM"
"rt_skip_mean",0.39105,0.215673300067044,0,0.96,6,0.03,"SSM"
"rt_skip_median",0.4095,0.238781980414884,0,0.98,7,0.035,"SSM"
"rt_skip_quantiles_10%",0.3931,0.240966208352622,0,1,17,0.085,"SSM"
"rt_skip_quantiles_30%",0.39825,0.250622215645131,0,1,13,0.065,"SSM"
"rt_skip_quantiles_50%",0.4095,0.238781980414884,0,0.98,7,0.035,"SSM"
"rt_skip_quantiles_70%",0.40405,0.241332351789188,0,0.99,10,0.05,"SSM"
"rt_skip_quantiles_90%",0.42415,0.240416885626764,0,0.95,8,0.04,"SSM"
