"statistic","mean_ppp","sd_ppp","min_ppp","max_ppp","extreme_count","extreme_ratio","component"
"avg_outcome",0.5295,0.284533913160968,0,1,15,0.075,"RL"
"good_deck_ratio",0.5498,0.278370997160806,0,1,14,0.07,"RL"
"lose_shift_ratio",0.55315,0.2465736611071,0.06,1,11,0.055,"RL"
"new_bad_deck_ratio",0.41475,0.26813507714954,0,0.93,9,0.045,"RL"
"new_good_deck_ratio",0.59485,0.266803105276016,0.07,1,10,0.05,"RL"
"skip_ratio",0.60725,0.273725346518427,0.01,1,23,0.115,"RL"
"total_money",0.53365,0.286026631047428,0.01,1,14,0.07,"RL"
"win_stay_ratio",0.48595,0.284952781947639,0.01,1,16,0.08,"RL"
"choice_prob",0.43755,0.277585601808988,0,0.99,18,0.09,"SSM"
"has_rt_data",1,0,1,1,200,1,"SSM"
"max_rt",0.37675,0.26755910914118,0,0.97,21,0.105,"SSM"
"mean_rt",0.22895,0.137564594238269,0,0.56,25,0.125,"SSM"
"median_rt",0.29305,0.212068533295419,0,1,21,0.105,"SSM"
"min_rt",0.4177,0.209780239164032,0,0.97,4,0.02,"SSM"
"rt_play_mean",0.2888,0.193355869997038,0,0.81,21,0.105,"SSM"
"rt_play_median",0.35435,0.241913597059386,0,1,20,0.1,"SSM"
"rt_play_quantiles_10%",0.31665,0.196686822207668,0,0.77,14,0.07,"SSM"
"rt_play_quantiles_30%",0.35625,0.253076423001822,0,0.97,20,0.1,"SSM"
"rt_play_quantiles_50%",0.35435,0.241913597059386,0,1,20,0.1,"SSM"
"rt_play_quantiles_70%",0.3469,0.238749653371318,0,1,18,0.09,"SSM"
"rt_play_quantiles_90%",0.3398,0.240942370974167,0,0.98,22,0.11,"SSM"
"rt_skip_mean",0.275,0.208056331761207,0,0.78,27,0.135,"SSM"
"rt_skip_median",0.29085,0.205310838001809,0,0.89,15,0.075,"SSM"
"rt_skip_quantiles_10%",0.352,0.249618804857914,0,0.98,17,0.085,"SSM"
"rt_skip_quantiles_30%",0.29145,0.205554520271436,0,0.92,15,0.075,"SSM"
"rt_skip_quantiles_50%",0.29085,0.205310838001809,0,0.89,15,0.075,"SSM"
"rt_skip_quantiles_70%",0.2989,0.224384787058563,0,0.86,28,0.14,"SSM"
"rt_skip_quantiles_90%",0.3282,0.246714613475798,0,0.95,20,0.1,"SSM"
