"statistic","mean_ppp","sd_ppp","min_ppp","max_ppp","extreme_count","extreme_ratio","component"
"avg_outcome",0.4933,0.29325946801065,0,1,21,0.105,"RL"
"good_deck_ratio",0.53355,0.284991223527036,0,0.99,15,0.075,"RL"
"lose_shift_ratio",0.5716,0.237682360562607,0.1,0.99,9,0.045,"RL"
"new_bad_deck_ratio",0.44915,0.254863797500512,0,0.97,8,0.04,"RL"
"new_good_deck_ratio",0.5603,0.255622031749178,0.03,1,8,0.04,"RL"
"skip_ratio",0.59175,0.29542310599848,0,1,24,0.12,"RL"
"total_money",0.4966,0.294370019775645,0,1,21,0.105,"RL"
"win_stay_ratio",0.5323,0.27006924479645,0,1,21,0.105,"RL"
"choice_prob",0.4518,0.298905474041645,0,1,22,0.11,"SSM"
"has_rt_data",1,0,1,1,200,1,"SSM"
"max_rt",0.39135,0.257661843562722,0,0.95,15,0.075,"SSM"
"mean_rt",0.20615,0.117305071925716,0,0.49,21,0.105,"SSM"
"median_rt",0.28285,0.240976609094437,0,1,30,0.15,"SSM"
"min_rt",0.3875,0.214765853569175,0,0.98,9,0.045,"SSM"
"rt_play_mean",0.286,0.203427910014492,0,0.92,23,0.115,"SSM"
"rt_play_median",0.3427,0.251683198010523,0,1,23,0.115,"SSM"
"rt_play_quantiles_10%",0.3665,0.21398762468327,0,0.95,9,0.045,"SSM"
"rt_play_quantiles_30%",0.3334,0.241950698910992,0,0.99,25,0.125,"SSM"
"rt_play_quantiles_50%",0.3427,0.251683198010523,0,1,23,0.115,"SSM"
"rt_play_quantiles_70%",0.3293,0.244500331411435,0,1,21,0.105,"SSM"
"rt_play_quantiles_90%",0.3192,0.232917610036954,0,0.99,19,0.095,"SSM"
"rt_skip_mean",0.24815,0.189514262732108,0,0.89,28,0.14,"SSM"
"rt_skip_median",0.2814,0.216112384684613,0,0.9,20,0.1,"SSM"
"rt_skip_quantiles_10%",0.3429,0.250558351361885,0,1,23,0.115,"SSM"
"rt_skip_quantiles_30%",0.2806,0.224811791747103,0,0.97,30,0.15,"SSM"
"rt_skip_quantiles_50%",0.2814,0.216112384684613,0,0.9,20,0.1,"SSM"
"rt_skip_quantiles_70%",0.273,0.214684529568809,0,0.97,31,0.155,"SSM"
"rt_skip_quantiles_90%",0.3247,0.254184892940149,0,1,24,0.12,"SSM"
