"statistic","observed","predicted_mean","predicted_sd","predicted_q025","predicted_q975","ppp_value","ppp_extreme","subject_id","component"
"ssm_has_rt_data",1,1,0,1,1,1,TRUE,"200001","SSM"
"ssm_mean_rt",0.492930580453587,0.490619766184667,0.0386012468093506,0.432651871129823,0.577529465680414,0.44,FALSE,"200001","SSM"
"ssm_median_rt",0.391593655538554,0.403676882647343,0.0347311273391808,0.35158157315762,0.472489654305409,0.62,FALSE,"200001","SSM"
"ssm_min_rt",0.178259082896798,0.165352371990808,0.0142950632310004,0.135926434466471,0.18668661250232,0.19,FALSE,"200001","SSM"
"ssm_max_rt",1.84989402614637,1.74164298632336,0.348774331541473,1.20824832347077,2.4356244138394,0.37,FALSE,"200001","SSM"
"ssm_rt_play_mean",0.500954192050901,0.487715235873399,0.0413390304991057,0.425097946863719,0.584870352700982,0.38,FALSE,"200001","SSM"
"ssm_rt_play_median",0.400720844473225,0.402517872121526,0.0374925191054843,0.338869986192373,0.471233503854728,0.47,FALSE,"200001","SSM"
"ssm_rt_play_quantiles_10%",0.21716062779215,0.224878195336272,0.0158840220896957,0.198027560337766,0.254254102674872,0.64,FALSE,"200001","SSM"
"ssm_rt_play_quantiles_30%",0.294450455273435,0.301866523155357,0.0239915382234905,0.262421528674319,0.350818586143874,0.62,FALSE,"200001","SSM"
"ssm_rt_play_quantiles_50%",0.400720844473225,0.402517872121526,0.0374925191054843,0.338869986192373,0.471233503854728,0.47,FALSE,"200001","SSM"
"ssm_rt_play_quantiles_70%",0.602524626492624,0.55378373511547,0.0596977288786325,0.456924797908745,0.667647238736587,0.18,FALSE,"200001","SSM"
"ssm_rt_play_quantiles_90%",0.874063320172002,0.864596209224676,0.0917383319818786,0.710594979142468,1.04181994237506,0.43,FALSE,"200001","SSM"
"ssm_rt_skip_mean",0.465293696062837,0.499504340914662,0.0711246912567269,0.390622445771505,0.67139577294712,0.69,FALSE,"200001","SSM"
"ssm_rt_skip_median",0.390510069566887,0.421259804651785,0.070742942849006,0.325765856265566,0.596433502953307,0.6,FALSE,"200001","SSM"
"ssm_rt_skip_quantiles_10%",0.220167887593804,0.238138694765775,0.0273131187491843,0.187021029397943,0.295541986148396,0.74,FALSE,"200001","SSM"
"ssm_rt_skip_quantiles_30%",0.318893419062685,0.322222489556457,0.0443420268834049,0.250713643965815,0.43977504529957,0.46,FALSE,"200001","SSM"
"ssm_rt_skip_quantiles_50%",0.390510069566887,0.421259804651785,0.070742942849006,0.325765856265566,0.596433502953307,0.6,FALSE,"200001","SSM"
"ssm_rt_skip_quantiles_70%",0.500296622591595,0.566501355436964,0.111023384133869,0.401232382003918,0.826296551123496,0.72,FALSE,"200001","SSM"
"ssm_rt_skip_quantiles_90%",0.839256034015416,0.844635830199245,0.178388409030433,0.571754905898415,1.26878169013754,0.45,FALSE,"200001","SSM"
"ssm_choice_prob",0.775,0.7485,0.0521477547716262,0.636458333333333,0.837708333333333,0.28,FALSE,"200001","SSM"
"ssm_has_rt_data",1,1,0,1,1,1,TRUE,"200002","SSM"
"ssm_mean_rt",0.519104126427532,0.512067321258651,0.0483413959497017,0.43108758460505,0.59848085280463,0.41,FALSE,"200002","SSM"
"ssm_median_rt",0.415746638794525,0.398786590426016,0.0430684470414486,0.320914621965838,0.484229956149432,0.35,FALSE,"200002","SSM"
