"statistic","observed","predicted_mean","predicted_sd","predicted_q025","predicted_q975","ppp_value","ppp_extreme","subject_id","component"
"total_money",-2125,171.5,1137.79769109389,-2107.5,2038.125,0.97,TRUE,"200002","RL"
"skip_ratio",0.408333333333333,0.587333333333333,0.0649449391241929,0.470208333333333,0.708333333333333,1,TRUE,"200002","RL"
"good_deck_ratio",0.690140845070423,0.684057637256406,0.0895592828427349,0.541025641025641,0.872981266149871,0.41,FALSE,"200002","RL"
"new_good_deck_ratio",0.875,0.808913667062082,0.0652637181622753,0.687516339869281,0.925046904315197,0.19,FALSE,"200002","RL"
"new_bad_deck_ratio",0.125,0.191086332937918,0.0652637181622753,0.074953095684803,0.312483660130719,0.82,FALSE,"200002","RL"
"avg_outcome",-29.9295774647887,3.48643408309229,22.717250219448,-46.7487244897959,37.9426381401617,0.9,FALSE,"200002","RL"
"win_stay_ratio",0.208333333333333,0.0989050568877057,0.0511780101923403,0,0.203088235294118,0.02,TRUE,"200002","RL"
"lose_shift_ratio",0.8,0.863638187405989,0.107618117929007,0.650757575757576,1,0.79,FALSE,"200002","RL"
"has_rt_data",1,1,0,1,1,1,TRUE,"200002","SSM"
"mean_rt",0.430614477722453,0.331221408462027,0.0377334520120308,0.248468379609064,0.394131656533186,0,TRUE,"200002","SSM"
"median_rt",0.313364136866096,0.25028291728376,0.0384619268533801,0.161914870561105,0.312777581129128,0.03,TRUE,"200002","SSM"
"min_rt",0.077077435155229,0.0591404574762128,0.00434922883192515,0.0547706793443711,0.0666612758763871,0.01,TRUE,"200002","SSM"
"max_rt",2.05716674735006,1.54270828836682,0.314699195722262,1.04713011328091,2.17183634194099,0.07,FALSE,"200002","SSM"
"rt_play_mean",0.445991977533219,0.333564958348276,0.0422633891362722,0.263660096462158,0.413466852559547,0.01,TRUE,"200002","SSM"
"rt_play_median",0.335938168819614,0.252521484469812,0.0382943759823293,0.177185333919526,0.332735090290407,0.03,TRUE,"200002","SSM"
"rt_play_quantiles_10%",0.131319420608526,0.0950190965482809,0.0145931458869195,0.0702438898115931,0.12442027855445,0.01,TRUE,"200002","SSM"
"rt_play_quantiles_30%",0.259881830073371,0.165843418861917,0.0254299064309851,0.124598122054797,0.218835893707107,0,TRUE,"200002","SSM"
"rt_play_quantiles_50%",0.335938168819614,0.252521484469812,0.0382943759823293,0.177185333919526,0.332735090290407,0.03,TRUE,"200002","SSM"
"rt_play_quantiles_70%",0.46867849792483,0.382351733167742,0.0596962678463233,0.279264531669379,0.500317844738684,0.09,FALSE,"200002","SSM"
"rt_play_quantiles_90%",0.824176897746675,0.662670636202671,0.1141360036995,0.470110626505621,0.897177985792861,0.08,FALSE,"200002","SSM"
"rt_skip_mean",0.408332794323179,0.330760330147824,0.0493475080034588,0.218173053554773,0.414441092030488,0.04,TRUE,"200002","SSM"
"rt_skip_median",0.294374457780764,0.252553436096677,0.0501148190802998,0.144183874124914,0.338194907891907,0.17,FALSE,"200002","SSM"
"rt_skip_quantiles_10%",0.124833575748626,0.104720856478171,0.0139511721635532,0.0805313442890955,0.137660778277974,0.08,FALSE,"200002","SSM"
"rt_skip_quantiles_30%",0.206517928556724,0.175053865715556,0.0334149499738915,0.112567368496794,0.234388611624645,0.15,FALSE,"200002","SSM"
"rt_skip_quantiles_50%",0.294374457780764,0.252553436096677,0.0501148190802998,0.144183874124914,0.338194907891907,0.17,FALSE,"200002","SSM"
"rt_skip_quantiles_70%",0.43770660345539,0.375959524829347,0.0704462450126069,0.215792834215677,0.499164587243927,0.17,FALSE,"200002","SSM"
"rt_skip_quantiles_90%",0.832665219394869,0.645645679822328,0.11508228911475,0.414636398607117,0.829000025552981,0.03,TRUE,"200002","SSM"
"choice_prob",0.591666666666667,0.412666666666667,0.0649449391241929,0.291666666666667,0.529791666666666,0,TRUE,"200002","SSM"
"total_money",1425,882,592.078175291545,-201.25,2026.25,0.18,FALSE,"200006","RL"
"skip_ratio",0.508333333333333,0.609333333333333,0.0602007490883366,0.499583333333333,0.733333333333333,0.97,TRUE,"200006","RL"
"good_deck_ratio",0.915254237288136,0.850726930436909,0.0562833502879139,0.718617021276596,0.909143518518519,0.02,TRUE,"200006","RL"
"new_good_deck_ratio",0.947368421052632,0.925479357065476,0.0166359143653975,0.882692307692308,0.945965909090909,0.02,TRUE,"200006","RL"
"new_bad_deck_ratio",0.0526315789473684,0.0745206429345245,0.0166359143653975,0.0540340909090909,0.117307692307692,1,TRUE,"200006","RL"
"avg_outcome",24.1525423728814,18.7759294127774,12.1123661600163,-4.57752613240418,41.7559523809524,0.33,FALSE,"200006","RL"
"win_stay_ratio",0.177777777777778,0.131060172020246,0.0692225383904614,0.0317288306451613,0.268558558558558,0.26,FALSE,"200006","RL"
"lose_shift_ratio",0.8,0.840232989232989,0.125503512368174,0.5475,1,0.69,FALSE,"200006","RL"
"has_rt_data",1,1,0,1,1,1,TRUE,"200006","SSM"
"mean_rt",0.564011479972952,0.400339476745852,0.0572141885738926,0.290957460567844,0.506727146331359,0.01,TRUE,"200006","SSM"
"median_rt",0.392510950785658,0.277351760792069,0.0502395964208887,0.188813075344174,0.374661201010426,0.01,TRUE,"200006","SSM"
"min_rt",0.118042199824668,0.0989929951525225,0.012194484243705,0.0792631097580181,0.125381829434454,0.06,FALSE,"200006","SSM"
"max_rt",3.80738506628885,2.22296426975306,0.765260258049258,1.28694327814086,4.15979791840394,0.05,FALSE,"200006","SSM"
"rt_play_mean",0.679377736970593,0.493747268655436,0.0830840738372265,0.352738224905602,0.656972425532542,0.02,TRUE,"200006","SSM"
"rt_play_median",0.499107363873316,0.384821868109964,0.0693615760154269,0.273290864191819,0.540544777683384,0.09,FALSE,"200006","SSM"
"rt_play_quantiles_10%",0.203529143286871,0.144284933393544,0.0246746091404081,0.105886232159386,0.2022064410992,0.01,TRUE,"200006","SSM"
"rt_play_quantiles_30%",0.312524335593118,0.254021336639692,0.0463590266021647,0.188395719503477,0.368593807115614,0.11,FALSE,"200006","SSM"
"rt_play_quantiles_50%",0.499107363873316,0.384821868109964,0.0693615760154269,0.273290864191819,0.540544777683384,0.09,FALSE,"200006","SSM"
"rt_play_quantiles_70%",0.736916950265346,0.563132042127753,0.105579935385586,0.378743694020142,0.763083555651876,0.08,FALSE,"200006","SSM"
"rt_play_quantiles_90%",1.27555562905776,0.963452062622281,0.215741712596979,0.572686921370368,1.41322780821094,0.05,FALSE,"200006","SSM"
"rt_skip_mean",0.452427723204741,0.3392558306111,0.0662866636287212,0.230455820054509,0.473260039100453,0.06,FALSE,"200006","SSM"
"rt_skip_median",0.370832797096329,0.235996153947422,0.0512999995074357,0.143058495153447,0.33961700294321,0,TRUE,"200006","SSM"
"rt_skip_quantiles_10%",0.190968217643239,0.135922009718885,0.0182699774699933,0.104229847017078,0.175538844095723,0,TRUE,"200006","SSM"
"rt_skip_quantiles_30%",0.268136758272401,0.178000637936083,0.0322324892138306,0.121916713528561,0.243057300397648,0,TRUE,"200006","SSM"
"rt_skip_quantiles_50%",0.370832797096329,0.235996153947422,0.0512999995074357,0.143058495153447,0.33961700294321,0,TRUE,"200006","SSM"
"rt_skip_quantiles_70%",0.506035788782372,0.34087805403928,0.0870823407613072,0.195237762074946,0.499101601804874,0.02,TRUE,"200006","SSM"
"rt_skip_quantiles_90%",0.795450857220037,0.65224972866547,0.165733422338082,0.36923293613637,0.950022574039886,0.25,FALSE,"200006","SSM"
"choice_prob",0.491666666666667,0.390666666666667,0.0602007490883366,0.266666666666667,0.500416666666667,0.07,FALSE,"200006","SSM"
"total_money",1850,443.5,606.973573717933,-851.25,1364.375,0.01,TRUE,"200007","RL"
"skip_ratio",0.608333333333333,0.783916666666667,0.0533298478448608,0.675,0.875416666666667,1,TRUE,"200007","RL"
"good_deck_ratio",0.893617021276596,0.750523504003049,0.0969594097640261,0.461470588235294,0.864864864864865,0,TRUE,"200007","RL"
"new_good_deck_ratio",0.933333333333333,0.856757509431003,0.0411717626721458,0.75,0.914285714285714,0,TRUE,"200007","RL"
"new_bad_deck_ratio",0.0666666666666667,0.143242490568997,0.0411717626721458,0.0857142857142857,0.25,1,TRUE,"200007","RL"
"avg_outcome",39.3617021276596,15.6793010309107,22.4965103186339,-37.0052083333333,51.852904040404,0.11,FALSE,"200007","RL"
"win_stay_ratio",0.128205128205128,0.0690457407532503,0.0463911386560624,0,0.145541958041958,0.07,FALSE,"200007","RL"
"lose_shift_ratio",0.8,0.88462000962001,0.122256400524066,0.63,1,0.838383838383838,FALSE,"200007","RL"
"has_rt_data",1,1,0,1,1,1,TRUE,"200007","SSM"
"mean_rt",0.49916614650853,0.371326120924303,0.0347287135675791,0.307751608276893,0.438795502079927,0,TRUE,"200007","SSM"
"median_rt",0.399506861604165,0.297951804628092,0.0275908864623398,0.252589323846602,0.350511609494595,0,TRUE,"200007","SSM"
"min_rt",0.256109339772971,0.230332878191026,0.00722756182065984,0.215106210343526,0.243688160432765,0,TRUE,"200007","SSM"
"max_rt",1.60780080747639,1.35001984495598,0.341651775655542,0.892770063037291,2.18157029421083,0.17,FALSE,"200007","SSM"
"rt_play_mean",0.639401173431504,0.428938526496661,0.0633707784129517,0.313254988676644,0.537887896386306,0,TRUE,"200007","SSM"
