"statistic","observed","predicted_mean","predicted_sd","predicted_q025","predicted_q975","ppp_value","ppp_extreme","subject_id","component"
"rl_total_money",1575,1093.25,937.570569734526,-593.125,3370.625,0.31,FALSE,"200438","RL"
"rl_skip_ratio",0.325,0.479833333333333,0.0782559256477738,0.303958333333333,0.646041666666667,0.95,FALSE,"200438","RL"
"rl_good_deck_ratio",0.641975308641975,0.84934774772673,0.0849563018227981,0.648806818181818,0.920634920634921,0.98,TRUE,"200438","RL"
"rl_new_good_deck_ratio",0.945454545454545,0.943358219032318,0.00974087917720342,0.923076923076923,0.950819672131147,0.66,FALSE,"200438","RL"
"rl_new_bad_deck_ratio",0.0545454545454545,0.0566417809676817,0.00974087917720344,0.0491803278688525,0.0769230769230769,0.4,FALSE,"200438","RL"
"rl_avg_outcome",19.4444444444444,17.115034963905,13.247138420484,-10.5719043887147,40.8499276759884,0.45,FALSE,"200438","RL"
"rl_win_stay_ratio",0.212121212121212,0.176777545791234,0.0559653116755441,0.0481428571428571,0.284455638034641,0.24,FALSE,"200438","RL"
"rl_lose_shift_ratio",0.571428571428571,0.792960345210345,0.116471788406147,0.550252525252525,1,0.95,FALSE,"200438","RL"
"rl_total_money",-1875,-947,2183.05364852155,-4915.625,2439.375,0.64,FALSE,"200442","RL"
"rl_skip_ratio",0.325,0.106583333333333,0.103653077319057,0.0583333333333333,0.467083333333333,0.05,FALSE,"200442","RL"
"rl_good_deck_ratio",0.654320987654321,0.547591340262276,0.0928089094484354,0.506694342456609,0.906507444168734,0.11,FALSE,"200442","RL"
"rl_new_good_deck_ratio",0.946428571428571,0.717493559004634,0.0958899114231666,0.670588235294118,0.950819672131147,0.11,FALSE,"200442","RL"
"rl_new_bad_deck_ratio",0.0535714285714286,0.282506440995366,0.0958899114231666,0.0491803278688525,0.329411764705882,0.89,FALSE,"200442","RL"
"rl_avg_outcome",-23.1481481481481,-7.76664634299877,20.6722159396301,-43.5011061946903,27.3713942307692,0.76,FALSE,"200442","RL"
"rl_win_stay_ratio",0.131147540983607,0.226276095267253,0.0439529476529364,0.151826923076923,0.319449275362319,0.99,TRUE,"200442","RL"
"rl_lose_shift_ratio",1,0.760112691493448,0.0851424974135645,0.627199074074074,0.928461538461538,0.01,TRUE,"200442","RL"
"rl_total_money",-550,327.5,992.023108846184,-1514.375,1888.125,0.82,FALSE,"200444","RL"
"rl_skip_ratio",0.591666666666667,0.660166666666667,0.0657617455892141,0.549166666666667,0.792083333333333,0.9,FALSE,"200444","RL"
"rl_good_deck_ratio",0.693877551020408,0.743061342757046,0.0793335241943376,0.585181818181818,0.861111111111111,0.71,FALSE,"200444","RL"
"rl_new_good_deck_ratio",0.790697674418605,0.861546267097487,0.0448593785622753,0.763235294117647,0.921052631578947,0.9,FALSE,"200444","RL"
"rl_new_bad_deck_ratio",0.209302325581395,0.138453732902513,0.0448593785622753,0.0789473684210526,0.236764705882353,0.1,FALSE,"200444","RL"
"rl_avg_outcome",-11.2244897959184,8.51710134902626,23.2715792913643,-40.939487281399,41.9974489795918,0.81,FALSE,"200444","RL"
"rl_win_stay_ratio",0,0.0823905549645643,0.0519648287743904,0,0.188386824324324,1,TRUE,"200444","RL"
"rl_lose_shift_ratio",0.909090909090909,0.869823371073371,0.110889501533717,0.631666666666667,1,0.37,FALSE,"200444","RL"
"rl_total_money",1175,857,652.385676350325,-566.875,1913.125,0.31,FALSE,"200446","RL"
"rl_skip_ratio",0.566666666666667,0.61075,0.077861562015581,0.470625,0.742083333333333,0.75,FALSE,"200446","RL"
"rl_good_deck_ratio",0.903846153846154,0.864633659010346,0.0627662417306926,0.675462962962963,0.918032786885246,0.17,FALSE,"200446","RL"
"rl_new_good_deck_ratio",0.94,0.927101288317994,0.0223043870642105,0.89625,0.949597457627119,0.21,FALSE,"200446","RL"
"rl_new_bad_deck_ratio",0.06,0.072898711682006,0.0223043870642105,0.0504025423728814,0.10375,0.79,FALSE,"200446","RL"
"rl_avg_outcome",22.5961538461538,17.783312705445,13.7130160100969,-16.7797911547912,38.1119791666667,0.41,FALSE,"200446","RL"
"rl_win_stay_ratio",0.142857142857143,0.130069834602865,0.0680621100418182,0,0.25625,0.4,FALSE,"200446","RL"
"rl_lose_shift_ratio",0.714285714285714,0.80618228993229,0.14314967023525,0.557792207792208,1,0.8,FALSE,"200446","RL"
"rl_total_money",1900,453.75,1652.12357606992,-2830,3550,0.19,FALSE,"200448","RL"
"rl_skip_ratio",0.233333333333333,0.315666666666667,0.07137498390698,0.187291666666667,0.4425,0.89,FALSE,"200448","RL"
"rl_good_deck_ratio",0.565217391304348,0.63966763634474,0.0755059109095654,0.517983351235231,0.827391304347826,0.87,FALSE,"200448","RL"
"rl_new_good_deck_ratio",0.764705882352941,0.858891014891135,0.0752413075109503,0.691419860627178,0.948275862068966,0.88,FALSE,"200448","RL"
