"statistic","observed","predicted_mean","predicted_sd","predicted_q025","predicted_q975","ppp_value","ppp_extreme","subject_id","component"
"total_money",150,-528.5,1839.50414651626,-4294.375,2514.375,0.37,FALSE,"200004","RL"
"skip_ratio",0.233333333333333,0.259166666666667,0.0524711988767175,0.170625,0.38375,0.72,FALSE,"200004","RL"
"good_deck_ratio",0.478260869565217,0.525787241449368,0.0310947344438804,0.461379310344828,0.574313186813187,0.93,FALSE,"200004","RL"
"new_good_deck_ratio",0.666666666666667,0.714918851105555,0.0391629291919725,0.63768115942029,0.785719696969697,0.92,FALSE,"200004","RL"
"new_bad_deck_ratio",0.333333333333333,0.285081148894445,0.0391629291919725,0.214280303030303,0.36231884057971,0.09,FALSE,"200004","RL"
"avg_outcome",1.6304347826087,-6.17541893447044,20.9851445778368,-50.0687056737589,28.5741115756467,0.37,FALSE,"200004","RL"
"win_stay_ratio",0.230769230769231,0.197440681044153,0.0469054565128576,0.115882352941176,0.293670814479638,0.21,FALSE,"200004","RL"
"lose_shift_ratio",0.842105263157895,0.854674997190632,0.0809198778873656,0.682,1,0.62,FALSE,"200004","RL"
"has_rt_data",1,1,0,1,1,1,TRUE,"200004","SSM"
"mean_rt",0.460411691102169,0.458684561409292,0.038688583381685,0.382987334251231,0.534139758859519,0.48,FALSE,"200004","SSM"
"median_rt",0.370323173010092,0.355582185305247,0.034901545241067,0.290205794563849,0.419618532986237,0.37,FALSE,"200004","SSM"
"min_rt",0.144429999614747,0.135930692175847,0.00905003510636414,0.120298631917653,0.154816237501834,0.15,FALSE,"200004","SSM"
"max_rt",1.56689797828623,1.87678150914884,0.42742427198678,1.2259596864669,2.92952719740656,0.77,FALSE,"200004","SSM"
"rt_play_mean",0.42686901349036,0.42288323927127,0.0387926070229332,0.352691650008554,0.493078820597687,0.44,FALSE,"200004","SSM"
"rt_play_median",0.337033621072892,0.320652390788208,0.0320166809139601,0.263948341751555,0.383225116672919,0.29,FALSE,"200004","SSM"
"rt_play_quantiles_10%",0.179433077748391,0.176222984699724,0.0152365979117398,0.149988779460238,0.209776168451181,0.33,FALSE,"200004","SSM"
"rt_play_quantiles_30%",0.218395436825224,0.239091857933899,0.0215772297410573,0.204954541774217,0.285695161032226,0.84,FALSE,"200004","SSM"
"rt_play_quantiles_50%",0.337033621072892,0.320652390788208,0.0320166809139601,0.263948341751555,0.383225116672919,0.29,FALSE,"200004","SSM"
