"statistic","observed","predicted_mean","predicted_sd","predicted_q025","predicted_q975","ppp_value","ppp_extreme","subject_id","component"
"total_money",-900,-461.25,1678.95987146805,-4276.25,1739.375,0.67,FALSE,"200001","RL"
"skip_ratio",0.375,0.36525,0.0449631193175633,0.278958333333333,0.45875,0.44,FALSE,"200001","RL"
"good_deck_ratio",0.546666666666667,0.522795917302437,0.0328185755751465,0.457386363636364,0.583513513513513,0.22,FALSE,"200001","RL"
"new_good_deck_ratio",0.672131147540984,0.685067125488785,0.0347402637440469,0.620689655172414,0.735849056603774,0.66,FALSE,"200001","RL"
"new_bad_deck_ratio",0.327868852459016,0.314932874511215,0.0347402637440469,0.264150943396226,0.379310344827586,0.36,FALSE,"200001","RL"
"avg_outcome",-12,-6.07654493573532,22.4184031434553,-60.1441595705294,25.7060620300751,0.68,FALSE,"200001","RL"
"win_stay_ratio",0.160714285714286,0.150252984796526,0.0431870937797104,0.0799519807923169,0.247916666666667,0.43,FALSE,"200001","RL"
"lose_shift_ratio",0.875,0.888186261800224,0.0810037685148452,0.698755656108597,1,0.59,FALSE,"200001","RL"
"has_rt_data",1,1,0,1,1,1,TRUE,"200001","SSM"
"mean_rt",0.491204799190322,0.491967735032288,0.0353106637229251,0.433505847998453,0.56345545643627,0.49,FALSE,"200001","SSM"
"median_rt",0.402700824805342,0.404626521598678,0.0312178822889959,0.356872089313688,0.472262814895472,0.46,FALSE,"200001","SSM"
"min_rt",0.182783631335415,0.177874430354828,0.0100949568037723,0.158435501767728,0.199007039273,0.34,FALSE,"200001","SSM"
"max_rt",1.37658011071597,1.79105843842455,0.435304320919575,1.20138146894199,2.79728024652309,0.84,FALSE,"200001","SSM"
"rt_play_mean",0.447580425364062,0.454483618321398,0.0430295984218227,0.386798907976752,0.544409735774742,0.5,FALSE,"200001","SSM"
"rt_play_median",0.350278679727633,0.364652684000818,0.0351620784640753,0.312465922514499,0.443147982323731,0.6,FALSE,"200001","SSM"
"rt_play_quantiles_10%",0.206514809768973,0.216349732653013,0.0127214219958555,0.195937035073704,0.24144726908968,0.78,FALSE,"200001","SSM"
"rt_play_quantiles_30%",0.260343659940643,0.280069890050522,0.0249632935290182,0.242016912730509,0.331677901856732,0.75,FALSE,"200001","SSM"
"rt_play_quantiles_50%",0.350278679727633,0.364652684000818,0.0351620784640753,0.312465922514499,0.443147982323731,0.6,FALSE,"200001","SSM"
"rt_play_quantiles_70%",0.536950151332901,0.500097473587102,0.0598666078949378,0.413193859132356,0.6307054614807,0.25,FALSE,"200001","SSM"
"rt_play_quantiles_90%",0.856441932280264,0.818891539406419,0.129611892744701,0.619492619365046,1.10105325894967,0.36,FALSE,"200001","SSM"
"rt_skip_mean",0.563912088900754,0.557398283800786,0.047502419842267,0.4824956883006,0.669386719356037,0.4,FALSE,"200001","SSM"
"rt_skip_median",0.461768766902473,0.479063401583039,0.0482273866547052,0.397635624142108,0.581518258859489,0.62,FALSE,"200001","SSM"
"rt_skip_quantiles_10%",0.291636251550751,0.276157961612531,0.0272132878387019,0.232199023316999,0.332390221254503,0.27,FALSE,"200001","SSM"
"rt_skip_quantiles_30%",0.379372664457661,0.372704301806225,0.0393426321273985,0.305522399936655,0.461198703472363,0.41,FALSE,"200001","SSM"
"rt_skip_quantiles_50%",0.461768766902473,0.479063401583039,0.0482273866547052,0.397635624142108,0.581518258859489,0.62,FALSE,"200001","SSM"
"rt_skip_quantiles_70%",0.634255735829131,0.622894263149435,0.0643557912996387,0.522537452896541,0.764044542734303,0.4,FALSE,"200001","SSM"
"rt_skip_quantiles_90%",1.03116783268806,0.928197173402911,0.127137430876692,0.727772636032556,1.23775781229416,0.21,FALSE,"200001","SSM"
"choice_prob",0.625,0.63475,0.0449631193175633,0.54125,0.721041666666667,0.64,FALSE,"200001","SSM"
"total_money",-2575,-685,1466.4815654546,-3268.125,1731.25,0.9,FALSE,"200002","RL"
"skip_ratio",0.408333333333333,0.412166666666667,0.0442295943299319,0.333333333333333,0.491666666666667,0.59,FALSE,"200002","RL"
"good_deck_ratio",0.52112676056338,0.528912320253863,0.0270794363875957,0.478211057389111,0.582742537313433,0.68,FALSE,"200002","RL"
"new_good_deck_ratio",0.660714285714286,0.693639918417376,0.0308016269003565,0.634615384615385,0.756949331456721,0.86,FALSE,"200002","RL"
"new_bad_deck_ratio",0.339285714285714,0.306360081582624,0.0308016269003565,0.243050668543279,0.365384615384615,0.15,FALSE,"200002","RL"
"avg_outcome",-36.2676056338028,-9.85957265679879,20.7037547544604,-46.7206695331695,23.4420021186441,0.9,FALSE,"200002","RL"
"win_stay_ratio",0.102040816326531,0.142860002401831,0.0531644661050542,0.0429925994449584,0.247576530612245,0.79,FALSE,"200002","RL"
"lose_shift_ratio",0.95,0.88771534433246,0.0836475630727129,0.703993055555556,1,0.2,FALSE,"200002","RL"
