"statistic","observed","predicted_mean","predicted_sd","predicted_q025","predicted_q975","ppp_value","ppp_extreme","subject_id","component"
"total_money",2125,-389.25,1803.16169784794,-4803.125,2546.875,0.06,FALSE,"200001","RL"
"skip_ratio",0.241666666666667,0.304833333333333,0.0556083082876766,0.203541666666667,0.421041666666667,0.91,FALSE,"200001","RL"
"good_deck_ratio",0.527472527472527,0.534579380403805,0.0365774795938093,0.469078847033704,0.602421686746988,0.59,FALSE,"200001","RL"
"new_good_deck_ratio",0.666666666666667,0.736871121362582,0.0478999930880257,0.661016949152542,0.839012096774194,0.94,FALSE,"200001","RL"
"new_bad_deck_ratio",0.333333333333333,0.263128878637418,0.0478999930880257,0.160987903225806,0.338983050847458,0.08,FALSE,"200001","RL"
"avg_outcome",23.3516483516484,-4.93124750240521,22.1250146279805,-59.1266025641026,30.6446479799187,0.06,FALSE,"200001","RL"
"win_stay_ratio",0.142857142857143,0.176758930926582,0.0488681715330493,0.0812698622881356,0.285507246376812,0.79,FALSE,"200001","RL"
"lose_shift_ratio",0.875,0.874018327434669,0.0861690520202389,0.722222222222222,1,0.49,FALSE,"200001","RL"
"has_rt_data",1,1,0,1,1,1,TRUE,"200001","SSM"
"mean_rt",0.495619613153128,0.498857682725488,0.0397522181860921,0.427419964951827,0.567729362807292,0.5,FALSE,"200001","SSM"
"median_rt",0.414584283651186,0.413048571997415,0.0359593616650008,0.356760933067633,0.475590818436659,0.51,FALSE,"200001","SSM"
"min_rt",0.172525579653095,0.171800975773533,0.0149107754434558,0.142621193735481,0.195389641169515,0.49,FALSE,"200001","SSM"
"max_rt",1.62283256010944,1.84340584628378,0.445138990257433,1.23389883767404,3.14479967082828,0.67,FALSE,"200001","SSM"
"rt_play_mean",0.492851060815903,0.502095569751227,0.043606912877928,0.429128342462061,0.584038633687325,0.57,FALSE,"200001","SSM"
"rt_play_median",0.418019994237131,0.415820560630033,0.0409295663953628,0.353693387607756,0.491669382134005,0.51,FALSE,"200001","SSM"
"rt_play_quantiles_10%",0.244456197137062,0.243353088539381,0.0195447908723965,0.209848151078771,0.281369949247784,0.46,FALSE,"200001","SSM"
"rt_play_quantiles_30%",0.318487162794425,0.321274283994054,0.0287363196049234,0.278576676647791,0.383294210377894,0.45,FALSE,"200001","SSM"
"rt_play_quantiles_50%",0.418019994237131,0.415820560630033,0.0409295663953628,0.353693387607756,0.491669382134005,0.51,FALSE,"200001","SSM"
"rt_play_quantiles_70%",0.498872497651197,0.561447203203269,0.0579038962172385,0.455410286341644,0.691147045137685,0.85,FALSE,"200001","SSM"
"rt_play_quantiles_90%",0.793840914857487,0.86348082908821,0.122697603654835,0.677608832551468,1.0942973339993,0.69,FALSE,"200001","SSM"
"rt_skip_mean",0.504307139452699,0.494040788660239,0.0608313460004472,0.383089196997333,0.62905130052251,0.42,FALSE,"200001","SSM"
"rt_skip_median",0.368787815062299,0.40647015049087,0.0579103647523135,0.312496974570846,0.517640275186843,0.72,FALSE,"200001","SSM"
"rt_skip_quantiles_10%",0.206198829394919,0.229691797946041,0.0244694121015112,0.19080416340562,0.279944952411243,0.85,FALSE,"200001","SSM"
"rt_skip_quantiles_30%",0.305450206031159,0.306960780561035,0.0423855433031884,0.245618155188616,0.402169093904486,0.45,FALSE,"200001","SSM"
"rt_skip_quantiles_50%",0.368787815062299,0.40647015049087,0.0579103647523135,0.312496974570846,0.517640275186843,0.72,FALSE,"200001","SSM"
"rt_skip_quantiles_70%",0.563303748460352,0.556152125200193,0.0861255831370362,0.426409081834528,0.746409939561757,0.43,FALSE,"200001","SSM"
"rt_skip_quantiles_90%",1.07873853631148,0.85644256351983,0.15989541610667,0.605166656383186,1.19161418525108,0.1,FALSE,"200001","SSM"
"choice_prob",0.758333333333333,0.695166666666667,0.0556083082876766,0.578958333333333,0.796458333333333,0.11,FALSE,"200001","SSM"
"total_money",-1550,-159,1610.05568007113,-3241.25,2701.25,0.8,FALSE,"200438","RL"
"skip_ratio",0.425,0.45325,0.0640138764242544,0.333333333333333,0.558333333333333,0.71,FALSE,"200438","RL"
"good_deck_ratio",0.565217391304348,0.545319047557643,0.0438364694836023,0.468942006269592,0.623932063818837,0.31,FALSE,"200438","RL"
"new_good_deck_ratio",0.75,0.745235519194647,0.0559381676254709,0.635583366180528,0.8521875,0.42,FALSE,"200438","RL"
"new_bad_deck_ratio",0.25,0.254764480805353,0.0559381676254709,0.1478125,0.364416633819472,0.61,FALSE,"200438","RL"
"avg_outcome",-22.463768115942,-3.10795525483535,24.79650246699,-49.8483649789029,39.6632687165775,0.77,FALSE,"200438","RL"
"win_stay_ratio",0.173076923076923,0.138675106895193,0.0550617265344306,0.0444444444444444,0.257409090909091,0.21,FALSE,"200438","RL"
"lose_shift_ratio",0.818181818181818,0.884684052016095,0.0876476469939011,0.678846153846154,1,0.85,FALSE,"200438","RL"
"has_rt_data",1,1,0,1,1,1,TRUE,"200438","SSM"
"mean_rt",0.446135085857587,0.438418269917916,0.04060534697465,0.364557504918741,0.517448503316493,0.37,FALSE,"200438","SSM"
"median_rt",0.376990365835388,0.355288408565522,0.0399036206004958,0.281835689976246,0.437074065214565,0.3,FALSE,"200438","SSM"
"min_rt",0.0979636913396152,0.102619323009959,0.0114918368150993,0.0818410462314852,0.125740603838177,0.63,FALSE,"200438","SSM"
"max_rt",1.36435960813525,1.73371925008561,0.383749511053534,1.22537783443899,2.5023886697197,0.84,FALSE,"200438","SSM"
"rt_play_mean",0.490732944399522,0.473352119512912,0.0482995842686342,0.383568633530237,0.584804223278636,0.3,FALSE,"200438","SSM"
"rt_play_median",0.447835224429484,0.400817346415556,0.0464694231338712,0.309717081392696,0.485294943279594,0.14,FALSE,"200438","SSM"
"rt_play_quantiles_10%",0.195885137835264,0.196753101940317,0.0244786491870286,0.156615917006232,0.247969193531206,0.51,FALSE,"200438","SSM"
"rt_play_quantiles_30%",0.33766720427435,0.291167376245422,0.0381656697078829,0.233391878674274,0.371357351140462,0.11,FALSE,"200438","SSM"
"rt_play_quantiles_50%",0.447835224429484,0.400817346415556,0.0464694231338712,0.309717081392696,0.485294943279594,0.14,FALSE,"200438","SSM"
"rt_play_quantiles_70%",0.562011702636654,0.548229634993235,0.070435505232242,0.423249746352749,0.695022656217138,0.45,FALSE,"200438","SSM"
"rt_play_quantiles_90%",0.865768435199333,0.844947764401899,0.113026638514182,0.650894218851696,1.06793783665087,0.37,FALSE,"200438","SSM"
