"statistic","observed","predicted_mean","predicted_sd","predicted_q025","predicted_q975","ppp_value","ppp_extreme","subject_id","component"
"rl_total_money",100,-446.25,1685.62840468677,-3768.125,2358.75,0.38,FALSE,"200001","RL"
"rl_skip_ratio",0.375,0.395583333333333,0.0517436566594335,0.295625,0.496458333333333,0.68,FALSE,"200001","RL"
"rl_good_deck_ratio",0.52,0.531317728816554,0.0363440351965096,0.456405279503106,0.611107594936709,0.67,FALSE,"200001","RL"
"rl_new_good_deck_ratio",0.684210526315789,0.711432140701589,0.0458199843077504,0.624446374294399,0.796296296296296,0.76,FALSE,"200001","RL"
"rl_new_bad_deck_ratio",0.315789473684211,0.288567859298411,0.0458199843077504,0.203703703703704,0.375553625705601,0.25,FALSE,"200001","RL"
"rl_avg_outcome",1.33333333333333,-6.36957201454076,23.5786848112239,-53.8143106893107,34.010033444816,0.38,FALSE,"200001","RL"
"rl_win_stay_ratio",0.192307692307692,0.133317977972272,0.0519037172122664,0.043451536643026,0.241666666666667,0.13,FALSE,"200001","RL"
"rl_lose_shift_ratio",0.8,0.873749835997299,0.0722671005391491,0.75,1,0.88,FALSE,"200001","RL"
"rl_total_money",925,-358.25,1697.50282649532,-3989.375,2307.5,0.25,FALSE,"200002","RL"
"rl_skip_ratio",0.358333333333333,0.41175,0.0525592899136676,0.325,0.525,0.82,FALSE,"200002","RL"
"rl_good_deck_ratio",0.493506493506494,0.526752480061335,0.040077699275345,0.448982720178372,0.595985915492958,0.76,FALSE,"200002","RL"
"rl_new_good_deck_ratio",0.666666666666667,0.705870734663397,0.0453685720441669,0.627199074074074,0.805901206636501,0.8,FALSE,"200002","RL"
"rl_new_bad_deck_ratio",0.333333333333333,0.294129265336603,0.0453685720441669,0.194098793363499,0.372800925925926,0.23,FALSE,"200002","RL"
"rl_avg_outcome",12.012987012987,-5.4971797347026,24.5516586487623,-60.1015271493213,33.3950922266139,0.26,FALSE,"200002","RL"
"rl_win_stay_ratio",0.196428571428571,0.131362945975952,0.0464372324162597,0.0560534591194969,0.224950980392157,0.1,FALSE,"200002","RL"
"rl_lose_shift_ratio",1,0.865628965411729,0.0740908070721494,0.738068181818182,1,0.08,FALSE,"200002","RL"
"rl_total_money",-1050,-896,2179.5413519937,-5458.75,2507.5,0.57,FALSE,"200006","RL"
"rl_skip_ratio",0.15,0.185666666666667,0.0600701049476152,0.0833333333333333,0.316666666666667,0.72,FALSE,"200006","RL"
"rl_good_deck_ratio",0.5,0.535765293133966,0.0325172236074416,0.479748774509804,0.611279170267934,0.89,FALSE,"200006","RL"
"rl_new_good_deck_ratio",0.671052631578947,0.731838603275324,0.0547202744148176,0.655142857142857,0.867327044025157,0.91,FALSE,"200006","RL"
"rl_new_bad_deck_ratio",0.328947368421053,0.268161396724676,0.0547202744148176,0.132672955974843,0.344857142857143,0.09,FALSE,"200006","RL"
"rl_avg_outcome",-10.2941176470588,-9.38049377928815,22.804704693848,-60.1526162790698,26.0490196078431,0.58,FALSE,"200006","RL"
"rl_win_stay_ratio",0.197368421052632,0.206796541874687,0.0506131080800888,0.12166313559322,0.296524064171123,0.6,FALSE,"200006","RL"
"rl_lose_shift_ratio",0.91304347826087,0.817490313022728,0.0888858451663413,0.611111111111111,0.980208333333333,0.15,FALSE,"200006","RL"
"rl_total_money",1300,-664.75,1874.66190554484,-4206.25,2811.87499999999,0.13,FALSE,"200436","RL"
"rl_skip_ratio",0.258333333333333,0.318166666666667,0.0693623757484741,0.2075,0.471458333333333,0.81,FALSE,"200436","RL"
"rl_good_deck_ratio",0.550561797752809,0.531580878421888,0.0366584856154451,0.451977726574501,0.595200993676603,0.31,FALSE,"200436","RL"
"rl_new_good_deck_ratio",0.753846153846154,0.735294142899554,0.0504863900367839,0.645058670143416,0.826009615384615,0.32,FALSE,"200436","RL"
"rl_new_bad_deck_ratio",0.246153846153846,0.264705857100446,0.0504863900367839,0.173990384615385,0.354941329856584,0.68,FALSE,"200436","RL"
"rl_avg_outcome",14.6067415730337,-8.86366918866866,22.9910845941139,-55.579425711275,32.900641025641,0.16,FALSE,"200436","RL"
"rl_win_stay_ratio",0.242857142857143,0.181233221648821,0.0449800188203317,0.100892857142857,0.284159482758621,0.08,FALSE,"200436","RL"
"rl_lose_shift_ratio",1,0.884987607276886,0.0770497732376576,0.712954545454545,1,0.1,FALSE,"200436","RL"
"rl_total_money",500,-562.25,1660.8173682883,-4091.875,2600.625,0.25,FALSE,"200802","RL"
"rl_skip_ratio",0.366666666666667,0.38,0.0575037206623295,0.270625,0.487708333333333,0.62,FALSE,"200802","RL"
"rl_good_deck_ratio",0.421052631578947,0.525038721065815,0.0358986361004572,0.45666915052161,0.591751042287076,0.99,TRUE,"200802","RL"
"rl_new_good_deck_ratio",0.60377358490566,0.71384771522159,0.0410663573898759,0.635048076923077,0.782264705882353,0.99,TRUE,"200802","RL"
"rl_new_bad_deck_ratio",0.39622641509434,0.28615228477841,0.0410663573898759,0.217735294117647,0.364951923076923,0.01,TRUE,"200802","RL"
"rl_avg_outcome",6.57894736842105,-7.40313139805041,21.7431342716475,-52.4862301101591,35.093040884194,0.25,FALSE,"200802","RL"
"rl_win_stay_ratio",0.203389830508475,0.142395503498646,0.0599994161491564,0.0454263565891473,0.261524072869226,0.17,FALSE,"200802","RL"
"rl_lose_shift_ratio",0.916666666666667,0.86910184071237,0.0799645851378837,0.704738562091503,1,0.39,FALSE,"200802","RL"
"rl_total_money",425,-336.5,1488.31483920777,-3102.5,2466.875,0.32,FALSE,"200807","RL"
"rl_skip_ratio",0.358333333333333,0.383416666666667,0.0487569241679681,0.295625,0.479375,0.75,FALSE,"200807","RL"
"rl_good_deck_ratio",0.493506493506494,0.528986005177069,0.0406005269271065,0.459628090366581,0.618421052631579,0.8,FALSE,"200807","RL"
"rl_new_good_deck_ratio",0.703703703703704,0.715406614911486,0.0550766315613269,0.626006355932203,0.864891304347825,0.56,FALSE,"200807","RL"
"rl_new_bad_deck_ratio",0.296296296296296,0.284593385088514,0.0550766315613269,0.135108695652174,0.373993644067797,0.45,FALSE,"200807","RL"
"rl_avg_outcome",5.51948051948052,-4.64585455439094,19.5733907635223,-38.8125,32.492770900974,0.32,FALSE,"200807","RL"
"rl_win_stay_ratio",0.087719298245614,0.137218502525521,0.0494688947149324,0.0560661764705882,0.238333333333333,0.85,FALSE,"200807","RL"
"rl_lose_shift_ratio",0.733333333333333,0.876202895401812,0.0790278826772216,0.727272727272727,1,0.96,TRUE,"200807","RL"
"rl_total_money",-275,-570.25,1749.99168468443,-3639.375,2177.5,0.52,FALSE,"200810","RL"
"rl_skip_ratio",0.491666666666667,0.464916666666667,0.044763610937876,0.375,0.550416666666667,0.35,FALSE,"200810","RL"
"rl_good_deck_ratio",0.557377049180328,0.525840405111689,0.0426193636500604,0.441013986013986,0.605235075781008,0.23,FALSE,"200810","RL"
"rl_new_good_deck_ratio",0.739130434782609,0.689056763949269,0.0471632874351802,0.593693009118541,0.772527472527472,0.14,FALSE,"200810","RL"
"rl_new_bad_deck_ratio",0.260869565217391,0.310943236050731,0.0471632874351802,0.227472527472527,0.406306990881459,0.87,FALSE,"200810","RL"
"rl_avg_outcome",-4.50819672131148,-9.56960014172973,28.2054007621638,-60.0100596125186,32.2229084321476,0.52,FALSE,"200810","RL"
"rl_win_stay_ratio",0.119047619047619,0.110139174124228,0.0456516291660511,0.0229783298097252,0.190154556403051,0.47,FALSE,"200810","RL"
"rl_lose_shift_ratio",1,0.863904213278981,0.0879642571310403,0.675,1,0.12,FALSE,"200810","RL"
"rl_total_money",300,-330.75,1366.22708654901,-2929.375,1878.75,0.36,FALSE,"200812","RL"
"rl_skip_ratio",0.475,0.46275,0.0430568588919709,0.378958333333333,0.546041666666667,0.47,FALSE,"200812","RL"
"rl_good_deck_ratio",0.555555555555556,0.531963116486553,0.0362112268669917,0.472014637904468,0.593220338983051,0.32,FALSE,"200812","RL"
"rl_new_good_deck_ratio",0.714285714285714,0.695719919664172,0.0426877743075375,0.622641509433962,0.774595687331536,0.33,FALSE,"200812","RL"
"rl_new_bad_deck_ratio",0.285714285714286,0.304280080335828,0.0426877743075375,0.225404312668464,0.377358490566038,0.71,FALSE,"200812","RL"
"rl_avg_outcome",4.76190476190476,-5.33330657236576,21.200796451388,-48.2510934937124,30.4948770491803,0.36,FALSE,"200812","RL"
"rl_win_stay_ratio",0.104166666666667,0.109607306828596,0.0489192375743673,0.0325284090909091,0.211538461538462,0.49,FALSE,"200812","RL"
"rl_lose_shift_ratio",0.923076923076923,0.867818461921635,0.0894410022849123,0.675,1,0.32,FALSE,"200812","RL"
"rl_total_money",-1575,-377.25,1523.85532052055,-3352.5,2451.25,0.75,FALSE,"200819","RL"
"rl_skip_ratio",0.483333333333333,0.478083333333333,0.0407328868309716,0.387291666666667,0.554375,0.56,FALSE,"200819","RL"
"rl_good_deck_ratio",0.548387096774194,0.528479942226462,0.0407445396286012,0.457867132867133,0.620431533269045,0.29,FALSE,"200819","RL"
"rl_new_good_deck_ratio",0.693877551020408,0.689353155369846,0.0417335856496126,0.621254716981132,0.769367369589345,0.4,FALSE,"200819","RL"
"rl_new_bad_deck_ratio",0.306122448979592,0.310646844630154,0.0417335856496126,0.230632630410655,0.378745283018868,0.61,FALSE,"200819","RL"
"rl_avg_outcome",-25.4032258064516,-6.50268391896634,24.5185431563977,-52.1428571428571,39.0210415720127,0.75,FALSE,"200819","RL"
"rl_win_stay_ratio",0.131578947368421,0.10600266559017,0.0481640836888332,0.0227272727272727,0.221166666666667,0.2,FALSE,"200819","RL"
"rl_lose_shift_ratio",0.894736842105263,0.87835915271519,0.0797230365867369,0.720454545454545,1,0.43,FALSE,"200819","RL"
"rl_total_money",400,-746.25,1908.49832223128,-4870.625,2426.25,0.34,FALSE,"200823","RL"
"rl_skip_ratio",0.275,0.289083333333333,0.0490180656818221,0.2,0.396041666666667,0.66,FALSE,"200823","RL"
"rl_good_deck_ratio",0.517241379310345,0.526853950552578,0.0281344232748931,0.476453488372093,0.57398023549201,0.63,FALSE,"200823","RL"
"rl_new_good_deck_ratio",0.714285714285714,0.723200086141599,0.0423420396998976,0.651730769230769,0.816326530612245,0.56,FALSE,"200823","RL"
"rl_new_bad_deck_ratio",0.285714285714286,0.276799913858401,0.0423420396998976,0.183673469387755,0.348269230769231,0.47,FALSE,"200823","RL"
"rl_avg_outcome",4.59770114942529,-8.69351763615507,22.4397649365488,-55.6732091409115,26.9157608695652,0.33,FALSE,"200823","RL"
"rl_win_stay_ratio",0.1875,0.180349722031707,0.0489981513031532,0.0992605633802817,0.279122532498796,0.4,FALSE,"200823","RL"
"rl_lose_shift_ratio",0.842105263157895,0.860419380113737,0.0783836117849031,0.684210526315789,1,0.69,FALSE,"200823","RL"
"rl_total_money",1500,-429.25,1622.8951208357,-4130,2050,0.09,FALSE,"200826","RL"
"rl_skip_ratio",0.533333333333333,0.471083333333333,0.0400170944112369,0.4,0.550416666666667,0.08,FALSE,"200826","RL"
"rl_good_deck_ratio",0.5,0.519827774733401,0.0364766342133429,0.453005865102639,0.585330188679245,0.72,FALSE,"200826","RL"
"rl_new_good_deck_ratio",0.666666666666667,0.686699473459072,0.0412371028698155,0.61524419729207,0.76403242147923,0.68,FALSE,"200826","RL"
"rl_new_bad_deck_ratio",0.333333333333333,0.313300526540928,0.0412371028698155,0.23596757852077,0.38475580270793,0.35,FALSE,"200826","RL"
"rl_avg_outcome",26.7857142857143,-6.49986582720799,25.5722268213563,-62.4471153846154,34.2113530099357,0.06,FALSE,"200826","RL"
