"statistic","observed","predicted_mean","predicted_sd","predicted_q025","predicted_q975","ppp_value","ppp_extreme","subject_id","component"
"rl_total_money",-2525,-81.75,1757.2823047208,-3766.875,2678.75,0.93,FALSE,"200005","RL"
"rl_skip_ratio",0.283333333333333,0.29825,0.0630355283462787,0.178958333333333,0.425416666666667,0.62,FALSE,"200005","RL"
"rl_good_deck_ratio",0.488372093023256,0.528983004644764,0.0373758172580188,0.458058058058058,0.601265060240964,0.84,FALSE,"200005","RL"
"rl_new_good_deck_ratio",0.711864406779661,0.72709620196679,0.0475418455407183,0.648474178403756,0.813155136268344,0.56,FALSE,"200005","RL"
"rl_new_bad_deck_ratio",0.288135593220339,0.27290379803321,0.0475418455407183,0.186844863731656,0.351525821596244,0.46,FALSE,"200005","RL"
"rl_avg_outcome",-29.3604651162791,-1.3562173509764,20.8375441666155,-46.8126793400287,31.8553304484658,0.91,FALSE,"200005","RL"
"rl_win_stay_ratio",0.174603174603175,0.191725021987675,0.0468928609224285,0.108883399209486,0.273493788819876,0.66,FALSE,"200005","RL"
"rl_lose_shift_ratio",0.777777777777778,0.865095875582617,0.0873762221550584,0.6765625,1,0.86,FALSE,"200005","RL"
"rl_total_money",-600,-209,1436.78460459458,-2981.25,2363.125,0.58,FALSE,"200007","RL"
"rl_skip_ratio",0.308333333333333,0.451416666666667,0.0496346783074558,0.345208333333333,0.541666666666667,1,TRUE,"200007","RL"
"rl_good_deck_ratio",0.506024096385542,0.530719958432694,0.0358443359109044,0.462336905871389,0.606463326071169,0.79,FALSE,"200007","RL"
"rl_new_good_deck_ratio",0.65625,0.700355913850284,0.0430695615188499,0.631065759637188,0.777127659574468,0.84,FALSE,"200007","RL"
"rl_new_bad_deck_ratio",0.34375,0.299644086149716,0.0430695615188499,0.222872340425532,0.368934240362812,0.16,FALSE,"200007","RL"
"rl_avg_outcome",-7.2289156626506,-3.17276488251936,21.7255624184297,-43.2036114570361,34.9112223393045,0.55,FALSE,"200007","RL"
"rl_win_stay_ratio",0.17741935483871,0.155326966263037,0.0555361701656418,0.0673863636363636,0.262433862433862,0.36,FALSE,"200007","RL"
"rl_lose_shift_ratio",0.933333333333333,0.91588696404215,0.0759980582864231,0.759134615384615,1,0.42,FALSE,"200007","RL"
"rl_total_money",-1450,-549.75,1753.943950448,-4203.75,2501.25,0.73,FALSE,"200438","RL"
"rl_skip_ratio",0.433333333333333,0.425333333333333,0.0425235130045621,0.35,0.504375,0.47,FALSE,"200438","RL"
"rl_good_deck_ratio",0.529411764705882,0.526072253475529,0.0356635384440492,0.455180481283422,0.592692307692308,0.47,FALSE,"200438","RL"
"rl_new_good_deck_ratio",0.705882352941177,0.69808278527599,0.0420090215376382,0.615285087719298,0.768381037567084,0.45,FALSE,"200438","RL"
