"statistic","observed","predicted_mean","predicted_sd","predicted_q025","predicted_q975","ppp_value","ppp_extreme","subject_id","component"
"total_money",400,-302.5,1572.46870502495,-3539.375,2314.375,0.38,FALSE,"200002","RL"
"skip_ratio",0.366666666666667,0.441166666666667,0.049800668888814,0.35,0.533333333333333,0.95,FALSE,"200002","RL"
"good_deck_ratio",0.526315789473684,0.530210801468911,0.0387601712989963,0.444431818181818,0.6,0.53,FALSE,"200002","RL"
"new_good_deck_ratio",0.701754385964912,0.699082518098585,0.0412768095486459,0.619206440483036,0.769230769230769,0.48,FALSE,"200002","RL"
"new_bad_deck_ratio",0.298245614035088,0.300917481901415,0.0412768095486459,0.230769230769231,0.380793559516964,0.53,FALSE,"200002","RL"
"avg_outcome",5.26315789473684,-4.14749322821566,23.721260246092,-47.446509009009,38.2456140350877,0.39,FALSE,"200002","RL"
"win_stay_ratio",0.203703703703704,0.149540267577838,0.0558874396625086,0.0439371980676329,0.245905172413793,0.2,FALSE,"200002","RL"
"lose_shift_ratio",0.928571428571429,0.918993437161394,0.0700045943220076,0.781547619047619,1,0.52,FALSE,"200002","RL"
"has_rt_data",1,1,0,1,1,1,TRUE,"200002","SSM"
"mean_rt",0.533078647930456,0.503570630649395,0.0441471496692098,0.431288107567122,0.598555775333733,0.21,FALSE,"200002","SSM"
"median_rt",0.398439613111535,0.393048507342911,0.0381683449747231,0.332601067078309,0.473548763868955,0.4,FALSE,"200002","SSM"
"min_rt",0.106265115577596,0.108925319249483,0.0144506198709562,0.076542856693013,0.132061023761368,0.55,FALSE,"200002","SSM"
"max_rt",2.08350140484446,2.10350969081011,0.458844250205044,1.35485697851983,3.04513915017873,0.49,FALSE,"200002","SSM"
"rt_play_mean",0.556561063670127,0.491652614382821,0.0540585519806721,0.401246696833482,0.621390449844001,0.11,FALSE,"200002","SSM"
"rt_play_median",0.443279974422625,0.380632428710209,0.0409783681624728,0.310905203770027,0.460883368663639,0.05,FALSE,"200002","SSM"
"rt_play_quantiles_10%",0.175590534828296,0.171125880084197,0.0225980556889023,0.133117467048888,0.214143434782979,0.38,FALSE,"200002","SSM"
"rt_play_quantiles_30%",0.276074350341941,0.26312918224101,0.0305218290127123,0.207727912631117,0.312279877213784,0.4,FALSE,"200002","SSM"
"rt_play_quantiles_50%",0.443279974422625,0.380632428710209,0.0409783681624728,0.310905203770027,0.460883368663639,0.05,FALSE,"200002","SSM"
"rt_play_quantiles_70%",0.628928575429853,0.566845625478536,0.0798876928367178,0.449344320629089,0.745617456926831,0.2,FALSE,"200002","SSM"
"rt_play_quantiles_90%",1.11966407878371,0.954175416449194,0.158714522960875,0.718020426351048,1.30946208218655,0.15,FALSE,"200002","SSM"
"rt_skip_mean",0.492518111652842,0.519871162944433,0.0595487503072842,0.410043084304885,0.660309398137602,0.7,FALSE,"200002","SSM"
"rt_skip_median",0.358028365186487,0.41502441235834,0.05937339298627,0.32055566476976,0.555254821054669,0.83,FALSE,"200002","SSM"
"rt_skip_quantiles_10%",0.16387236144395,0.195228352360644,0.0243141194790577,0.157455425945373,0.245642098576753,0.94,FALSE,"200002","SSM"
"rt_skip_quantiles_30%",0.264220556484609,0.292732329706422,0.0376654359339045,0.243975480058446,0.376551811710174,0.72,FALSE,"200002","SSM"
"rt_skip_quantiles_50%",0.358028365186487,0.41502441235834,0.05937339298627,0.32055566476976,0.555254821054669,0.83,FALSE,"200002","SSM"
"rt_skip_quantiles_70%",0.619535989433213,0.590137516198609,0.0840646836756178,0.457382796776986,0.782989068021191,0.29,FALSE,"200002","SSM"
"rt_skip_quantiles_90%",0.937085225644814,0.970649759398107,0.151924379157964,0.732240008358485,1.30593471992518,0.57,FALSE,"200002","SSM"
"choice_prob",0.633333333333333,0.558833333333333,0.049800668888814,0.466666666666667,0.65,0.08,FALSE,"200002","SSM"
"total_money",1550,-268,1539.75959031259,-3113.125,2490.625,0.11,FALSE,"200005","RL"
"skip_ratio",0.325,0.3105,0.0559408357497196,0.212291666666667,0.425833333333333,0.48,FALSE,"200005","RL"
"good_deck_ratio",0.567901234567901,0.541373016296751,0.0367431438441889,0.469157303370787,0.606977911646586,0.23,FALSE,"200005","RL"
"new_good_deck_ratio",0.807017543859649,0.739756243536128,0.0448905553966193,0.656716417910448,0.829166666666667,0.08,FALSE,"200005","RL"
"new_bad_deck_ratio",0.192982456140351,0.260243756463872,0.0448905553966193,0.170833333333333,0.343283582089552,0.92,FALSE,"200005","RL"
"avg_outcome",19.1358024691358,-3.63869509398553,18.6791157580723,-38.7010924796748,26.9544429475164,0.11,FALSE,"200005","RL"
"win_stay_ratio",0.234375,0.201017084358113,0.0553379509026495,0.0899855072463768,0.309284855769231,0.27,FALSE,"200005","RL"
"lose_shift_ratio",0.866666666666667,0.89139637237921,0.0662366335202069,0.783333333333333,1,0.66,FALSE,"200005","RL"
"has_rt_data",1,1,0,1,1,1,TRUE,"200005","SSM"
"mean_rt",0.57735028051291,0.540116195661503,0.0325000269480499,0.487077582597199,0.610966946169225,0.11,FALSE,"200005","SSM"
"median_rt",0.483619203998363,0.449045879595467,0.0293724492770455,0.401186294403182,0.512602986863911,0.14,FALSE,"200005","SSM"
"min_rt",0.240180018219169,0.238413558617561,0.0127090839377842,0.214083577015497,0.264546500481631,0.46,FALSE,"200005","SSM"
"max_rt",1.8502991573254,1.98599674020341,0.475865832741091,1.32179337364482,3.1534104328523,0.58,FALSE,"200005","SSM"
"rt_play_mean",0.527276938674357,0.525177227744082,0.0359225730538399,0.447328095471868,0.598811196521344,0.46,FALSE,"200005","SSM"
"rt_play_median",0.481258541888161,0.440423272235191,0.031934437307079,0.380216914011173,0.506318248064232,0.12,FALSE,"200005","SSM"
"rt_play_quantiles_10%",0.295224581084159,0.291131187855715,0.0144290404229595,0.266279427434811,0.321363365626092,0.39,FALSE,"200005","SSM"
"rt_play_quantiles_30%",0.367766028819636,0.357308277669587,0.0197671208681041,0.317411460311381,0.397387116422885,0.26,FALSE,"200005","SSM"
"rt_play_quantiles_50%",0.481258541888161,0.440423272235191,0.031934437307079,0.380216914011173,0.506318248064232,0.12,FALSE,"200005","SSM"
"rt_play_quantiles_70%",0.620208211008481,0.567529299896201,0.0508493258852971,0.478579636457834,0.665261292816999,0.12,FALSE,"200005","SSM"
"rt_play_quantiles_90%",0.811104995131637,0.855638792073441,0.0896001244514997,0.682016881993154,1.03807725220422,0.69,FALSE,"200005","SSM"
"rt_skip_mean",0.68134875971606,0.574178467210123,0.0661324712258291,0.456151361219958,0.700123496530763,0.08,FALSE,"200005","SSM"
"rt_skip_median",0.526346970324056,0.473954546114374,0.0559819561103804,0.374625331471987,0.58079616436832,0.16,FALSE,"200005","SSM"
"rt_skip_quantiles_10%",0.312705326961534,0.298656574787338,0.0253148956972278,0.253434185930312,0.351091525683357,0.25,FALSE,"200005","SSM"
"rt_skip_quantiles_30%",0.406446295443816,0.37466081707956,0.0367451367178624,0.313921364693896,0.456206340634264,0.18,FALSE,"200005","SSM"
"rt_skip_quantiles_50%",0.526346970324056,0.473954546114374,0.0559819561103804,0.374625331471987,0.58079616436832,0.16,FALSE,"200005","SSM"
"rt_skip_quantiles_70%",0.806149249133051,0.625675024030604,0.0860988233436547,0.494212371973599,0.795378078534669,0.02,TRUE,"200005","SSM"
"rt_skip_quantiles_90%",1.25811440337175,0.955137550424929,0.167583408247871,0.659417785865745,1.32143127971179,0.07,FALSE,"200005","SSM"
"choice_prob",0.675,0.6895,0.0559408357497196,0.574166666666667,0.787708333333333,0.63,FALSE,"200005","SSM"
"total_money",500,-256.75,1457.29120773489,-3143.125,2095.625,0.31,FALSE,"200007","RL"
"skip_ratio",0.375,0.41625,0.0518914816690486,0.312291666666667,0.5,0.8,FALSE,"200007","RL"
