"statistic","observed","predicted_mean","predicted_sd","predicted_q025","predicted_q975","ppp_value","ppp_extreme","subject_id","component"
"total_money",-3375,-305.75,1968.56885089322,-4464.375,2949.375,0.92,FALSE,"200001","RL"
"skip_ratio",0.325,0.298416666666667,0.0612108346116078,0.203958333333333,0.421041666666667,0.36,FALSE,"200001","RL"
"good_deck_ratio",0.506172839506173,0.548607003695243,0.0392060717762146,0.472547238372093,0.61487984496124,0.84,FALSE,"200001","RL"
"new_good_deck_ratio",0.706896551724138,0.760974721902446,0.0656020625600912,0.652456896551724,0.883067144719687,0.78,FALSE,"200001","RL"
"new_bad_deck_ratio",0.293103448275862,0.239025278097554,0.0656020625600912,0.116932855280313,0.347543103448276,0.22,FALSE,"200001","RL"
"avg_outcome",-41.6666666666667,-3.88143285366889,23.7699392107153,-52.9584388352587,36.6077488687782,0.91,FALSE,"200001","RL"
"win_stay_ratio",0.245614035087719,0.176050539665049,0.0527470524262642,0.0915734265734266,0.29603448275862,0.1,FALSE,"200001","RL"
"lose_shift_ratio",0.75,0.837287848337556,0.0855005653032773,0.644852941176471,1,0.84,FALSE,"200001","RL"
"has_rt_data",1,1,0,1,1,1,TRUE,"200001","SSM"
"mean_rt",0.493370230028563,0.438158623451547,0.040112598187652,0.363468781663633,0.513127476323108,0.07,FALSE,"200001","SSM"
"median_rt",0.408321088952581,0.35654711600744,0.0324444128645278,0.293630511113982,0.421911501185182,0.05,FALSE,"200001","SSM"
"min_rt",0.169274314601251,0.156391467212753,0.0134629154693128,0.133836729050077,0.182891366765276,0.17,FALSE,"200001","SSM"
"max_rt",1.7961377948941,1.66088818148172,0.379175932940056,1.10854466513354,2.48122797680091,0.27,FALSE,"200001","SSM"
"rt_play_mean",0.458618600096822,0.425374023378619,0.0427351591366795,0.355345596451162,0.514325677886784,0.22,FALSE,"200001","SSM"
"rt_play_median",0.395862594687421,0.346269919633834,0.0340346612713378,0.284688635252311,0.413882863504586,0.04,TRUE,"200001","SSM"
"rt_play_quantiles_10%",0.231829539670974,0.204019797976569,0.0142229979435106,0.182289665615717,0.234580455412793,0.04,TRUE,"200001","SSM"
"rt_play_quantiles_30%",0.290758984133332,0.267401615449188,0.0231373783517244,0.23155792500908,0.318019008103852,0.14,FALSE,"200001","SSM"
"rt_play_quantiles_50%",0.395862594687421,0.346269919633834,0.0340346612713378,0.284688635252311,0.413882863504586,0.04,TRUE,"200001","SSM"
"rt_play_quantiles_70%",0.488185147776279,0.469423916291512,0.0571027110400115,0.376203658720116,0.59297156499655,0.35,FALSE,"200001","SSM"
"rt_play_quantiles_90%",0.871206438128837,0.746060892026319,0.109460126304042,0.557787289841649,0.955845118631069,0.13,FALSE,"200001","SSM"
"rt_skip_mean",0.565546692194486,0.468843403824159,0.059926214429203,0.382556698200595,0.623485277687914,0.08,FALSE,"200001","SSM"
"rt_skip_median",0.465542744604172,0.388724929792723,0.0595132511181368,0.2980423586494,0.529250654183967,0.09,FALSE,"200001","SSM"
"rt_skip_quantiles_10%",0.242344959729775,0.219294783044341,0.0245149240227019,0.182709389734641,0.267864800092924,0.16,FALSE,"200001","SSM"
"rt_skip_quantiles_30%",0.339554410304624,0.299635933191794,0.0378638014721552,0.23973021223842,0.391462080396583,0.12,FALSE,"200001","SSM"
"rt_skip_quantiles_50%",0.465542744604172,0.388724929792723,0.0595132511181368,0.2980423586494,0.529250654183967,0.09,FALSE,"200001","SSM"
"rt_skip_quantiles_70%",0.782200683468046,0.523723922711403,0.0888448198180202,0.397753316103717,0.733131818430184,0.01,TRUE,"200001","SSM"
"rt_skip_quantiles_90%",0.988490208624863,0.796750917297245,0.14169268135608,0.579906397017876,1.09995735047118,0.11,FALSE,"200001","SSM"
