"statistic","observed","predicted_mean","predicted_sd","predicted_q025","predicted_q975","ppp_value","ppp_extreme","subject_id","component"
"rl_total_money",2625,232.75,1881.84003214026,-3762.5,3302.5,0.13,FALSE,"200004","RL"
"rl_skip_ratio",0.316666666666667,0.238166666666667,0.0563725283525757,0.133333333333333,0.333333333333333,0.08,FALSE,"200004","RL"
"rl_good_deck_ratio",0.609756097560976,0.583363832715044,0.0412239246909215,0.516590909090909,0.659090909090909,0.31,FALSE,"200004","RL"
"rl_new_good_deck_ratio",0.909090909090909,0.825673736241783,0.0762136876953299,0.712077702702703,0.950819672131147,0.18,FALSE,"200004","RL"
"rl_new_bad_deck_ratio",0.0909090909090909,0.174326263758217,0.0762136876953299,0.0491803278688525,0.287922297297297,0.83,FALSE,"200004","RL"
"rl_avg_outcome",32.0121951219512,2.60362261690026,20.7459601080741,-43.7648809523809,40.6017876940133,0.07,FALSE,"200004","RL"
"rl_win_stay_ratio",0.180327868852459,0.194630166719817,0.0472858062863962,0.110050505050505,0.300333425951653,0.63,FALSE,"200004","RL"
"rl_lose_shift_ratio",0.875,0.820098423149591,0.0930418389782565,0.630397727272727,1,0.31,FALSE,"200004","RL"
"rl_total_money",-475,283.5,1688.49800267886,-3503.75,3548.125,0.7,FALSE,"200006","RL"
"rl_skip_ratio",0.258333333333333,0.276,0.0631020942484555,0.149583333333333,0.38375,0.72,FALSE,"200006","RL"
"rl_good_deck_ratio",0.617977528089888,0.61527635191756,0.0416899054699476,0.513950892857143,0.661033298097252,0.56,FALSE,"200006","RL"
"rl_new_good_deck_ratio",0.887096774193548,0.888211161824704,0.0691466063317326,0.702007042253521,0.950819672131147,0.65,FALSE,"200006","RL"
"rl_new_bad_deck_ratio",0.112903225806452,0.111788838175296,0.0691466063317326,0.0491803278688525,0.297992957746479,0.36,FALSE,"200006","RL"
"rl_avg_outcome",-5.33707865168539,3.20858922548301,20.0017654683903,-41.4782303370787,42.0847050994676,0.7,FALSE,"200006","RL"
"rl_win_stay_ratio",0.242424242424242,0.20255689412745,0.0448193473605153,0.116128254580521,0.284027397260274,0.21,FALSE,"200006","RL"
"rl_lose_shift_ratio",0.866666666666667,0.798259148617121,0.100336399540004,0.6,1,0.26,FALSE,"200006","RL"
"rl_total_money",-925,-117.5,1854.65051569117,-3969.375,3045.625,0.73,FALSE,"200007","RL"
"rl_skip_ratio",0.258333333333333,0.240083333333333,0.0610386967652966,0.120208333333333,0.354375,0.44,FALSE,"200007","RL"
"rl_good_deck_ratio",0.460674157303371,0.549640663353798,0.0373257172848464,0.48237035524704,0.624635278514589,1,TRUE,"200007","RL"
"rl_new_good_deck_ratio",0.650793650793651,0.762349626665479,0.0602743696388142,0.664093137254902,0.896551724137931,1,TRUE,"200007","RL"
"rl_new_bad_deck_ratio",0.349206349206349,0.237650373334521,0.0602743696388142,0.103448275862069,0.335906862745098,0.01,TRUE,"200007","RL"
"rl_avg_outcome",-10.3932584269663,-1.51434068016431,20.6575215457959,-44.8573369565217,33.8056395851339,0.74,FALSE,"200007","RL"
"rl_win_stay_ratio",0.174603174603175,0.186550184230861,0.0512620084925555,0.0821247464503043,0.282552816901408,0.61,FALSE,"200007","RL"
"rl_lose_shift_ratio",0.9,0.820624990644529,0.0967973724879478,0.642840909090909,0.979347826086956,0.22,FALSE,"200007","RL"
"rl_total_money",-525,582.5,1636.01935912578,-2915.625,3603.75,0.79,FALSE,"200438","RL"
"rl_skip_ratio",0.458333333333333,0.377,0.0627212134551298,0.266666666666667,0.500416666666667,0.08,FALSE,"200438","RL"
"rl_good_deck_ratio",0.523076923076923,0.609640789058963,0.044669667412697,0.541410902427852,0.676790161892902,0.98,TRUE,"200438","RL"
"rl_new_good_deck_ratio",0.829268292682927,0.906324906403477,0.0467104980993447,0.788333333333333,0.947844827586207,0.92,FALSE,"200438","RL"
"rl_new_bad_deck_ratio",0.170731707317073,0.0936750935965228,0.0467104980993447,0.0521551724137931,0.211666666666666,0.08,FALSE,"200438","RL"
"rl_avg_outcome",-8.07692307692308,7.2782047834809,21.8607439937448,-42.3784685726298,43.6962440381558,0.79,FALSE,"200438","RL"
"rl_win_stay_ratio",0.183673469387755,0.179661310662389,0.0509013300034473,0.0803064516129032,0.286590038314176,0.49,FALSE,"200438","RL"
"rl_lose_shift_ratio",0.923076923076923,0.818586254431843,0.117705235158529,0.555555555555556,1,0.14,FALSE,"200438","RL"
"rl_total_money",250,348.5,2050.07027472551,-4061.25,3251.25,0.54,FALSE,"200442","RL"
