"statistic","observed","predicted_mean","predicted_sd","predicted_q025","predicted_q975","ppp_value","ppp_extreme","subject_id","component"
"total_money",-1350,-570.5,1620.63469609342,-4538.125,2138.125,0.7,FALSE,"200002","RL"
"skip_ratio",0.416666666666667,0.43775,0.0507305634439444,0.332916666666667,0.533333333333333,0.67,FALSE,"200002","RL"
"good_deck_ratio",0.514285714285714,0.533187729268053,0.0395710573499765,0.462597547380156,0.615463419866981,0.67,FALSE,"200002","RL"
"new_good_deck_ratio",0.705882352941177,0.706185058112265,0.0452433554687404,0.616713286713287,0.810216346153846,0.49,FALSE,"200002","RL"
"new_bad_deck_ratio",0.294117647058824,0.293814941887735,0.0452433554687404,0.189783653846154,0.383286713286713,0.51,FALSE,"200002","RL"
"avg_outcome",-19.2857142857143,-8.96293758600148,24.2879089066731,-70.369140625,29.1504329004329,0.69,FALSE,"200002","RL"
"win_stay_ratio",0.145833333333333,0.151057676123372,0.0551086294512817,0.068167701863354,0.261259890444309,0.49,FALSE,"200002","RL"
"lose_shift_ratio",0.947368421052632,0.931282296895384,0.0562357023334615,0.803676470588235,1,0.33,FALSE,"200002","RL"
"has_rt_data",1,1,0,1,1,1,TRUE,"200002","SSM"
"mean_rt",0.456165945930346,0.429134816783661,0.0343309653265852,0.377676876116653,0.505342233341907,0.21,FALSE,"200002","SSM"
"median_rt",0.373320612610601,0.340298241369072,0.0318509675147948,0.282043225602781,0.401658150122594,0.14,FALSE,"200002","SSM"
"min_rt",0.113865237478994,0.116029153869649,0.0122947390684948,0.0925218303318885,0.140052921835375,0.55,FALSE,"200002","SSM"
"max_rt",1.64394444758473,1.73426026441979,0.35533195165993,1.09380915158268,2.48215856253066,0.6,FALSE,"200002","SSM"
"rt_play_mean",0.436257342010872,0.425601634227645,0.0388735544169305,0.355824424292718,0.502648775720423,0.41,FALSE,"200002","SSM"
"rt_play_median",0.359189316552189,0.336208216448197,0.0384392244826008,0.266006028796649,0.409814661334476,0.28,FALSE,"200002","SSM"
"rt_play_quantiles_10%",0.163547839360344,0.167461527402975,0.0156090569043182,0.139556360785907,0.200146165943704,0.57,FALSE,"200002","SSM"
"rt_play_quantiles_30%",0.247153751732934,0.241048601551507,0.0247111223627096,0.197084531562671,0.292897999109117,0.41,FALSE,"200002","SSM"
"rt_play_quantiles_50%",0.359189316552189,0.336208216448197,0.0384392244826008,0.266006028796649,0.409814661334476,0.28,FALSE,"200002","SSM"
"rt_play_quantiles_70%",0.49795048904614,0.478465699031852,0.0558311430306812,0.369882451319999,0.59031538472145,0.35,FALSE,"200002","SSM"
"rt_play_quantiles_90%",0.80823734917841,0.797092602455019,0.106361516863399,0.605736223341905,1.00206879882051,0.43,FALSE,"200002","SSM"
"rt_skip_mean",0.48403799141761,0.435267902541149,0.0534465971110423,0.341993321252183,0.571995010271961,0.14,FALSE,"200002","SSM"
"rt_skip_median",0.410825368291172,0.348645727771219,0.0455548031984048,0.274578839743588,0.447576069872773,0.1,FALSE,"200002","SSM"
"rt_skip_quantiles_10%",0.174368297080934,0.18178317950635,0.0207098767778793,0.147845506628759,0.226099975853738,0.56,FALSE,"200002","SSM"
"rt_skip_quantiles_30%",0.288729867265733,0.257746828649143,0.0325123690637872,0.211086732982159,0.329868817574589,0.18,FALSE,"200002","SSM"
"rt_skip_quantiles_50%",0.410825368291172,0.348645727771219,0.0455548031984048,0.274578839743588,0.447576069872773,0.1,FALSE,"200002","SSM"
"rt_skip_quantiles_70%",0.540923063578019,0.492439611939043,0.0722864445677667,0.38628341417212,0.663867507051628,0.18,FALSE,"200002","SSM"
"rt_skip_quantiles_90%",0.842336894316547,0.800116898041652,0.145880386911212,0.572774186123961,1.07948103278562,0.31,FALSE,"200002","SSM"
"choice_prob",0.583333333333333,0.56225,0.0507305634439444,0.466666666666667,0.667083333333333,0.38,FALSE,"200002","SSM"
"total_money",2075,-478.25,1561.11061459786,-3721.875,1983.75,0.03,TRUE,"200439","RL"
"skip_ratio",0.475,0.47425,0.0494369958071202,0.387291666666667,0.558333333333333,0.56,FALSE,"200439","RL"
"good_deck_ratio",0.507936507936508,0.535703967202091,0.0450356499443952,0.467120145113103,0.628123291416074,0.73,FALSE,"200439","RL"
"new_good_deck_ratio",0.695652173913043,0.707996813928608,0.0445493672345141,0.638297872340426,0.810605053191489,0.59,FALSE,"200439","RL"
"new_bad_deck_ratio",0.304347826086957,0.292003186071392,0.0445493672345142,0.189394946808511,0.361702127659574,0.42,FALSE,"200439","RL"
"avg_outcome",32.9365079365079,-7.7838793636856,24.6237248154695,-56.4429808400884,27.6100961538461,0.02,TRUE,"200439","RL"
"win_stay_ratio",0.142857142857143,0.146211773994883,0.0512933530475448,0.0512854317732366,0.258468149646107,0.53,FALSE,"200439","RL"
"lose_shift_ratio",0.909090909090909,0.920545493764921,0.0676460266742792,0.760795454545454,1,0.67,FALSE,"200439","RL"
"has_rt_data",1,1,0,1,1,1,TRUE,"200439","SSM"
"mean_rt",1.1089455200669,1.06784315396012,0.0805188022342067,0.925224415089912,1.23407709841741,0.28,FALSE,"200439","SSM"
"median_rt",0.93641434224957,0.891920481154852,0.0684400735716506,0.774737797781609,1.02798148261136,0.27,FALSE,"200439","SSM"
"min_rt",0.43184268186314,0.430010011041649,0.0272098472678593,0.370895154739982,0.4837714490963,0.52,FALSE,"200439","SSM"
"max_rt",5.7066426942842,3.61716245190248,0.793158634345832,2.43406027944313,5.20956167667661,0,TRUE,"200439","SSM"
"rt_play_mean",1.20954169745155,1.09146621693753,0.0984440502836216,0.935039462554166,1.32200599715473,0.12,FALSE,"200439","SSM"
