"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error"
"consistency",1,0.3997135,0.472903,"group",0.0731895,0.183104898883826
"update_rate_mf",1,0.335514,0.198841,"group",-0.136673,-0.407354089546189
"decay_factor",1,0.498425,0.4967165,"group",-0.0017085,-0.00342779756232132
"pos_val",1,3.241085,4.665665,"group",1.42458,0.439537994221071
"neg_val",1,5.158095,5.248835,"group",0.0907399999999994,0.0175917659523524
"var_pe_update",1,0.346433,0.324936,"group",-0.021497,-0.0620524026290798
"consistency",2,0.604413,1.04854,"group",0.444127,0.734807160004831
"update_rate_mf",2,0.384664,0.2948685,"group",-0.0897955,-0.233438793336522
"decay_factor",2,0.4964385,0.5016345,"group",0.00519599999999998,0.0104665532588628
"pos_val",2,3.121685,6.860535,"group",3.73885,1.19770252283622
"neg_val",2,3.848945,2.98696,"group",-0.861985,-0.223953576889252
"var_pe_update",2,0.423637,0.605148,"group",0.181511,0.428458798452449
"consistency",3,1.054535,1.021615,"group",-0.0329199999999998,-0.0312175508636507
"update_rate_mf",3,0.591828,0.453932,"group",-0.137896,-0.233000128415688
"decay_factor",3,0.49842,0.5007035,"group",0.00228349999999999,0.0045814774688014
"pos_val",3,3.085495,5.434055,"group",2.34856,0.761161499208393
"neg_val",3,3.75689,5.589725,"group",1.832835,0.487859639222868
"var_pe_update",3,0.3512975,0.4249485,"group",0.073651,0.209654210462642
"consistency",4,0.435422,0.459192,"group",0.0237700000000001,0.0545907188888023
"update_rate_mf",4,0.252141,0.450815,"group",0.198674,0.787948013214828
"decay_factor",4,0.49489,0.4940435,"group",-0.000846500000000028,-0.00171048111701596
"pos_val",4,3.30134,4.087785,"group",0.786445000000001,0.238219934935511
"neg_val",4,4.5731,5.567755,"group",0.994655,0.21750125735278
"var_pe_update",4,0.4269875,0.281851,"group",-0.1451365,-0.339908076934337
"consistency",5,2.88686,2.537825,"group",-0.349035,-0.120904720007205
"update_rate_mf",5,0.3285925,0.1972245,"group",-0.131368,-0.399790013466528
"decay_factor",5,0.504854,0.504276,"group",-0.000578000000000078,-0.00114488545203183
"pos_val",5,6.692395,6.63368,"group",-0.0587150000000003,-0.0087733912896654
"neg_val",5,1.976275,2.323395,"group",0.34712,0.175643571871324
"var_pe_update",5,0.568155,0.5614355,"group",-0.00671949999999999,-0.0118268782286524
"consistency",6,0.524372,0.7817725,"group",0.2574005,0.490873845285408
"update_rate_mf",6,0.6447845,0.4569975,"group",-0.187787,-0.29123994140678
"decay_factor",6,0.5005455,0.498029,"group",-0.00251649999999998,-0.00502751498115551
"pos_val",6,2.42323,4.488975,"group",2.065745,0.85247582771755
"neg_val",6,5.5676,6.659205,"group",1.091605,0.196063833608736
"var_pe_update",6,0.3442695,0.457944,"group",0.1136745,0.330190446728508
"consistency",7,0.885883,0.6922125,"group",-0.1936705,-0.218618598618553
"update_rate_mf",7,0.08852795,0.195182,"group",0.10665405,1.2047500252745
"decay_factor",7,0.4981895,0.5025105,"group",0.00432099999999996,0.00867340640459095
"pos_val",7,5.958275,6.193575,"group",0.2353,0.039491295718979
"neg_val",7,4.45978,4.274035,"group",-0.185745000000001,-0.0416489154173526
"var_pe_update",7,0.4874325,0.358067,"group",-0.1293655,-0.265401876157211
"consistency",8,1.12837,0.6989655,"group",-0.4294045,-0.380552921470794
"update_rate_mf",8,0.105883,0.239722,"group",0.133839,1.26402727538887
"decay_factor",8,0.4969615,0.496924,"group",-3.75000000000236e-05,-7.54585616793728e-05
"pos_val",8,5.878195,5.753065,"group",-0.12513,-0.0212871468197294
"neg_val",8,4.44141,4.953945,"group",0.512535000000001,0.11539916377907
"var_pe_update",8,0.4019305,0.3286155,"group",-0.073315,-0.182407157456326
"consistency",9,3.123735,2.858445,"group",-0.26529,-0.0849271785218657
"update_rate_mf",9,0.2773545,0.173322,"group",-0.1040325,-0.375088559947648
"decay_factor",9,0.503083,0.5007385,"group",-0.00234449999999997,-0.00466026480719876
"pos_val",9,6.52433,6.599125,"group",0.0747949999999999,0.0114640123966752
"neg_val",9,2.45561,2.134955,"group",-0.320655,-0.130580588937169
"var_pe_update",9,0.411969,0.610299,"group",0.19833,0.481419718473963
"consistency",10,0.522642,0.7028165,"group",0.1801745,0.344737889415699
"update_rate_mf",10,0.6107735,0.4392775,"group",-0.171496,-0.280784939097718
"decay_factor",10,0.5029425,0.4940915,"group",-0.00885100000000005,-0.0175984332204975
"pos_val",10,2.469315,4.23556,"group",1.766245,0.715277313748955
"neg_val",10,4.90314,5.681665,"group",0.778525,0.158780903665814
"var_pe_update",10,0.346536,0.327324,"group",-0.019212,-0.0554401274326476
"consistency",11,1.051,0.5593175,"group",-0.4916825,-0.467823501427212
"update_rate_mf",11,0.07922695,0.20996,"group",0.13073305,1.65010832803737
"decay_factor",11,0.499628,0.494006,"group",-0.00562199999999996,-0.0112523717645928
"pos_val",11,5.240435,4.325755,"group",-0.91468,-0.17454276219436
"neg_val",11,3.662565,4.912315,"group",1.24975,0.341222613114033
"var_pe_update",11,0.444575,0.367244,"group",-0.077331,-0.173943654051622
"consistency",12,0.661819,0.880148,"group",0.218329,0.329892311946318
"update_rate_mf",12,0.1683625,0.201463,"group",0.0331005,0.196602568861831
"decay_factor",12,0.4983375,0.503361,"group",0.00502349999999996,0.0100805177214237
"pos_val",12,4.574735,5.47515,"group",0.900414999999999,0.196823422558902
"neg_val",12,4.53767,5.009705,"group",0.472035,0.104025854678723
"var_pe_update",12,0.4952625,0.451206,"group",-0.0440565000000001,-0.0889558567426366
"consistency",13,2.43543,1.31425,"group",-1.12118,-0.460362235826938
