"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error"
"boundary",1,1.58553,1.34917,"group",-0.23636,-0.149073180576842
"tau",1,0.115128,0.104545,"group",-0.010583,-0.0919237718018205
"beta",1,0.7138625,0.6140885,"group",-0.099774,-0.139766411598872
"drift_con",1,0.1836065,0.4056985,"group",0.222092,1.2096085922884
"gain",1,1.150645,1.080525,"group",-0.0701199999999997,-0.0609397338014763
"loss",1,1.082635,0.8881385,"group",-0.1944965,-0.17965103659128
"update",1,0.5763185,0.4286335,"group",-0.147685,-0.256255872403888
"decay",1,0.1421665,0.1160705,"group",-0.026096,-0.183559418006352
"boundary",2,1.423435,1.344185,"group",-0.07925,-0.0556751801100858
"tau",2,0.1938845,0.1976715,"group",0.00378699999999998,0.0195322472915575
"beta",2,0.412043,0.415757,"group",0.00371399999999994,0.00901362236465597
"drift_con",2,0.3296515,0.3957805,"group",0.066129,0.200602757760847
"gain",2,1.323505,1.269035,"group",-0.05447,-0.0411558702082727
"loss",2,0.3108425,0.367188,"group",0.0563454999999999,0.181267040382187
"update",2,0.4794985,0.434935,"group",-0.0445635,-0.0929377255611853
"decay",2,0.08990635,0.09390185,"group",0.0039955,0.0444406874486619
"boundary",3,1.4035,1.45959,"group",0.05609,0.0399643747773423
"tau",3,0.2506715,0.2507345,"group",6.29999999999797e-05,0.000251324941207835
"beta",3,0.5174785,0.5770905,"group",0.059612,0.115197056496067
"drift_con",3,-0.1855615,0.4965365,"group",0.682098,3.67585948593862
"gain",3,1.288985,1.113835,"group",-0.17515,-0.135882108791026
"loss",3,0.4364785,0.4728035,"group",0.036325,0.0832228849760068
"update",3,0.4858735,0.290316,"group",-0.1955575,-0.402486449662309
"decay",3,0.0778725,0.149981,"group",0.0721085,0.925981572442133
"boundary",4,2.06085,2.13491,"group",0.0740599999999998,0.035936628090351
"tau",4,0.213896,0.1780575,"group",-0.0358385,-0.167551052848113
"beta",4,0.678181,0.655401,"group",-0.0227799999999999,-0.0335898528563907
"drift_con",4,0.04964215,0.508295,"group",0.45865285,9.23918182431663
"gain",4,1.125885,0.7041125,"group",-0.4217725,-0.374614192390875
