"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error"
"boundary",1,1.823375,1.83348,"group",0.010105,0.00554192088846235
"tau",1,0.2288425,0.1981985,"group",-0.030644,-0.133908692659799
"beta",1,0.6092095,0.580912,"group",-0.0282975,-0.0464495382951185
"drift_con",1,-1.5753,-0.82073,"group",0.75457,0.479000825239637
"gain",1,1.805795,1.20508,"group",-0.600715,-0.332659576530005
"loss",1,5.332205,5.363185,"group",0.0309799999999996,0.00580997917371886
"mag",1,0.2792175,0.224471,"group",-0.0547465,-0.196071163161335
"update",1,0.2270885,0.1479245,"group",-0.079164,-0.34860417854713
"decay",1,0.810787,0.557253,"group",-0.253534,-0.312701116322783
"boundary",2,1.49846,1.48898,"group",-0.00947999999999993,-0.00632649520174041
"tau",2,0.08901415,0.0759561,"group",-0.01305805,-0.146696339851585
"beta",2,0.6463205,0.590856,"group",-0.0554645,-0.0858157833458787
"drift_con",2,-0.3934575,-0.1763085,"group",0.217149,0.551899506299918
"gain",2,2.17602,2.23976,"group",0.0637399999999997,0.0292920101837298
"loss",2,4.755835,3.92253,"group",-0.833304999999999,-0.175217390847243
"mag",2,0.242492,0.2397775,"group",-0.00271450000000001,-0.0111941837256487
"update",2,0.16028,0.110212,"group",-0.050068,-0.31237833790866
"decay",2,0.1186015,0.1133475,"group",-0.00525400000000001,-0.0442996083523396
"boundary",3,1.325,1.295735,"group",-0.0292649999999999,-0.0220867924528301
"tau",3,0.059962,0.0517216,"group",-0.0082404,-0.137427037123512
"beta",3,0.594215,0.5899645,"group",-0.00425049999999993,-0.00715313480810807
"drift_con",3,-2.494095,-0.4096685,"group",2.0844265,0.835744628813257
"gain",3,2.711285,2.913515,"group",0.20223,0.0745882487455211
"loss",3,4.674305,3.04341,"group",-1.630895,-0.348906414964364
"mag",3,0.2834925,0.17035,"group",-0.1131425,-0.399102269019463
"update",3,0.22485,0.1081195,"group",-0.1167305,-0.519148321102957
"decay",3,0.4452575,0.437198,"group",-0.0080595,-0.018100761918665
"boundary",4,1.90151,1.685825,"group",-0.215685,-0.113428275423216
"tau",4,0.08954425,0.0925091,"group",0.00296485000000002,0.0331104453943164
"beta",4,0.6489445,0.6238275,"group",-0.0251170000000001,-0.0387043884338338
"drift_con",4,-0.3345755,-0.6785385,"group",-0.343963,-1.02805794207884
"gain",4,1.84082,1.458905,"group",-0.381915,-0.207470040525418
"loss",4,3.56699,4.096135,"group",0.529145000000001,0.148344963120166
"mag",4,0.181323,0.178627,"group",-0.00269600000000003,-0.014868494344347
"update",4,0.09827705,0.0961202,"group",-0.00215685,-0.0219466294521458
"decay",4,0.6817995,0.537473,"group",-0.1443265,-0.211684666826538
"boundary",5,1.630305,1.438095,"group",-0.19221,-0.117898184695502
"tau",5,0.299602,0.282636,"group",-0.016966,-0.0566284604241627
"beta",5,0.7110255,0.6268205,"group",-0.084205,-0.118427538815415
"drift_con",5,-0.00978687,0.1618715,"group",0.17165837,17.5396597686492
"gain",5,4.850835,4.498055,"group",-0.35278,-0.0727256235266712
"loss",5,0.8693385,1.21394,"group",0.3446015,0.396395075105957
"mag",5,0.1486695,0.148053,"group",-0.00061650000000002,-0.0041467819559494
"update",5,0.0737324,0.0848531,"group",0.0111207,0.150825146068757
"decay",5,0.05925625,0.0843681,"group",0.02511185,0.423783989030693
"boundary",6,1.68393,1.751635,"group",0.0677050000000001,0.0402065406519274
"tau",6,0.2113725,0.1868365,"group",-0.024536,-0.116079433228069
"beta",6,0.6326855,0.633909,"group",0.00122350000000004,0.00193382019976757
"drift_con",6,0.0861357,0.261846,"group",0.1757103,2.03992421260871
"gain",6,3.256255,2.74186,"group",-0.514395,-0.157971350523838
"loss",6,3.227795,3.123215,"group",-0.10458,-0.0323998271265678
"mag",6,0.183386,0.1589655,"group",-0.0244205,-0.133164472751464
"update",6,0.1041605,0.0963664,"group",-0.00779410000000001,-0.0748277898051566
"decay",6,0.0947,0.09220085,"group",-0.00249915000000001,-0.0263901795142556
"boundary",7,1.51842,1.57679,"group",0.0583699999999998,0.0384412744826858
"tau",7,0.174338,0.1411955,"group",-0.0331425,-0.190104853789765
"beta",7,0.509967,0.5207075,"group",0.0107405,0.0210611667029436
"drift_con",7,-1.77524,-1.00634,"group",0.7689,0.433124535274104
"gain",7,1.376165,1.30503,"group",-0.0711349999999999,-0.0516907492924177
"loss",7,5.089065,4.641965,"group",-0.447099999999999,-0.0878550382044637
"mag",7,0.223647,0.1967865,"group",-0.0268605,-0.120102214650767
"update",7,0.1530345,0.1097135,"group",-0.043321,-0.283079959094191
"decay",7,0.608503,0.574065,"group",-0.034438,-0.0565946264849967
"boundary",8,1.37334,1.308805,"group",-0.064535,-0.0469912767413751
"tau",8,0.132436,0.131324,"group",-0.001112,-0.00839650850221996
"beta",8,0.58071,0.613946,"group",0.033236,0.0572333867162612
"drift_con",8,-0.4059185,-0.226638,"group",0.1792805,0.441666245810427
"gain",8,3.43434,1.932025,"group",-1.502315,-0.437439216850982
"loss",8,2.69305,4.46874,"group",1.77569,0.659360204972058
"mag",8,0.213955,0.1887185,"group",-0.0252365,-0.117952373162581
"update",8,0.1084275,0.1245585,"group",0.016131,0.148772221069378
"decay",8,0.1876395,0.3402575,"group",0.152618,0.81335752866534
"boundary",9,2.037885,1.94401,"group",-0.0938750000000002,-0.0460649153411503
"tau",9,0.1289975,0.1172305,"group",-0.011767,-0.0912188220701951
"beta",9,0.5886055,0.5869815,"group",-0.00162399999999996,-0.00275906358333376
"drift_con",9,0.21325,0.2104365,"group",-0.0028135,-0.0131934349355217
"gain",9,3.338655,3.156985,"group",-0.18167,-0.0544141278448958
"loss",9,1.337605,1.1463,"group",-0.191305,-0.143020547919602
"mag",9,0.1682965,0.151171,"group",-0.0171255,-0.101757909403939
"update",9,0.07364095,0.0694196,"group",-0.00422135000000001,-0.0573234049805171
"decay",9,0.07860095,0.07555325,"group",-0.0030477,-0.0387743405136961
"boundary",10,2.153925,2.177665,"group",0.0237400000000001,0.0110217393827548
"tau",10,0.1880875,0.136899,"group",-0.0511885,-0.272152588555858
"beta",10,0.6525835,0.6158875,"group",-0.036696,-0.0562318845021364
"drift_con",10,-1.4296,-0.954342,"group",0.475258,0.33244124230554
"gain",10,1.80863,1.590425,"group",-0.218205,-0.12064656673836
"loss",10,3.4215,3.23473,"group",-0.18677,-0.0545871693701593
"mag",10,0.1976095,0.173299,"group",-0.0243105,-0.123022931589827
"update",10,0.09036995,0.08441475,"group",-0.00595520000000001,-0.0658980114518156
"decay",10,0.512519,0.481046,"group",-0.031473,-0.0614084551011767
"boundary",11,1.55693,1.561865,"group",0.00493500000000013,0.00316969934422237
"tau",11,0.0847518,0.09756115,"group",0.01280935,0.151139562817545
"beta",11,0.4990925,0.57723,"group",0.0781374999999999,0.156559154866082
"drift_con",11,-0.2183375,-0.139968,"group",0.0783695,0.358937424858304
"gain",11,2.212005,1.52508,"group",-0.686925,-0.310544053923929
"loss",11,3.911535,4.355105,"group",0.44357,0.113400493668087
"mag",11,0.1861215,0.1930645,"group",0.006943,0.0373035893220289
"update",11,0.116543,0.1041675,"group",-0.0123755,-0.106188273856002
"decay",11,0.1598585,0.240736,"group",0.0808775,0.505931808443092
"boundary",12,1.389715,1.165635,"group",-0.22408,-0.161241693440741
"tau",12,0.0866682,0.0633048,"group",-0.0233634,-0.269572922940594
"beta",12,0.213688,0.382369,"group",0.168681,0.789379843510164
"drift_con",12,-0.7642025,-0.1112395,"group",0.652963,0.854437141987889
"gain",12,4.926525,2.337585,"group",-2.58894,-0.525510374960038
"loss",12,3.22918,4.40682,"group",1.17764,0.364687010324602
"mag",12,0.1772755,0.2091365,"group",0.031861,0.179725906851201
"update",12,0.2690885,0.1536755,"group",-0.115413,-0.428903502007704
"decay",12,0.1307855,0.3243725,"group",0.193587,1.48018702379086
"boundary",13,1.529125,1.45652,"group",-0.072605,-0.0474814027630181
"tau",13,0.107369,0.1226495,"group",0.0152805,0.142317614954037
"beta",13,0.5652745,0.5676375,"group",0.00236300000000012,0.00418026993964899
"drift_con",13,-0.8320255,-0.207308,"group",0.6247175,0.750839367303045
"gain",13,2.264545,1.447675,"group",-0.81687,-0.360721469434257
"loss",13,4.366095,4.68631,"group",0.320215000000001,0.073341280938688
"mag",13,0.2165655,0.1809985,"group",-0.035567,-0.164232068358072
"update",13,0.1441575,0.1105835,"group",-0.033574,-0.232898045540468
"decay",13,0.3112675,0.439684,"group",0.1284165,0.412559936389119
"boundary",14,2.01834,1.801355,"group",-0.216985,-0.107506663892109
"tau",14,0.183546,0.183616,"group",7.00000000000145e-05,0.000381375785906609
"beta",14,0.5626905,0.5703495,"group",0.00765900000000008,0.0136113902758267
"drift_con",14,-0.486739,0.294929,"group",0.781668,1.60592843392455
"gain",14,3.35583,2.38856,"group",-0.96727,-0.288235697279064
