"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error"
"con",1,-1.644905,-0.28692,"group",1.357985,0.825570473674772
"gain",1,5.28053,0.8147345,"group",-4.4657955,-0.845709710957044
"loss",1,1.84687,1.12508,"group",-0.72179,-0.39081797852583
"mag",1,0.286799,0.1074065,"group",-0.1793925,-0.625499042883692
"retend",1,0.7488135,0.4830525,"group",-0.265761,-0.35490946677644
"con",2,-0.4570125,-0.246584,"group",0.2104285,0.460443642132327
"gain",2,2.061085,0.9524955,"group",-1.1085895,-0.537866948718757
"loss",2,0.9519095,0.3911135,"group",-0.560796,-0.589127432807426
"mag",2,0.1340865,0.09786135,"group",-0.03622515,-0.270162544327729
"retend",2,0.906415,0.9047975,"group",-0.00161750000000005,-0.00178450268364938
"con",3,-0.620547,-0.327878,"group",0.292669,0.471630674227738
"gain",3,2.36561,0.8194135,"group",-1.5461965,-0.653614289760358
"loss",3,0.89616,0.8122345,"group",-0.0839255000000001,-0.0936501294411713
"mag",3,0.122539,0.1031635,"group",-0.0193755,-0.158117007646545
"retend",3,0.852811,0.7568885,"group",-0.0959224999999999,-0.112478028543253
"con",4,-0.881293,0.5398675,"group",1.4211605,1.61258571212979
"gain",4,5.14101,0.823428,"group",-4.317582,-0.839831472803982
"loss",4,3.215825,0.493256,"group",-2.722569,-0.846616031655951
"mag",4,0.1971075,0.111515,"group",-0.0855925,-0.434242735563081
"retend",4,0.950949,0.9170715,"group",-0.0338775,-0.0356249388768483
"con",5,-0.5211545,-1.473085,"group",-0.9519305,-1.82658021757464
"gain",5,1.07102,0.4073295,"group",-0.6636905,-0.619680771600904
"loss",5,0.526112,2.674085,"group",2.147973,4.08272953287513
"mag",5,0.1097515,0.131185,"group",0.0214335,0.195291180530562
"retend",5,0.892914,0.416002,"group",-0.476912,-0.534107428038982
"con",6,0.177321,0.1478295,"group",-0.0294915,-0.166317018288866
"gain",6,1.10793,0.9494535,"group",-0.1584765,-0.143038368850018
"loss",6,1.096225,0.9893935,"group",-0.1068315,-0.0974539898287304
"mag",6,0.1221665,0.105872,"group",-0.0162945,-0.133379445265273
"retend",6,0.777218,0.742604,"group",-0.0346139999999999,-0.0445357673136751
"con",7,-2.18288,-0.765946,"group",1.416934,0.649112182071392
"gain",7,4.52331,0.597778,"group",-3.925532,-0.867845007306596
"loss",7,4.94053,1.40071,"group",-3.53982,-0.716485883093514
"mag",7,0.503226,0.1148885,"group",-0.3883375,-0.771696017296404
"retend",7,0.1694925,0.41521,"group",0.2457175,1.44972491408174
"con",8,0.352305,1.44934,"group",1.097035,3.11387859950895
"gain",8,0.6564425,0.9705785,"group",0.314136,0.478543055941686
"loss",8,1.392955,0.751918,"group",-0.641037,-0.460199360352632
"mag",8,0.1487545,0.1094225,"group",-0.039332,-0.264408807800772
"retend",8,0.8156845,0.4524125,"group",-0.363272,-0.445358468868784
"con",9,-1.35198,-0.8798315,"group",0.4721485,0.349227429399843
"gain",9,2.611235,0.4649695,"group",-2.1462655,-0.821935023082947
"loss",9,2.82226,1.79252,"group",-1.02974,-0.364863619935796
"mag",9,0.180302,0.109526,"group",-0.070776,-0.392541402757596
"retend",9,0.163156,0.3785115,"group",0.2153555,1.31993613474221
"con",10,-0.6781735,-1.29725,"group",-0.6190765,-0.912858582648835
"gain",10,1.03312,0.481864,"group",-0.551256,-0.533583707604151
"loss",10,1.409545,1.756845,"group",0.3473,0.24639156607274
"mag",10,0.1311715,0.112099,"group",-0.0190725,-0.14540124950923
"retend",10,0.429417,0.3793935,"group",-0.0500235,-0.116491661950971
"con",11,-0.1583465,0.711057,"group",0.8694035,5.4905128941909
"gain",11,2.543715,1.17935,"group",-1.364365,-0.536367085149083
"loss",11,1.76084,0.9904005,"group",-0.7704395,-0.43754088957543
"mag",11,0.1409295,0.1127515,"group",-0.028178,-0.199943943603007
"retend",11,0.5569685,0.3350825,"group",-0.221886,-0.398381596086673
"con",12,-1.34761,0.0871073,"group",1.4347173,1.06463835976284
"gain",12,3.735295,1.064825,"group",-2.67047,-0.714928807497132
"loss",12,4.327325,0.833242,"group",-3.494083,-0.807446401645358
"mag",12,0.237013,0.104373,"group",-0.13264,-0.559631750157164
"retend",12,0.944066,0.82029,"group",-0.123776,-0.131109477515343
"con",13,-0.6896865,-0.524667,"group",0.1650195,0.23926740627807
"gain",13,1.99598,0.7378885,"group",-1.2580915,-0.630312678483752
"loss",13,0.916759,2.34963,"group",1.432871,1.56297456583464
"mag",13,0.1194635,0.1377595,"group",0.018296,0.153151380965734
"retend",13,0.850304,0.6163335,"group",-0.2339705,-0.275161001241909
"con",14,-1.533015,-0.981206,"group",0.551809,0.359950163566566
