"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error"
"boundary",1,1.40623,1.359475,"group",-0.0467550000000001,-0.0332484728671697
"tau",1,0.0576446,0.0637621,"group",0.0061175,0.106124424490759
"beta",1,0.5723045,0.5396835,"group",-0.032621,-0.0569993770798587
"drift_con",1,-0.8509675,-0.729244,"group",0.1217235,0.143041302987482
"gain",1,1.58578,0.744399,"group",-0.841381,-0.53057864268688
"loss",1,1.68802,1.912855,"group",0.224835,0.133194511913366
"mag",1,0.1711125,0.1374075,"group",-0.033705,-0.196975673898751
"retend",1,0.335942,0.4265295,"group",0.0905875,0.26965220186818
"boundary",2,1.410195,1.32266,"group",-0.0875349999999999,-0.0620729757232155
"tau",2,0.1928765,0.194987,"group",0.00211049999999999,0.0109422350571479
"beta",2,0.454317,0.486572,"group",0.032255,0.070996682932842
"drift_con",2,0.0210653,-0.07084525,"group",-0.09191055,-4.36312561416168
"gain",2,0.749666,0.9291295,"group",0.1794635,0.239391275581392
"loss",2,0.5126385,0.59383,"group",0.0811915,0.158379637892979
"mag",2,0.107429,0.1232055,"group",0.0157765,0.146855132226866
"retend",2,0.861824,0.82607,"group",-0.0357539999999998,-0.041486428783603
"boundary",3,1.384645,1.363485,"group",-0.0211599999999998,-0.0152818953594603
"tau",3,0.254995,0.250405,"group",-0.00459000000000004,-0.0180003529480972
"beta",3,0.54797,0.554417,"group",0.00644699999999998,0.0117652426227713
"drift_con",3,-0.4199625,-0.2701185,"group",0.149844,0.356803286007679
"gain",3,0.6715345,0.5686255,"group",-0.102909,-0.153244546631632
"loss",3,0.666137,1.201375,"group",0.535238,0.803495377077088
"mag",3,0.122067,0.1191535,"group",-0.00291350000000001,-0.0238680396831249
"retend",3,0.7571355,0.5667855,"group",-0.19035,-0.251408103305155
"boundary",4,1.68511,1.72805,"group",0.0429400000000002,0.0254820160108243
"tau",4,0.3993735,0.350602,"group",-0.0487715,-0.12212002048208
"beta",4,0.4734695,0.4992335,"group",0.025764,0.0544153319273998
"drift_con",4,-2.41779,-0.8222725,"group",1.5955175,0.659907394769604
"gain",4,0.8707475,0.600336,"group",-0.2704115,-0.310550992107356
"loss",4,4.551145,1.742875,"group",-2.80827,-0.617046918962151
"mag",4,0.1723225,0.128213,"group",-0.0441095,-0.255970636452001
"retend",4,0.2289385,0.450638,"group",0.2216995,0.96838015449564
"boundary",5,1.31935,1.217165,"group",-0.102185,-0.0774510175465191
"tau",5,0.09636335,0.10479,"group",0.00842664999999999,0.087446627789507
"beta",5,0.572943,0.664659,"group",0.091716,0.160078751289395
"drift_con",5,-0.1813505,-0.213139,"group",-0.0317885,-0.175287633615567
"gain",5,1.085435,0.8040985,"group",-0.2813365,-0.259192397518046
"loss",5,0.524134,0.5985705,"group",0.0744365,0.142018071714485
"mag",5,0.113232,0.115358,"group",0.002126,0.0187756111346616
"retend",5,0.8754145,0.806223,"group",-0.0691915,-0.0790385583058082
"boundary",6,1.668425,1.800375,"group",0.13195,0.0790865636753225
"tau",6,0.255399,0.17664,"group",-0.078759,-0.308376305310514
"beta",6,0.541235,0.4862905,"group",-0.0549445,-0.101516901161233
"drift_con",6,-2.984965,-1.5278,"group",1.457165,0.488168202977254
