"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error"
"con",1,-0.653341,-0.3685575,"group",0.2847835,0.435887997232686
"gain",1,4.79976,3.784425,"group",-1.015335,-0.211538701935097
"loss",1,2.779585,3.02687,"group",0.247285,0.0889647195534584
"mag",1,0.259191,0.2849605,"group",0.0257695,0.0994228194651821
"update",1,0.1354835,0.0656464,"group",-0.0698371,-0.515465720918045
"con",2,-0.4984375,-0.00267607,"group",0.49576143,0.994631082131662
"gain",2,6.274655,3.341295,"group",-2.93336,-0.467493431909802
"loss",2,4.21743,3.75511,"group",-0.46232,-0.109621262237903
"mag",2,0.369292,0.2371085,"group",-0.1321835,-0.357937621177821
"update",2,0.112632,0.07587775,"group",-0.03675425,-0.326321560480148
"con",3,-0.790831,-0.379253,"group",0.411578,0.520437362723515
"gain",3,4.376925,3.59081,"group",-0.786115,-0.17960440263427
"loss",3,1.71806,2.23858,"group",0.52052,0.30296962853451
"mag",3,0.189175,0.1601535,"group",-0.0290215,-0.153410862957579
"update",3,0.0913249,0.112144,"group",0.0208191,0.227967399909554
"con",4,-0.7289245,-0.158647,"group",0.5702775,0.782354688311341
"gain",4,1.98633,2.5451,"group",0.55877,0.281307738391909
"loss",4,2.54702,4.93838,"group",2.39136,0.938885442595661
"mag",4,0.1949305,0.1843205,"group",-0.01061,-0.0544296556978
"update",4,0.1715515,0.06113535,"group",-0.11041615,-0.643632670072835
"con",5,-0.521026,0.205573,"group",0.726599,1.39455420650793
"gain",5,5.207415,3.616335,"group",-1.59108,-0.305541233030208
"loss",5,1.426695,4.19304,"group",2.766345,1.93898836121245
"mag",5,0.250563,0.2608575,"group",0.0102945,0.0410854755091533
"update",5,0.0587718,0.05392085,"group",-0.00485094999999999,-0.0825387345631747
"con",6,-0.590324,-0.1730005,"group",0.4173235,0.706939748341589
"gain",6,3.238145,3.513095,"group",0.27495,0.084909724549086
"loss",6,2.79717,2.560925,"group",-0.236245,-0.0844585777768244
"mag",6,0.175011,0.1869265,"group",0.0119155,0.0680842918445126
"update",6,0.0538913,0.08520695,"group",0.03131565,0.581089155392429
"con",7,-1.751125,-1.190985,"group",0.56014,0.319874366478692
"gain",7,3.553715,2.5721,"group",-0.981615,-0.276222206901792
"loss",7,3.10417,2.963355,"group",-0.140815,-0.0453631727643782
"mag",7,0.2060965,0.165009,"group",-0.0410875,-0.199360493749287
"update",7,0.525256,0.0816955,"group",-0.4435605,-0.84446536545989
"con",8,-0.770322,-0.716595,"group",0.053727,0.0697461581001191
"gain",8,2.45403,2.832465,"group",0.378435,0.154209606239532
"loss",8,2.54878,2.27699,"group",-0.27179,-0.10663533141346
"mag",8,0.173969,0.1416485,"group",-0.0323205,-0.185783099287804
"update",8,0.1756835,0.125747,"group",-0.0499365,-0.284241263408345
"con",9,-0.1288055,0.0493965,"group",0.178202,1.38349682272884
"gain",9,1.39584,1.804395,"group",0.408555,0.292694721458047
"loss",9,2.772375,2.56301,"group",-0.209365,-0.0755182830605526
"mag",9,0.173533,0.1532105,"group",-0.0203225,-0.117110290261795
"update",9,0.271388,0.2841195,"group",0.0127315,0.0469125385057556
"con",10,-0.6823545,-0.452148,"group",0.2302065,0.337370824109755
"gain",10,3.29426,2.29615,"group",-0.99811,-0.302984585308992
"loss",10,2.714495,3.91526,"group",1.200765,0.442352997518875
"mag",10,0.1826575,0.2024805,"group",0.019823,0.108525519072581
"update",10,0.0873282,0.1140125,"group",0.0266843,0.305563380442973
"con",11,-0.455117,-0.06230715,"group",0.39280985,0.863096412570833
"gain",11,5.74776,5.164255,"group",-0.583504999999999,-0.101518678580873
"loss",11,1.61433,2.560325,"group",0.945995,0.585998525704162
"mag",11,0.2084195,0.200791,"group",-0.00762850000000001,-0.0366016615527818
"update",11,0.0721732,0.0535979,"group",-0.0185753,-0.25737115716083
"con",12,-1.10775,-1.037215,"group",0.070535,0.0636741141954412
"gain",12,1.44669,1.76132,"group",0.31463,0.217482667330251
"loss",12,4.804715,4.16677,"group",-0.637945,-0.132774784768712
"mag",12,0.199989,0.201075,"group",0.001086,0.00543029866642667
"update",12,0.1176095,0.137551,"group",0.0199415,0.16955688103427
"con",13,-1.050885,-0.2239525,"group",0.8269325,0.786891524762462
"gain",13,4.72382,2.513285,"group",-2.210535,-0.467954960180532
"loss",13,5.68656,2.430135,"group",-3.256425,-0.572652886806786
"mag",13,0.432736,0.1855855,"group",-0.2471505,-0.571134594764475
"update",13,0.1310695,0.1604745,"group",0.029405,0.224346625263696
"con",14,-2.07069,-1.75219,"group",0.3185,0.153813463145135
"gain",14,1.67853,1.81382,"group",0.13529,0.0806002871560235
"loss",14,4.866635,3.731815,"group",-1.13482,-0.23318370907208
"mag",14,0.214039,0.1723075,"group",-0.0417315,-0.194971477160704
"update",14,0.162436,0.0830518,"group",-0.0793842,-0.488710630648378
"con",15,-0.7006885,-0.2647,"group",0.4359885,0.62222870790658
"gain",15,2.35817,2.36329,"group",0.00512000000000024,0.00217117510612052
"loss",15,4.548695,4.75058,"group",0.201885,0.0443830593170129
"mag",15,0.2653085,0.1512485,"group",-0.11406,-0.429914608842159
