"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error"
"con",1,-0.252531,0.67202,"group",0.924551,3.66113863248473
"gain",1,0.3817125,0.197928,"group",-0.1837845,-0.481473622163277
"loss",1,0.662998,0.5919765,"group",-0.0710215,-0.107121740940395
"update",1,0.569769,0.3428055,"group",-0.2269635,-0.398343012694618
"decay",1,0.0402224,0.0654578,"group",0.0252354,0.627396674489837
"con",2,-0.633215,-0.776951,"group",-0.143736,-0.226993990982525
"gain",2,0.2702665,0.2351125,"group",-0.035154,-0.130071614499022
"loss",2,4.721555,5.16734,"group",0.445785,0.0944148696774685
"update",2,0.2494675,0.2028985,"group",-0.046569,-0.186673614799523
"decay",2,0.6219245,0.483706,"group",-0.1382185,-0.222243214409466
"con",3,-0.98192,-0.3828795,"group",0.5990405,0.610070576014339
"gain",3,0.466647,0.2294785,"group",-0.2371685,-0.50823963295596
"loss",3,3.77487,5.22004,"group",1.44517,0.382839673949037
"update",3,0.4592135,0.2233775,"group",-0.235836,-0.513565041097442
"decay",3,0.755027,0.5718585,"group",-0.1831685,-0.242598609056365
"con",4,-0.519087,0.1116515,"group",0.6307385,1.21509207512421
"gain",4,0.385901,0.320556,"group",-0.065345,-0.169330994218725
"loss",4,0.430197,0.681323,"group",0.251126,0.583746516130982
"update",4,0.4062925,0.1987105,"group",-0.207582,-0.510917627079013
"decay",4,0.07215375,0.124739,"group",0.05258525,0.72879441470471
"con",5,0.755232,0.4092505,"group",-0.3459815,-0.458112871276641
"gain",5,0.281612,0.1972425,"group",-0.0843695,-0.299594832606565
"loss",5,3.652005,2.27696,"group",-1.375045,-0.376517830616333
"update",5,0.325396,0.212844,"group",-0.112552,-0.345892389580696
"decay",5,0.76423,0.240975,"group",-0.523255,-0.684682621723827
"con",6,-0.552324,-0.3687165,"group",0.1836075,0.33242716231777
"gain",6,0.2464495,0.2107915,"group",-0.035658,-0.144686842537721
"loss",6,1.87731,3.88525,"group",2.00794,1.06958360633033
"update",6,0.294199,0.1410965,"group",-0.1531025,-0.520404556099783
"decay",6,0.1345645,0.545405,"group",0.4108405,3.05311207636487
"con",7,-0.1256765,-0.02828825,"group",0.09738825,0.774912175307237
"gain",7,0.1947835,0.2053305,"group",0.010547,0.0541472968706283
"loss",7,1.601085,1.18474,"group",-0.416345,-0.260039285859277
"update",7,0.4760235,0.351641,"group",-0.1243825,-0.261294873047234
"decay",7,0.08123205,0.1056155,"group",0.02438345,0.300170314549491
"con",8,-0.9669305,-0.2034025,"group",0.763528,0.789641034179809
"gain",8,0.320185,0.2503745,"group",-0.0698105,-0.218031762887081
"loss",8,1.824945,5.429275,"group",3.60433,1.9750348640644
"update",8,0.361593,0.253811,"group",-0.107782,-0.298075460531592
"decay",8,0.608493,0.607455,"group",-0.00103799999999987,-0.0017058536417015
"con",9,-0.527094,-1.11082,"group",-0.583726,-1.10744193635291
"gain",9,0.2438985,0.208618,"group",-0.0352805,-0.144652386136036
"loss",9,4.717925,4.012865,"group",-0.70506,-0.14944281649242
"update",9,0.221853,0.1475695,"group",-0.0742835,-0.334832073490104
"decay",9,0.639089,0.5066325,"group",-0.1324565,-0.2072583004871
"con",10,-0.682534,-1.197425,"group",-0.514891,-0.754381466710816
"gain",10,0.2722935,0.2095455,"group",-0.062748,-0.230442518826193
"loss",10,2.002585,4.07638,"group",2.073795,1.03555903994088
"update",10,0.2466815,0.14301,"group",-0.1036715,-0.420264592196821
"decay",10,0.481547,0.4514335,"group",-0.0301135,-0.0625349135183067
"con",11,-0.85785,-0.514194,"group",0.343656,0.400601503759398
"gain",11,0.272932,0.215007,"group",-0.0579249999999999,-0.212232350915246
"loss",11,4.54403,3.845475,"group",-0.698554999999999,-0.15373027906946
"update",11,0.2554535,0.147318,"group",-0.1081355,-0.423307960157132
"decay",11,0.5446835,0.5427405,"group",-0.00194299999999992,-0.00356720921415816
"con",12,-0.2311335,0.15782,"group",0.3889535,1.68280885289238
"gain",12,0.261336,0.208602,"group",-0.052734,-0.201786206263201
"loss",12,0.5331395,0.6104325,"group",0.0772930000000001,0.144977065102098
"update",12,0.36921,0.3657455,"group",-0.00346449999999998,-0.00938354865794529
"decay",12,0.08600585,0.1063755,"group",0.02036965,0.236840284701564
"con",13,-1.23497,0.197258,"group",1.432228,1.15972695693013
"gain",13,0.2647995,0.223283,"group",-0.0415165,-0.156784661602458
"loss",13,4.54835,4.91768,"group",0.369330000000001,0.081200875042598
"update",13,0.2514925,0.192806,"group",-0.0586865,-0.233352883286778
"decay",13,0.49952,0.645786,"group",0.146266,0.292813100576554
"con",14,-0.236613,0.4731375,"group",0.7097505,2.99962597152312
"gain",14,0.334149,0.2482505,"group",-0.0858985,-0.257066458376353
"loss",14,1.92789,2.87262,"group",0.94473,0.490033145044583
"update",14,0.382555,0.264615,"group",-0.11794,-0.308295539203513
"decay",14,0.267209,0.6954225,"group",0.4282135,1.60254145631322
"con",15,-0.9002215,0.1115195,"group",1.011741,1.12388006729455
"gain",15,0.4899785,0.244295,"group",-0.2456835,-0.501416898904748
"loss",15,3.339525,5.153965,"group",1.81444,0.543322777939976
"update",15,0.478259,0.211197,"group",-0.267062,-0.5584045464905
