"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error"
"boundary",1,1.404005,1.37624,"group",-0.0277649999999998,-0.0197755705998197
"tau",1,0.05751165,0.05989295,"group",0.0023813,0.0414055239242832
"beta",1,0.568576,0.597079,"group",0.0285030000000001,0.0501305014633049
"drift_con",1,-0.575262,-0.1329975,"group",0.4422645,0.768805344347445
"gain",1,0.353264,0.2043925,"group",-0.1488715,-0.421417127134381
"loss",1,0.910239,2.76627,"group",1.856031,2.03905897242373
"update",1,0.411138,0.1614125,"group",-0.2497255,-0.60740067811781
"decay",1,0.3819815,0.5952145,"group",0.213233,0.558228605312037
"boundary",2,1.60237,1.30597,"group",-0.2964,-0.18497600429364
"tau",2,0.1158885,0.0982233,"group",-0.0176652,-0.152432726284316
"beta",2,0.720439,0.581786,"group",-0.138653,-0.192456266248773
"drift_con",2,0.001288775,0.1373935,"group",0.136104725,105.607825260422
"gain",2,0.2306945,0.226737,"group",-0.00395749999999997,-0.017154721937454
"loss",2,1.147745,0.764563,"group",-0.383182,-0.33385638796074
"update",2,0.293732,0.2800135,"group",-0.0137185,-0.046704138466357
"decay",2,0.1303915,0.1008445,"group",-0.029547,-0.226602194161429
"boundary",3,1.391105,1.39938,"group",0.00827500000000003,0.0059485085597421
"tau",3,0.2532105,0.2575295,"group",0.00431899999999996,0.0170569545891658
"beta",3,0.543358,0.576889,"group",0.033531,0.0617106953426654
"drift_con",3,-0.3635845,-0.01330565,"group",0.35027885,0.963404243030162
"gain",3,0.2229305,0.2248835,"group",0.00195300000000001,0.0087605778482532
"loss",3,0.772657,3.712935,"group",2.940278,3.8054117156772
"update",3,0.2331065,0.1769215,"group",-0.056185,-0.241027169984535
"decay",3,0.1127645,0.5808585,"group",0.468094,4.15107591484909
"boundary",4,2.062225,1.97036,"group",-0.0918649999999999,-0.0445465456000193
"tau",4,0.2153695,0.217158,"group",0.00178850000000003,0.00830433278621173
"beta",4,0.6821315,0.633874,"group",-0.0482575,-0.0707451569088951
"drift_con",4,-0.05886395,0.01740285,"group",0.0762668,1.29564529733394
"gain",4,0.1918395,0.1997595,"group",0.00791999999999998,0.0412845112711406
"loss",4,1.043255,0.8393535,"group",-0.2039015,-0.195447421771283
"update",4,0.3353495,0.2340095,"group",-0.10134,-0.302192190535546
"decay",4,0.3366235,0.2836395,"group",-0.052984,-0.157398399101667
"boundary",5,1.664475,1.59692,"group",-0.067555,-0.0405863710779675
"tau",5,0.2556595,0.2607715,"group",0.00511199999999995,0.0199953453714802
"beta",5,0.54214,0.552734,"group",0.010594,0.0195410779503449
"drift_con",5,-0.909388,-0.8681295,"group",0.0412585,0.0453695232398052
"gain",5,0.2506485,0.218021,"group",-0.0326275,-0.13017233296828
"loss",5,2.3254,3.84878,"group",1.52338,0.655104498150856
"update",5,0.229345,0.149841,"group",-0.079504,-0.346656783448516
"decay",5,0.5792575,0.4687055,"group",-0.110552,-0.190851219017449
"boundary",6,1.668345,1.59962,"group",-0.0687250000000001,-0.041193518127246
"tau",6,0.215438,0.2209865,"group",0.00554850000000001,0.0257545094180229
"beta",6,0.4207375,0.4360685,"group",0.015331,0.0364383968626519
"drift_con",6,0.117525,0.1273595,"group",0.00983450000000001,0.0836800680706234
"gain",6,0.223028,0.1936335,"group",-0.0293945,-0.131797352798752
"loss",6,1.38158,1.139185,"group",-0.242395,-0.17544767584939
"update",6,0.149139,0.1383795,"group",-0.0107595,-0.0721441071751856
"decay",6,0.133846,0.0940506,"group",-0.0397954,-0.297322295772754
"boundary",7,1.62799,1.442885,"group",-0.185105,-0.113701558363381
"tau",7,0.364834,0.393435,"group",0.028601,0.0783945575247921
"beta",7,0.675546,0.6226985,"group",-0.0528474999999999,-0.0782293137698986
"drift_con",7,-0.1091885,0.2244795,"group",0.333668,3.05588958544169
"gain",7,0.270499,0.1860685,"group",-0.0844305,-0.312128695485011
"loss",7,0.9972715,1.580005,"group",0.5827335,0.584327838507367
"update",7,0.1572645,0.1396825,"group",-0.017582,-0.111798912024011
"decay",7,0.156321,0.1399755,"group",-0.0163455,-0.104563686260963
"boundary",8,1.54174,1.46719,"group",-0.0745500000000001,-0.0483544566528728
"tau",8,0.067009,0.06833455,"group",0.00132554999999999,0.0197816711188049
"beta",8,0.4561595,0.475045,"group",0.0188855000000001,0.0414010888735191
"drift_con",8,-0.317058,-0.0821995,"group",0.2348585,0.740743018627507
"gain",8,0.230737,0.209507,"group",-0.02123,-0.0920095173292538
"loss",8,0.8762135,1.232965,"group",0.3567515,0.407151339256928
"update",8,0.264072,0.1780565,"group",-0.0860155,-0.325727453118846
"decay",8,0.1305275,0.2064545,"group",0.075927,0.581693512861274
