"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error"
"con",1,-0.350452,0.04191215,"group",0.39236415,1.11959455217833
"gain",1,0.210888,0.09748255,"group",-0.11340545,-0.537752029513296
"loss",1,0.5775975,0.6647465,"group",0.087149,0.150881885742234
"retend",1,0.926235,0.9302175,"group",0.0039825,0.00429966477189914
"con",2,0.3816185,0.628687,"group",0.2470685,0.647422753351842
"gain",2,0.205683,0.177303,"group",-0.02838,-0.137979317687898
"loss",2,0.5607385,5.235095,"group",4.6743565,8.336071983643
"retend",2,0.294227,0.26137,"group",-0.032857,-0.111672280246205
"con",3,-0.0826411,0.4180675,"group",0.5007086,6.05883271156846
"gain",3,0.138514,0.08795365,"group",-0.05056035,-0.365019781393939
"loss",3,0.2621535,0.560842,"group",0.2986885,1.13936491406752
"retend",3,0.8981,0.888178,"group",-0.0099220000000001,-0.0110477675091862
"con",4,-0.6971395,-0.150807,"group",0.5463325,0.783677441889321
"gain",4,0.217793,0.1190415,"group",-0.0987515,-0.453419072238318
"loss",4,0.4314025,0.6116485,"group",0.180246,0.417813990414984
"retend",4,0.9306795,0.848541,"group",-0.0821385,-0.0882564835692631
"con",5,-1.585955,-0.80722,"group",0.778735,0.49101960648316
"gain",5,0.335517,0.11057,"group",-0.224947,-0.670448889326025
"loss",5,1.101705,4.46549,"group",3.363785,3.05325382021503
"retend",5,0.7463625,0.390146,"group",-0.3562165,-0.477270093285769
"con",6,-0.6958205,-0.4039455,"group",0.291875,0.419468814155375
"gain",6,0.1152865,0.1037745,"group",-0.011512,-0.0998555771924727
"loss",6,1.86248,3.03077,"group",1.16829,0.627276534513123
"retend",6,0.834098,0.350953,"group",-0.483145,-0.579242487093843
"con",7,-0.2595255,-0.164219,"group",0.0953065,0.367233662973388
"gain",7,0.1170945,0.0822411,"group",-0.0348534,-0.297651896545098
"loss",7,1.6172,0.8690575,"group",-0.7481425,-0.462615941132822
"retend",7,0.901189,0.888334,"group",-0.0128550000000001,-0.0142644883592677
"con",8,0.2496,0.5682245,"group",0.3186245,1.27654046474359
"gain",8,0.1104745,0.1205865,"group",0.010112,0.09153243508683
"loss",8,2.082585,5.726435,"group",3.64385,1.74967648379298
"retend",8,0.807801,0.663686,"group",-0.144115,-0.178404087145225
"con",9,-0.03831345,0.6476855,"group",0.68599895,17.9049119826066
"gain",9,0.1586505,0.1018385,"group",-0.056812,-0.358095310131389
"loss",9,0.242409,0.359329,"group",0.11692,0.482325326204885
"retend",9,0.9008135,0.835494,"group",-0.0653195,-0.0725116797206081
"con",10,-0.671907,-1.00668,"group",-0.334773,-0.49824306042354
"gain",10,0.1358755,0.0922313,"group",-0.0436442,-0.321207281665937
"loss",10,1.339705,3.6344,"group",2.294695,1.71283603479871
"retend",10,0.458379,0.4260525,"group",-0.0323265,-0.0705235187475866
"con",11,-0.03778025,-0.09621485,"group",-0.0584346,-1.54669701762164
"gain",11,0.160729,0.1083645,"group",-0.0523645,-0.325793727329853
"loss",11,0.972242,1.34051,"group",0.368268,0.3787822373442
