"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error"
"con",1,-0.4983495,-0.3228355,"group",0.175514,0.352190581108238
"gain",1,0.2706955,0.19901,"group",-0.0716855,-0.264819695931406
"loss",1,0.667354,1.13043,"group",0.463076,0.69389859055314
"update",1,0.2069345,0.1744385,"group",-0.032496,-0.157035197127594
"con",2,-1.23617,-0.6152005,"group",0.6209695,0.502333416924857
"gain",2,0.628233,0.248668,"group",-0.379565,-0.604178704397891
"loss",2,0.4801905,6.66238,"group",6.1821895,12.8744519102315
"update",2,0.201942,0.1717905,"group",-0.0301515,-0.149307722019194
"con",3,-0.42611,-0.1268605,"group",0.2992495,0.702282274530051
"gain",3,0.325492,0.200914,"group",-0.124578,-0.382737517358337
"loss",3,0.489431,1.06355,"group",0.574119,1.1730335838964
"update",3,0.445581,0.4242095,"group",-0.0213715,-0.0479632210529623
"con",4,-0.551755,-0.2496815,"group",0.3020735,0.547477594222073
"gain",4,0.354676,0.224186,"group",-0.13049,-0.367913250403185
"loss",4,0.4647615,0.8805575,"group",0.415796,0.894643811933648
"update",4,0.167527,0.274628,"group",0.107101,0.63930590292908
"con",5,-0.09819325,-0.0935587,"group",0.00463455000000002,0.0471982544625014
"gain",5,0.3534,0.208482,"group",-0.144918,-0.410067911714771
"loss",5,0.3446465,1.68048,"group",1.3358335,3.87595260651131
"update",5,0.156138,0.0683517,"group",-0.0877863,-0.562235330284748
"con",6,-1.33655,-1.022135,"group",0.314415,0.235243724514608
"gain",6,0.2506975,0.1997205,"group",-0.050977,-0.203340679504183
"loss",6,4.412505,3.88617,"group",-0.526335,-0.119282584382341
"update",6,0.2004855,0.119656,"group",-0.0808295,-0.403168807719261
"con",7,-0.6601275,-0.519811,"group",0.1403165,0.212559694907423
"gain",7,0.2428155,0.1931465,"group",-0.049669,-0.204554486842891
"loss",7,2.207785,4.73422,"group",2.526435,1.14433017707793
"update",7,0.163566,0.0983797,"group",-0.0651863,-0.398532091021361
"con",8,-0.5397065,-0.000466161,"group",0.539240339,0.999136269435332
"gain",8,0.4242265,0.2241555,"group",-0.200071,-0.471613630925932
"loss",8,0.43115,0.70137,"group",0.27022,0.626742433027949
"update",8,0.297608,0.1986235,"group",-0.0989845,-0.332600266121878
"con",9,-0.3486535,-0.569121,"group",-0.2204675,-0.632339844573481
"gain",9,0.207039,0.2605325,"group",0.0534935,0.258374026149663
"loss",9,1.150595,1.36692,"group",0.216325,0.188011420178255
"update",9,0.1055895,0.128267,"group",0.0226775,0.214770408042466
"con",10,-1.026985,-0.7106455,"group",0.3163395,0.308027381120464
"gain",10,0.320444,0.19845,"group",-0.121994,-0.380703024553432
"loss",10,1.242355,2.35514,"group",1.112785,0.895706138744562
"update",10,0.6436745,0.215005,"group",-0.4286695,-0.665972475218453
"con",11,0.008246705,-0.14282,"group",-0.151066705,-18.3184320283071
"gain",11,0.1908755,0.15492,"group",-0.0359555,-0.188371477743346
"loss",11,1.878605,2.320465,"group",0.44186,0.235206443078774
"update",11,0.3095485,0.406566,"group",0.0970175,0.313416152880728
"con",12,-0.169412,0.2761615,"group",0.4455735,2.63011770122541
"gain",12,0.418777,0.139854,"group",-0.278923,-0.666041831332666
"loss",12,0.3226505,1.56117,"group",1.2385195,3.83857920567301
"update",12,0.1351965,0.309447,"group",0.1742505,1.28886842484828
"con",13,-1.578675,-1.73705,"group",-0.158375,-0.100321472120607
"gain",13,0.215995,0.194053,"group",-0.021942,-0.101585684853816
"loss",13,3.14051,4.42695,"group",1.28644,0.409627735622558
"update",13,0.185383,0.1371135,"group",-0.0482695,-0.260377165112227
"con",14,-0.2776445,-0.228053,"group",0.0495915,0.178615099524752
"gain",14,0.2826785,0.285831,"group",0.0031525,0.0111522453953873
"loss",14,0.543398,0.743446,"group",0.200048,0.368142687312062
"update",14,0.2461355,0.2138295,"group",-0.032306,-0.131252907443258
"con",15,-2.06983,-1.567355,"group",0.502475,0.242761482827092
"gain",15,0.2335535,0.1921555,"group",-0.041398,-0.177252749370059
"loss",15,4.66242,3.96932,"group",-0.6931,-0.148656706174047
"update",15,0.2316315,0.117802,"group",-0.1138295,-0.491424957313664
"con",16,-1.862525,-1.717155,"group",0.14537,0.0780499590609522
"gain",16,0.3829755,0.195461,"group",-0.1875145,-0.489625315457516
"loss",16,1.641965,3.76812,"group",2.126155,1.29488448292138
"update",16,0.3805675,0.1310695,"group",-0.249498,-0.655594605424793
"con",17,-0.4802865,-0.1844255,"group",0.295861,0.616009402721084
"gain",17,0.526908,0.289773,"group",-0.237135,-0.450050103623403
"loss",17,0.3125385,0.528076,"group",0.2155375,0.689635036963446
"update",17,0.3711785,0.232616,"group",-0.1385625,-0.373304218859659
"con",18,-2.26489,-1.11964,"group",1.14525,0.505653696205997
"gain",18,0.3281485,0.203595,"group",-0.1245535,-0.379564435004274
"loss",18,2.518465,4.399855,"group",1.88139,0.74703837456546
"update",18,0.3745565,0.1425875,"group",-0.231969,-0.61931644491552
"con",19,-1.602325,-1.52649,"group",0.0758350000000001,0.0473281013527219
"gain",19,0.164066,0.192036,"group",0.02797,0.170480172613461
"loss",19,3.65375,3.492365,"group",-0.161385,-0.0441696886760178
"update",19,0.09121255,0.1594005,"group",0.06818795,0.747572017227892
"con",20,-1.965275,-1.501085,"group",0.46419,0.236195952220427
"gain",20,0.2502935,0.178212,"group",-0.0720815,-0.287987902202814
"loss",20,3.88893,3.011395,"group",-0.877535,-0.225649471705585
"update",20,0.2325225,0.1602885,"group",-0.072234,-0.310653807696029
"con",21,-0.396308,-0.2392285,"group",0.1570795,0.396357126275523
"gain",21,0.484245,0.3154075,"group",-0.1688375,-0.348661318134415
"loss",21,0.6178655,1.56825,"group",0.9503845,1.53817376111791
"update",21,0.09060725,0.1520955,"group",0.06148825,0.678623951173885
"con",22,-0.5657145,-0.1482075,"group",0.417507,0.738017144690476
"gain",22,0.450123,0.198394,"group",-0.251729,-0.559244917500328
"loss",22,0.5434115,0.839007,"group",0.2955955,0.543962540358458
"update",22,0.17956,0.1962835,"group",0.0167235,0.093135999108933
"con",23,-1.636645,-1.538325,"group",0.0983200000000002,0.0600741150341095
"gain",23,0.2096275,0.180978,"group",-0.0286495,-0.136668614566314
"loss",23,3.31239,3.31556,"group",0.0031699999999999,0.000957012912126862
"update",23,0.141553,0.123099,"group",-0.018454,-0.130368130664839
"con",24,-1.327165,-1.59401,"group",-0.266845,-0.201063921969009
"gain",24,0.2142085,0.201847,"group",-0.0123615,-0.0577077940417865
"loss",24,2.6215,4.050705,"group",1.429205,0.545185962235362
"update",24,0.1498565,0.1490435,"group",-0.000813000000000008,-0.00542519009852765
"con",25,-0.7551185,-0.678998,"group",0.0761205,0.100806032430672
"gain",25,0.1933015,0.1753285,"group",-0.017973,-0.0929791025936168
"loss",25,2.31611,4.06517,"group",1.74906,0.755171386505822
"update",25,0.1409095,0.1518635,"group",0.010954,0.0777378388256289
"con",26,-0.129905,-0.08543935,"group",0.04446565,0.342293599168623
"gain",26,0.241681,0.2401085,"group",-0.00157249999999998,-0.00650651064833386
"loss",26,0.818428,1.345495,"group",0.527067,0.643999227787906
"update",26,0.14142,0.19054,"group",0.04912,0.347334181869608
"con",27,-1.183915,-1.04577,"group",0.138145,0.116684897142109
"gain",27,0.193733,0.192644,"group",-0.00108900000000001,-0.00562113837085064
"loss",27,5.048165,4.22841,"group",-0.819755,-0.162386728642982
"update",27,0.2014555,0.147964,"group",-0.0534915,-0.265525140787916
"con",28,1.007805,1.786315,"group",0.77851,0.772480787453922
"gain",28,0.8545095,0.226372,"group",-0.6281375,-0.735085449605885
"loss",28,0.2143655,0.8462605,"group",0.631895,2.94774578931778
"update",28,0.145281,0.130753,"group",-0.014528,-0.0999993116787466
"con",29,-2.48003,-1.709155,"group",0.770875,0.310832933472579
"gain",29,0.248293,0.1877635,"group",-0.0605295,-0.243782547232504
"loss",29,3.03317,4.033265,"group",1.000095,0.32971940247332
"update",29,0.313133,0.1336325,"group",-0.1795005,-0.573240444156317
"con",30,-0.43275,-1.123515,"group",-0.690765,-1.59622183708839
"gain",30,0.2345725,0.2185685,"group",-0.016004,-0.0682262413539525
"loss",30,1.37282,3.67162,"group",2.2988,1.67450940400052
"update",30,0.164994,0.1229795,"group",-0.0420145,-0.25464259306399
