"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","RT","boundary","tau","beta","drift_con","gain","loss","update"
"200001",1,0,4,1,TRUE,25,1,50,0.172525579653095,1.291395,0.1325735,0.510615,0.0270993,1.193995,0.431909,0.350335
"200001",2,0,3,0,TRUE,25,0,0,0.323720918834355,1.291395,0.1325735,0.510615,0.0270993,1.193995,0.431909,0.350335
"200001",3,0,2,1,TRUE,25,1,100,1.01277924699914,1.291395,0.1325735,0.510615,0.0270993,1.193995,0.431909,0.350335
"200001",4,0,3,1,TRUE,25,1,50,0.210968929924309,1.291395,0.1325735,0.510615,0.0270993,1.193995,0.431909,0.350335
"200001",5,0,3,0,TRUE,25,0,0,1.22045208828602,1.291395,0.1325735,0.510615,0.0270993,1.193995,0.431909,0.350335
"200001",6,0,2,1,TRUE,25,1,100,0.418019994237131,1.291395,0.1325735,0.510615,0.0270993,1.193995,0.431909,0.350335
"200001",7,0,2,0,TRUE,25,0,0,0.271251440006023,1.291395,0.1325735,0.510615,0.0270993,1.193995,0.431909,0.350335
"200001",8,0,4,1,TRUE,25,1,50,0.418074380343384,1.291395,0.1325735,0.510615,0.0270993,1.193995,0.431909,0.350335
"200001",9,0,2,0,TRUE,25,0,0,0.545511283535303,1.291395,0.1325735,0.510615,0.0270993,1.193995,0.431909,0.350335
"200001",10,0,1,1,TRUE,25,1,100,0.248995691174259,1.291395,0.1325735,0.510615,0.0270993,1.193995,0.431909,0.350335
"200001",11,0,4,1,TRUE,25,1,50,0.577621247427843,1.291395,0.1325735,0.510615,0.0270993,1.193995,0.431909,0.350335
"200001",12,0,1,0,TRUE,25,0,0,1.06855312676018,1.291395,0.1325735,0.510615,0.0270993,1.193995,0.431909,0.350335
"200001",13,0,4,1,TRUE,25,1,50,0.280809436473331,1.291395,0.1325735,0.510615,0.0270993,1.193995,0.431909,0.350335
"200001",14,0,3,1,TRUE,25,1,50,0.377665418996621,1.291395,0.1325735,0.510615,0.0270993,1.193995,0.431909,0.350335
"200001",15,0,2,0,TRUE,25,0,0,0.181304027017733,1.291395,0.1325735,0.510615,0.0270993,1.193995,0.431909,0.350335
"200001",16,0,4,1,TRUE,25,1,50,0.454119330965191,1.291395,0.1325735,0.510615,0.0270993,1.193995,0.431909,0.350335
"200001",17,0,3,1,TRUE,25,1,0,0.264310734730604,1.291395,0.1325735,0.510615,0.0270993,1.193995,0.431909,0.350335
"200001",18,0,1,1,TRUE,25,1,100,0.605562641991032,1.291395,0.1325735,0.510615,0.0270993,1.193995,0.431909,0.350335
"200001",19,0,1,1,TRUE,25,1,100,0.338910833343392,1.291395,0.1325735,0.510615,0.0270993,1.193995,0.431909,0.350335
"200001",20,0,1,0,TRUE,25,0,0,0.722045323334889,1.291395,0.1325735,0.510615,0.0270993,1.193995,0.431909,0.350335
"200001",21,1,2,NA,FALSE,25,1,100,0.265784773766888,1.291395,0.1325735,0.510615,0.0270993,1.193995,0.431909,0.350335
"200001",22,1,3,NA,FALSE,25,0,0,0.473148071200553,1.291395,0.1325735,0.510615,0.0270993,1.193995,0.431909,0.350335
"200001",23,1,1,NA,FALSE,25,1,100,0.354742662116459,1.291395,0.1325735,0.510615,0.0270993,1.193995,0.431909,0.350335
"200001",24,1,4,NA,FALSE,25,1,50,0.47042177433493,1.291395,0.1325735,0.510615,0.0270993,1.193995,0.431909,0.350335
"200001",25,1,4,NA,FALSE,25,1,50,0.277982570534571,1.291395,0.1325735,0.510615,0.0270993,1.193995,0.431909,0.350335
"200001",26,1,1,NA,FALSE,25,1,100,0.481166759652892,1.291395,0.1325735,0.510615,0.0270993,1.193995,0.431909,0.350335
"200001",27,1,3,NA,FALSE,25,1,50,0.660410914180119,1.291395,0.1325735,0.510615,0.0270993,1.193995,0.431909,0.350335
"200001",28,1,1,NA,FALSE,25,1,-250,0.539555977443096,1.291395,0.1325735,0.510615,0.0270993,1.193995,0.431909,0.350335
"200001",29,1,3,NA,FALSE,25,1,-25,0.242523971799901,1.291395,0.1325735,0.510615,0.0270993,1.193995,0.431909,0.350335
"200001",30,1,3,NA,FALSE,25,0,0,0.635681922163118,1.291395,0.1325735,0.510615,0.0270993,1.193995,0.431909,0.350335
"200001",31,1,2,NA,FALSE,25,1,100,0.793840914857487,1.291395,0.1325735,0.510615,0.0270993,1.193995,0.431909,0.350335
"200001",32,1,3,NA,FALSE,25,1,50,0.430014498154006,1.291395,0.1325735,0.510615,0.0270993,1.193995,0.431909,0.350335
"200001",33,1,2,NA,FALSE,25,1,100,1.59738404411963,1.291395,0.1325735,0.510615,0.0270993,1.193995,0.431909,0.350335
"200001",34,1,3,NA,FALSE,25,1,-25,0.254636397022223,1.291395,0.1325735,0.510615,0.0270993,1.193995,0.431909,0.350335
