"statistic","mean_ppp","sd_ppp","min_ppp","max_ppp","extreme_count","extreme_ratio","component"
"avg_outcome",0.50835,0.28893632255648,0,1,13,0.065,"RL"
"good_deck_ratio",0.52885,0.290914651007567,0.01,1,21,0.105,"RL"
"lose_shift_ratio",0.515070707070707,0.28803742824949,0.01,0.99,13,0.065,"RL"
"new_bad_deck_ratio",0.45405,0.271881768384531,0,1,17,0.085,"RL"
"new_good_deck_ratio",0.5533,0.269270576216713,0,1,15,0.075,"RL"
"skip_ratio",0.5963,0.252198992183338,0.01,1,14,0.07,"RL"
"total_money",0.5058,0.29346373681278,0,1,16,0.08,"RL"
"win_stay_ratio",0.50755,0.281147143112645,0,1,18,0.09,"RL"
"choice_prob",0.4478,0.256137055020889,0,1,12,0.06,"SSM"
"has_rt_data",1,0,1,1,200,1,"SSM"
"max_rt",0.3382,0.24965052961024,0,0.93,24,0.12,"SSM"
"mean_rt",0.108,0.091876036212664,0,0.48,60,0.3,"SSM"
"median_rt",0.1379,0.139116342619836,0,0.57,64,0.32,"SSM"
"min_rt",0.1732,0.154623095000513,0,0.72,40,0.2,"SSM"
"rt_play_mean",0.13795,0.128607921557878,0,0.72,49,0.245,"SSM"
"rt_play_median",0.17885,0.186200242080277,0,0.79,53,0.265,"SSM"
"rt_play_quantiles_10%",0.1097,0.108001070160341,0,0.51,70,0.35,"SSM"
"rt_play_quantiles_30%",0.14825,0.151137853477442,0,0.72,58,0.29,"SSM"
"rt_play_quantiles_50%",0.17885,0.186200242080277,0,0.79,53,0.265,"SSM"
"rt_play_quantiles_70%",0.2036,0.192750626510267,0,0.91,40,0.2,"SSM"
"rt_play_quantiles_90%",0.21595,0.181121846047289,0,0.88,31,0.155,"SSM"
"rt_skip_mean",0.22435,0.194245292525563,0,0.94,31,0.155,"SSM"
"rt_skip_median",0.23765,0.187761148121007,0,0.79,25,0.125,"SSM"
"rt_skip_quantiles_10%",0.1831,0.169143244576689,0,0.78,45,0.225,"SSM"
"rt_skip_quantiles_30%",0.18985,0.172942252249314,0,0.84,43,0.215,"SSM"
"rt_skip_quantiles_50%",0.23765,0.187761148121007,0,0.79,25,0.125,"SSM"
"rt_skip_quantiles_70%",0.25445,0.204125041735003,0,0.84,32,0.16,"SSM"
"rt_skip_quantiles_90%",0.3125,0.245448517767722,0,0.97,28,0.14,"SSM"
