"statistic","mean_ppp","sd_ppp","min_ppp","max_ppp","extreme_count","extreme_ratio","component"
"avg_outcome",0.53965,0.28977096743435,0.03,1,16,0.08,"RL"
"good_deck_ratio",0.54345,0.27151833923828,0,1,16,0.08,"RL"
"lose_shift_ratio",0.51975,0.281659542692858,0.04,1,12,0.06,"RL"
"new_bad_deck_ratio",0.4427,0.266169005893798,0,1,17,0.085,"RL"
"new_good_deck_ratio",0.5651,0.264552319302329,0,1,17,0.085,"RL"
"skip_ratio",0.63405,0.250304533112132,0,1,9,0.045,"RL"
"total_money",0.54125,0.296252875651289,0.02,1,21,0.105,"RL"
"win_stay_ratio",0.50955,0.271883986306752,0,1,15,0.075,"RL"
"choice_prob",0.4103,0.252745547058279,0,1,7,0.035,"SSM"
"has_rt_data",1,0,1,1,200,1,"SSM"
"max_rt",0.3686,0.252801469367907,0,0.98,19,0.095,"SSM"
"mean_rt",0.20945,0.112174475997558,0,0.53,15,0.075,"SSM"
"median_rt",0.2824,0.194037348111933,0,0.95,18,0.09,"SSM"
"min_rt",0.32115,0.193139045650469,0,0.91,3,0.015,"SSM"
"rt_play_mean",0.2412,0.167498773714854,0,0.9,14,0.07,"SSM"
"rt_play_median",0.3028,0.199970249043483,0,0.99,19,0.095,"SSM"
"rt_play_quantiles_10%",0.27185,0.188434645375763,0,0.87,17,0.085,"SSM"
"rt_play_quantiles_30%",0.2891,0.201454983936273,0,0.88,12,0.06,"SSM"
"rt_play_quantiles_50%",0.3028,0.199970249043483,0,0.99,19,0.095,"SSM"
"rt_play_quantiles_70%",0.3093,0.204542656901836,0,0.95,14,0.07,"SSM"
"rt_play_quantiles_90%",0.30305,0.228037723891439,0,1,19,0.095,"SSM"
"rt_skip_mean",0.2984,0.208682009058094,0,0.97,17,0.085,"SSM"
"rt_skip_median",0.34,0.23432571927462,0,0.98,17,0.085,"SSM"
"rt_skip_quantiles_10%",0.32835,0.230269183750072,0,0.92,15,0.075,"SSM"
"rt_skip_quantiles_30%",0.34885,0.233150106930726,0,0.9,10,0.05,"SSM"
"rt_skip_quantiles_50%",0.34,0.23432571927462,0,0.98,17,0.085,"SSM"
"rt_skip_quantiles_70%",0.3417,0.237235141922132,0,0.96,16,0.08,"SSM"
"rt_skip_quantiles_90%",0.35345,0.263500970219338,0,1,19,0.095,"SSM"
