"statistic","observed","predicted_mean","predicted_sd","predicted_q025","predicted_q975","ppp_value","ppp_extreme","subject_id","component"
"rl_total_money",250,-388.75,1594.34122030627,-3105,2139.375,0.36,FALSE,"200001","RL"
"rl_skip_ratio",0.5,0.412416666666667,0.0559141833838181,0.306666666666667,0.516666666666667,0.06,FALSE,"200001","RL"
"rl_good_deck_ratio",0.55,0.519113372268706,0.0369932509349619,0.450334507042254,0.588658340048348,0.2,FALSE,"200001","RL"
"rl_new_good_deck_ratio",0.75,0.687661850641656,0.0389176533748427,0.623539215686274,0.759803921568627,0.05,FALSE,"200001","RL"
"rl_new_bad_deck_ratio",0.25,0.312338149358344,0.0389176533748427,0.240196078431373,0.376460784313725,0.96,TRUE,"200001","RL"
"rl_avg_outcome",4.16666666666667,-5.75719899443596,22.4666207706608,-44.1516934557979,31.9901051880905,0.36,FALSE,"200001","RL"
"rl_win_stay_ratio",0.119047619047619,0.166144067226687,0.0603640085479309,0.0502299331103679,0.284583333333333,0.81,FALSE,"200001","RL"
"rl_lose_shift_ratio",0.8,0.888819527294844,0.069073536363649,0.742401960784314,1,0.91,FALSE,"200001","RL"
"rl_total_money",-1450,-485.25,1446.69204261364,-3455,2235,0.77,FALSE,"200002","RL"
"rl_skip_ratio",0.375,0.442833333333333,0.0618302498618581,0.320625,0.554375,0.86,FALSE,"200002","RL"
"rl_good_deck_ratio",0.493333333333333,0.526953356639112,0.0377084327897245,0.463333333333333,0.596027772529756,0.78,FALSE,"200002","RL"
"rl_new_good_deck_ratio",0.672727272727273,0.686888726729886,0.041134929071992,0.606893592677346,0.75908064516129,0.63,FALSE,"200002","RL"
"rl_new_bad_deck_ratio",0.327272727272727,0.313111273270114,0.041134929071992,0.24091935483871,0.393106407322654,0.37,FALSE,"200002","RL"
"rl_avg_outcome",-19.3333333333333,-7.77117917021453,21.9908913154564,-53.7172856430708,30.890434192673,0.74,FALSE,"200002","RL"
"rl_win_stay_ratio",0.153846153846154,0.131000872409303,0.0550958382279388,0.0259993224932249,0.240311094452774,0.29,FALSE,"200002","RL"
"rl_lose_shift_ratio",0.85,0.878172030197185,0.0818185882710783,0.711794871794872,1,0.63,FALSE,"200002","RL"
"rl_total_money",-2650,-435.75,1831.64955392232,-4665,2521.875,0.9,FALSE,"200005","RL"
"rl_skip_ratio",0.275,0.32825,0.0687683757709373,0.203958333333333,0.45,0.77,FALSE,"200005","RL"
"rl_good_deck_ratio",0.563218390804598,0.527155958031397,0.0358984411231093,0.455092059838895,0.597432432432432,0.15,FALSE,"200005","RL"
"rl_new_good_deck_ratio",0.753846153846154,0.716128409885276,0.0411439453184935,0.641666666666667,0.798061224489796,0.2,FALSE,"200005","RL"
"rl_new_bad_deck_ratio",0.246153846153846,0.283871590114724,0.0411439453184935,0.201938775510204,0.358333333333333,0.8,FALSE,"200005","RL"
"rl_avg_outcome",-30.4597701149425,-5.5817715806118,22.4547251865483,-52.2527454780362,32.3896262188515,0.84,FALSE,"200005","RL"
"rl_win_stay_ratio",0.183333333333333,0.184221202217472,0.0576378893527668,0.0594858156028369,0.296515151515151,0.53,FALSE,"200005","RL"
"rl_lose_shift_ratio",0.722222222222222,0.853744668408721,0.0872062829647274,0.649488491048593,1,0.93,FALSE,"200005","RL"
"rl_total_money",-1050,-576.5,2030.65465634443,-4289.375,2676.25,0.62,FALSE,"200006","RL"
"rl_skip_ratio",0.166666666666667,0.21225,0.0567974204493212,0.124583333333333,0.316666666666667,0.8,FALSE,"200006","RL"
"rl_good_deck_ratio",0.5,0.536516327126581,0.036523981599444,0.473667443135106,0.613719393703848,0.88,FALSE,"200006","RL"
"rl_new_good_deck_ratio",0.684931506849315,0.737770063402436,0.0487323553010863,0.664201877934272,0.842727272727273,0.85,FALSE,"200006","RL"
"rl_new_bad_deck_ratio",0.315068493150685,0.262229936597564,0.0487323553010863,0.157272727272727,0.335798122065728,0.16,FALSE,"200006","RL"
"rl_avg_outcome",-10.5,-6.44888347491373,21.8662795355833,-48.7393076717455,27.1677835051546,0.61,FALSE,"200006","RL"
"rl_win_stay_ratio",0.295774647887324,0.205111282464532,0.0469687806127398,0.119092292089249,0.294242424242424,0.03,TRUE,"200006","RL"
"rl_lose_shift_ratio",0.619047619047619,0.821244333352444,0.0908758891583732,0.644852941176471,0.95,0.99,TRUE,"200006","RL"
"rl_total_money",-300,-370.5,1689.80671000316,-3307.5,2375,0.48,FALSE,"200436","RL"
"rl_skip_ratio",0.266666666666667,0.314416666666667,0.0622467371439897,0.203958333333333,0.437708333333333,0.76,FALSE,"200436","RL"
"rl_good_deck_ratio",0.556818181818182,0.521831294708953,0.0373356081280366,0.449242424242424,0.592362671660424,0.16,FALSE,"200436","RL"
"rl_new_good_deck_ratio",0.742424242424242,0.709442696100568,0.0493157756434793,0.61844262295082,0.809842995169082,0.23,FALSE,"200436","RL"
"rl_new_bad_deck_ratio",0.257575757575758,0.290557303899432,0.0493157756434793,0.190157004830918,0.38155737704918,0.77,FALSE,"200436","RL"
"rl_avg_outcome",-3.40909090909091,-4.98559112186636,21.0996106677749,-42.1284604176785,27.463066551922,0.47,FALSE,"200436","RL"
"rl_win_stay_ratio",0.2,0.178861397656375,0.0540044754090633,0.0898484848484848,0.279831768388106,0.32,FALSE,"200436","RL"
"rl_lose_shift_ratio",0.875,0.84666966784767,0.0796014448899978,0.6765625,0.978409090909091,0.44,FALSE,"200436","RL"
"rl_total_money",300,-257.25,1835.92205318024,-4706.25,2565.625,0.44,FALSE,"200438","RL"
"rl_skip_ratio",0.35,0.3935,0.0562155244143927,0.3,0.491666666666667,0.78,FALSE,"200438","RL"
"rl_good_deck_ratio",0.538461538461538,0.527007131492942,0.0433511627310497,0.450303270042194,0.617307692307692,0.37,FALSE,"200438","RL"
"rl_new_good_deck_ratio",0.75,0.699335127602406,0.0425011633876774,0.63114224137931,0.790088658414185,0.14,FALSE,"200438","RL"
"rl_new_bad_deck_ratio",0.25,0.300664872397594,0.0425011633876774,0.209911341585815,0.36885775862069,0.89,FALSE,"200438","RL"
"rl_avg_outcome",3.84615384615385,-3.72078417401158,25.9167604598938,-62.3747033227848,38.4044221817446,0.44,FALSE,"200438","RL"
"rl_win_stay_ratio",0.169491525423729,0.193825342066588,0.0526016932984223,0.106349206349206,0.297205882352941,0.67,FALSE,"200438","RL"
"rl_lose_shift_ratio",0.923076923076923,0.911224714741743,0.0753114617194357,0.756985294117647,1,0.54,FALSE,"200438","RL"
"rl_total_money",-575,-747.5,1934.19357820767,-4327.5,2771.875,0.48,FALSE,"200442","RL"
"rl_skip_ratio",0.266666666666667,0.26225,0.056301245518315,0.16625,0.38375,0.5,FALSE,"200442","RL"
"rl_good_deck_ratio",0.522727272727273,0.530197297185861,0.0402284505446879,0.451161578555473,0.610467479674797,0.63,FALSE,"200442","RL"
"rl_new_good_deck_ratio",0.73015873015873,0.720673525852788,0.0457445391601757,0.634087301587302,0.82089552238806,0.4,FALSE,"200442","RL"
