"statistic","observed","predicted_mean","predicted_sd","predicted_q025","predicted_q975","ppp_value","ppp_extreme","subject_id","component"
"rl_total_money",1150,-293,1795.76901733947,-4324.375,2816.875,0.15,FALSE,"200004","RL"
"rl_skip_ratio",0.208333333333333,0.297083333333333,0.0622300567758858,0.187291666666667,0.4,0.95,FALSE,"200004","RL"
"rl_good_deck_ratio",0.515789473684211,0.521808097280104,0.0374865865982292,0.451864147088866,0.591561895551257,0.62,FALSE,"200004","RL"
"rl_new_good_deck_ratio",0.720588235294118,0.705228767768418,0.0465077145682858,0.625620608899297,0.800448654037886,0.35,FALSE,"200004","RL"
"rl_new_bad_deck_ratio",0.279411764705882,0.294771232231581,0.0465077145682858,0.199551345962114,0.374379391100703,0.65,FALSE,"200004","RL"
"rl_avg_outcome",12.1052631578947,-3.75038345219596,21.630535978333,-56.3953125,29.9739010989011,0.17,FALSE,"200004","RL"
"rl_win_stay_ratio",0.27536231884058,0.206770709157339,0.0542387830213817,0.0983050847457627,0.30479242979243,0.12,FALSE,"200004","RL"
"rl_lose_shift_ratio",0.894736842105263,0.870947925368604,0.0762943894561636,0.718055555555556,1,0.41,FALSE,"200004","RL"
"rl_total_money",-875,-650,1644.02422627091,-3764.375,2290.625,0.59,FALSE,"200005","RL"
"rl_skip_ratio",0.241666666666667,0.308666666666667,0.0586740889091205,0.191666666666667,0.408333333333333,0.88,FALSE,"200005","RL"
"rl_good_deck_ratio",0.582417582417582,0.528396540518999,0.0364168637910411,0.473310810810811,0.606755915317559,0.09,FALSE,"200005","RL"
"rl_new_good_deck_ratio",0.736111111111111,0.715151959142107,0.0421901523250398,0.645632754342432,0.808764367816092,0.26,FALSE,"200005","RL"
"rl_new_bad_deck_ratio",0.263888888888889,0.284848040857893,0.0421901523250398,0.191235632183908,0.354367245657568,0.75,FALSE,"200005","RL"
"rl_avg_outcome",-9.61538461538461,-8.11427504385088,19.7091925756792,-45.6316137566138,25.8504635549872,0.58,FALSE,"200005","RL"
"rl_win_stay_ratio",0.257575757575758,0.209104946324603,0.0448658307069933,0.121230715287518,0.285,0.17,FALSE,"200005","RL"
"rl_lose_shift_ratio",0.894736842105263,0.867990713467968,0.0852146315762716,0.698496240601504,1,0.42,FALSE,"200005","RL"
"rl_total_money",2050,-677.5,1701.73151569663,-4275,2605,0.05,FALSE,"200007","RL"
"rl_skip_ratio",0.325,0.41325,0.0534722386199634,0.303958333333333,0.512708333333333,0.93,FALSE,"200007","RL"
"rl_good_deck_ratio",0.580246913580247,0.528115774133779,0.0348193317148306,0.464963942307692,0.594411764705882,0.06,FALSE,"200007","RL"
"rl_new_good_deck_ratio",0.746031746031746,0.698745391601356,0.0394892386772713,0.633851674641148,0.775305640455682,0.11,FALSE,"200007","RL"
"rl_new_bad_deck_ratio",0.253968253968254,0.301254608398644,0.0394892386772713,0.224694359544318,0.366148325358852,0.89,FALSE,"200007","RL"
"rl_avg_outcome",25.3086419753086,-10.1779291905887,24.1527938360542,-58.185741392077,35.3225740801042,0.06,FALSE,"200007","RL"
"rl_win_stay_ratio",0.111111111111111,0.15310874710002,0.0527025177738167,0.0594858156028369,0.24277358490566,0.82,FALSE,"200007","RL"
"rl_lose_shift_ratio",0.916666666666667,0.876752178334222,0.0756926341401898,0.702794117647059,1,0.37,FALSE,"200007","RL"
"rl_total_money",-150,-513.5,1815.52793056639,-3815.625,2769.375,0.46,FALSE,"200436","RL"
"rl_skip_ratio",0.308333333333333,0.329166666666667,0.0517713721272832,0.228958333333333,0.429791666666666,0.68,FALSE,"200436","RL"
"rl_good_deck_ratio",0.530120481927711,0.530382163932121,0.0416450544482355,0.449035150645624,0.607590361445783,0.5,FALSE,"200436","RL"
"rl_new_good_deck_ratio",0.733333333333333,0.725930033893693,0.0513453986081968,0.637216981132075,0.834924242424242,0.45,FALSE,"200436","RL"
"rl_new_bad_deck_ratio",0.266666666666667,0.274069966106307,0.0513453986081968,0.165075757575758,0.362783018867924,0.55,FALSE,"200436","RL"
"rl_avg_outcome",-1.80722891566265,-6.91131139218517,23.661743268579,-53.3247309197652,32.6777389277389,0.46,FALSE,"200436","RL"
"rl_win_stay_ratio",0.241935483870968,0.199961863853517,0.0522993257785231,0.108040935672515,0.309960402071276,0.17,FALSE,"200436","RL"
"rl_lose_shift_ratio",0.928571428571429,0.890323530661244,0.0810091357437949,0.738068181818182,1,0.39,FALSE,"200436","RL"
"rl_total_money",425,-570.25,1653.66403324511,-3876.25,2351.25,0.31,FALSE,"200439","RL"
"rl_skip_ratio",0.5,0.467333333333333,0.0402133758897327,0.395625,0.537708333333333,0.26,FALSE,"200439","RL"
"rl_good_deck_ratio",0.516666666666667,0.518394061014506,0.0325059976358466,0.455263506355932,0.576888809693514,0.5,FALSE,"200439","RL"
"rl_new_good_deck_ratio",0.688888888888889,0.678642876586082,0.0399928974374265,0.597765957446808,0.757490566037736,0.37,FALSE,"200439","RL"
"rl_new_bad_deck_ratio",0.311111111111111,0.321357123413918,0.0399928974374265,0.242509433962264,0.402234042553191,0.64,FALSE,"200439","RL"
"rl_avg_outcome",7.08333333333333,-8.78392164544163,25.7192608639255,-61.6028225806452,36.6807795698925,0.3,FALSE,"200439","RL"
