"statistic","observed","predicted_mean","predicted_sd","predicted_q025","predicted_q975","ppp_value","ppp_extreme","subject_id","component"
"total_money",1925,-239.75,1581.65419336015,-4019.375,2225,0.09,FALSE,"200952","RL"
"skip_ratio",0.391666666666667,0.414333333333333,0.0496491619436416,0.325,0.504375,0.7,FALSE,"200952","RL"
"good_deck_ratio",0.602739726027397,0.534885980300723,0.0395561799067941,0.45875,0.616481144934121,0.06,FALSE,"200952","RL"
"new_good_deck_ratio",0.733333333333333,0.698762459724751,0.0431298823467018,0.616440217391304,0.789973906061822,0.21,FALSE,"200952","RL"
"new_bad_deck_ratio",0.266666666666667,0.301237540275249,0.0431298823467018,0.210026093938177,0.383559782608695,0.79,FALSE,"200952","RL"
"avg_outcome",26.3698630136986,-3.56572551226092,22.4915076495014,-59.9478236607143,31.1707746478873,0.1,FALSE,"200952","RL"
"win_stay_ratio",0.175438596491228,0.123415046634862,0.0455927963691271,0.0434659090909091,0.212715340442986,0.14,FALSE,"200952","RL"
"lose_shift_ratio",0.923076923076923,0.916244453634563,0.068418723116305,0.776470588235294,1,0.52,FALSE,"200952","RL"
"has_rt_data",1,1,0,1,1,1,TRUE,"200952","SSM"
"mean_rt",0.997909814733846,0.995754545440169,0.0886858755867113,0.865294146261321,1.19771945579372,0.47,FALSE,"200952","SSM"
"median_rt",0.826908291356948,0.79249350528621,0.0839826464440616,0.639760154746425,0.983148023159937,0.37,FALSE,"200952","SSM"
"min_rt",0.256389602877611,0.264790351583143,0.0253128264182255,0.2111129471865,0.302855185831473,0.64,FALSE,"200952","SSM"
"max_rt",3.261553509877,3.94252761670886,0.885627013514013,2.67918371934554,5.954280107891,0.72,FALSE,"200952","SSM"
"rt_play_mean",0.934415130189273,0.947806886140128,0.0992331239794256,0.792414858609243,1.15983122661461,0.49,FALSE,"200952","SSM"
"rt_play_median",0.738986396952331,0.737656289082694,0.0902147195641884,0.594590468500126,0.920295368337807,0.52,FALSE,"200952","SSM"
"rt_play_quantiles_10%",0.373219846233374,0.370664896952203,0.0371771713496719,0.311803273066111,0.451268399911471,0.45,FALSE,"200952","SSM"
"rt_play_quantiles_30%",0.535823041201877,0.5273450941293,0.0598033372763278,0.427285739054149,0.657218294166256,0.37,FALSE,"200952","SSM"
"rt_play_quantiles_50%",0.738986396952331,0.737656289082694,0.0902147195641884,0.594590468500126,0.920295368337807,0.52,FALSE,"200952","SSM"
"rt_play_quantiles_70%",1.14890493769647,1.06584401299524,0.140483366431159,0.824158488473097,1.3674412646862,0.25,FALSE,"200952","SSM"
