"statistic","observed","predicted_mean","predicted_sd","predicted_q025","predicted_q975","ppp_value","ppp_extreme","subject_id","component"
"rl_total_money",-775,-295.5,1687.60102578252,-4131.875,2227.5,0.65,FALSE,"200002","RL"
"rl_skip_ratio",0.441666666666667,0.4625,0.051703581902937,0.366666666666667,0.554375,0.68,FALSE,"200002","RL"
"rl_good_deck_ratio",0.522388059701492,0.534241190848955,0.0468763601502818,0.445063616344507,0.607838983050847,0.63,FALSE,"200002","RL"
"rl_new_good_deck_ratio",0.714285714285714,0.702691663070149,0.0455720065014974,0.615795454545454,0.786988636363636,0.46,FALSE,"200002","RL"
"rl_new_bad_deck_ratio",0.285714285714286,0.297308336929851,0.0455720065014974,0.213011363636364,0.384204545454545,0.56,FALSE,"200002","RL"
"rl_avg_outcome",-11.5671641791045,-4.92210041258354,26.3409446239227,-65.7439329738059,34.4893032437047,0.65,FALSE,"200002","RL"
"rl_win_stay_ratio",0.145833333333333,0.142282333747279,0.0624766348095931,0.0224621212121212,0.257429245283019,0.52,FALSE,"200002","RL"
"rl_lose_shift_ratio",0.846153846153846,0.89687186716792,0.077973501261602,0.730151515151515,1,0.75,FALSE,"200002","RL"
"rl_total_money",-1300,-524,1899.17552552882,-4027.5,3121.875,0.63,FALSE,"200004","RL"
"rl_skip_ratio",0.283333333333333,0.301083333333333,0.0679965730799522,0.191666666666667,0.437708333333333,0.6,FALSE,"200004","RL"
"rl_good_deck_ratio",0.488372093023256,0.523836359050901,0.0350416339401003,0.461931348221671,0.592587209302326,0.84,FALSE,"200004","RL"
"rl_new_good_deck_ratio",0.688524590163934,0.713771884185274,0.0399690161439932,0.641666666666667,0.790912646675358,0.76,FALSE,"200004","RL"
"rl_new_bad_deck_ratio",0.311475409836066,0.286228115814726,0.0399690161439932,0.209087353324641,0.358333333333333,0.26,FALSE,"200004","RL"
"rl_avg_outcome",-15.1162790697674,-6.94793729931505,22.8737918555396,-50.6994047619048,35.6674382716049,0.61,FALSE,"200004","RL"
"rl_win_stay_ratio",0.0645161290322581,0.181259714739143,0.0455080948495567,0.103050595238095,0.270257496740548,1,TRUE,"200004","RL"
"rl_lose_shift_ratio",0.789473684210526,0.850933823191361,0.0914100288862705,0.663569518716578,1,0.77,FALSE,"200004","RL"
"rl_total_money",-1825,-426,1752.33221217273,-4535,2038.125,0.78,FALSE,"200005","RL"
"rl_skip_ratio",0.366666666666667,0.429416666666667,0.0593933864555448,0.295208333333333,0.537708333333333,0.89,FALSE,"200005","RL"
"rl_good_deck_ratio",0.565789473684211,0.52875722830368,0.0417032804718695,0.444424242424242,0.589639037433155,0.21,FALSE,"200005","RL"
"rl_new_good_deck_ratio",0.728813559322034,0.699025775891268,0.0463312355817797,0.60611156685808,0.776700680272109,0.27,FALSE,"200005","RL"
