"statistic","observed","predicted_mean","predicted_sd","predicted_q025","predicted_q975","ppp_value","ppp_extreme","subject_id","component"
"total_money",-100,-760.75,1633.47345951175,-4029.375,1926.25,0.35,FALSE,"200002","RL"
"skip_ratio",0.341666666666667,0.3915,0.0473183810024799,0.295625,0.475416666666666,0.9,FALSE,"200002","RL"
"good_deck_ratio",0.531645569620253,0.523226969398953,0.0371125809424316,0.450811298076923,0.593412162162162,0.41,FALSE,"200002","RL"
"new_good_deck_ratio",0.666666666666667,0.692875606311711,0.0383945674318468,0.62376179245283,0.770833333333333,0.76,FALSE,"200002","RL"
"new_bad_deck_ratio",0.333333333333333,0.307124393688289,0.0383945674318468,0.229166666666667,0.37623820754717,0.31,FALSE,"200002","RL"
"avg_outcome",-1.26582278481013,-10.8039561351391,22.5275959616584,-57.3436784241869,26.0890151515151,0.35,FALSE,"200002","RL"
"win_stay_ratio",0.114754098360656,0.155317006737343,0.0522369981844124,0.0599639855942377,0.252386363636364,0.78,FALSE,"200002","RL"
"lose_shift_ratio",0.933333333333333,0.919228652676872,0.0625687433041269,0.7875,1,0.53,FALSE,"200002","RL"
"has_rt_data",1,1,0,1,1,1,TRUE,"200002","SSM"
"mean_rt",0.531065627060111,0.501059207485448,0.0465499352472504,0.420393037505755,0.594515462582527,0.25,FALSE,"200002","SSM"
"median_rt",0.397610118332057,0.388314383030372,0.0394468155679511,0.309300451370147,0.455154188023495,0.39,FALSE,"200002","SSM"
"min_rt",0.0982307323098631,0.101367669396389,0.0112318631115682,0.0787719562422913,0.1212398254974,0.62,FALSE,"200002","SSM"
"max_rt",2.402078270224,2.04717965210822,0.443766378306521,1.45307310055197,3.09040310533254,0.2,FALSE,"200002","SSM"
"rt_play_mean",0.505956573345378,0.460469297915843,0.050723838743567,0.382799438637229,0.580631924422695,0.19,FALSE,"200002","SSM"
"rt_play_median",0.388196233642834,0.341618524650607,0.044218063727739,0.267767987821013,0.428447684837097,0.17,FALSE,"200002","SSM"
"rt_play_quantiles_10%",0.143884224550612,0.1527195797317,0.0180744685626518,0.125323749627694,0.193967052230171,0.65,FALSE,"200002","SSM"
"rt_play_quantiles_30%",0.252457049621698,0.236679680056468,0.0301973379031552,0.186175686131236,0.295572341811376,0.28,FALSE,"200002","SSM"
"rt_play_quantiles_50%",0.388196233642834,0.341618524650607,0.044218063727739,0.267767987821013,0.428447684837097,0.17,FALSE,"200002","SSM"
"rt_play_quantiles_70%",0.550675564560628,0.523279827094585,0.0710545694682641,0.414621861135975,0.692189500052641,0.31,FALSE,"200002","SSM"
"rt_play_quantiles_90%",0.995878549607242,0.911519062223346,0.13520962907227,0.691022343352333,1.18761207776578,0.25,FALSE,"200002","SSM"
"rt_skip_mean",0.579446486656792,0.565249954338289,0.0625798639780152,0.460983343670454,0.693938433478856,0.39,FALSE,"200002","SSM"
"rt_skip_median",0.458717010123379,0.467411144377654,0.062660331284146,0.352830903895176,0.615975172072747,0.52,FALSE,"200002","SSM"
"rt_skip_quantiles_10%",0.195740568211549,0.213266408441366,0.03133851540511,0.162249254196895,0.26828697032979,0.69,FALSE,"200002","SSM"
"rt_skip_quantiles_30%",0.310036432486483,0.334554215102871,0.0457949544605682,0.264097805679364,0.43746688779028,0.67,FALSE,"200002","SSM"
"rt_skip_quantiles_50%",0.458717010123379,0.467411144377654,0.062660331284146,0.352830903895176,0.615975172072747,0.52,FALSE,"200002","SSM"
"rt_skip_quantiles_70%",0.646635676073375,0.655769554293798,0.0929685331646897,0.484529341158031,0.858948562715235,0.49,FALSE,"200002","SSM"
"rt_skip_quantiles_90%",1.12083206450032,1.0425194966478,0.168252178726739,0.746709904394953,1.42768638098602,0.28,FALSE,"200002","SSM"
"choice_prob",0.658333333333333,0.6085,0.0473183810024799,0.524583333333333,0.704375,0.11,FALSE,"200002","SSM"
"total_money",1600,-165,1924.29640821435,-4652.5,2683.75,0.15,FALSE,"200004","RL"
"skip_ratio",0.191666666666667,0.248166666666667,0.0574619866539023,0.166666666666667,0.346041666666667,0.84,FALSE,"200004","RL"
"good_deck_ratio",0.536082474226804,0.546362387468993,0.0399798148836115,0.476453488372093,0.624137931034482,0.62,FALSE,"200004","RL"
"new_good_deck_ratio",0.742857142857143,0.751112298741931,0.0473238947495513,0.661666666666667,0.8375,0.57,FALSE,"200004","RL"
"new_bad_deck_ratio",0.257142857142857,0.248887701258069,0.0473238947495513,0.1625,0.338333333333333,0.43,FALSE,"200004","RL"
"avg_outcome",16.4948453608247,-2.32768149702064,22.0970303127976,-57.7876647527078,28.0802325581395,0.17,FALSE,"200004","RL"
"win_stay_ratio",0.171052631578947,0.192010183070065,0.0408190075781943,0.106046277665996,0.271313559322034,0.67,FALSE,"200004","RL"
"lose_shift_ratio",0.888888888888889,0.843001291484573,0.0830637710732651,0.666666666666667,0.956380952380952,0.32,FALSE,"200004","RL"
"has_rt_data",1,1,0,1,1,1,TRUE,"200004","SSM"
"mean_rt",0.415291634695413,0.404191897764721,0.0407115687662897,0.342952222948577,0.483712491022821,0.35,FALSE,"200004","SSM"
