"statistic","observed","predicted_mean","predicted_sd","predicted_q025","predicted_q975","ppp_value","ppp_extreme","subject_id","component"
"rl_total_money",-2575,-42.25,1874.15197994704,-3664.375,2991.875,0.88,FALSE,"200006","RL"
"rl_skip_ratio",0.15,0.202166666666667,0.0603908426175184,0.0833333333333333,0.308333333333333,0.8,FALSE,"200006","RL"
"rl_good_deck_ratio",0.558823529411765,0.551065211348939,0.0391365902561994,0.482360521528199,0.62164641943734,0.42,FALSE,"200006","RL"
"rl_new_good_deck_ratio",0.76,0.76159128655159,0.0625429048367677,0.655658227848101,0.885309139784946,0.46,FALSE,"200006","RL"
"rl_new_bad_deck_ratio",0.24,0.23840871344841,0.0625429048367677,0.114690860215054,0.344341772151899,0.54,FALSE,"200006","RL"
"rl_avg_outcome",-25.2450980392157,-0.780776240312158,19.9210528366792,-40.5234072189922,30.6780389908257,0.86,FALSE,"200006","RL"
"rl_win_stay_ratio",0.243243243243243,0.210962892512618,0.043253555071657,0.105753268312928,0.276630434782609,0.23,FALSE,"200006","RL"
"rl_lose_shift_ratio",0.80952380952381,0.821471295110193,0.0918091195300375,0.607352941176471,0.95125,0.61,FALSE,"200006","RL"
"rl_total_money",-3050,-391.5,1692.74006846708,-4216.875,2378.75,0.96,TRUE,"200439","RL"
"rl_skip_ratio",0.483333333333333,0.47675,0.0398209904379748,0.387291666666667,0.55,0.46,FALSE,"200439","RL"
"rl_good_deck_ratio",0.532258064516129,0.528366572567218,0.0450833491148886,0.447103076577588,0.603174603174603,0.44,FALSE,"200439","RL"
"rl_new_good_deck_ratio",0.717391304347826,0.687014179425405,0.0522141293484142,0.588833992094862,0.793936170212766,0.28,FALSE,"200439","RL"
"rl_new_bad_deck_ratio",0.282608695652174,0.312985820574595,0.0522141293484142,0.206063829787234,0.411166007905138,0.74,FALSE,"200439","RL"
"rl_avg_outcome",-49.1935483870968,-6.49406508725706,27.5948807261958,-66.6810344827586,32.43125,0.97,TRUE,"200439","RL"
"rl_win_stay_ratio",0.0930232558139535,0.111340574054139,0.0475565704502254,0.0459566596194503,0.214102564102564,0.62,FALSE,"200439","RL"
"rl_lose_shift_ratio",0.9375,0.900369987125018,0.0810576649759719,0.706785714285714,1,0.34,FALSE,"200439","RL"
"rl_total_money",250,-446.75,1435.677500821,-3201.25,1940.625,0.32,FALSE,"200444","RL"
"rl_skip_ratio",0.475,0.48375,0.0417150392611725,0.403541666666667,0.55875,0.59,FALSE,"200444","RL"
"rl_good_deck_ratio",0.603174603174603,0.530917084760932,0.0410924978357404,0.457867132867133,0.608948087431694,0.05,FALSE,"200444","RL"
"rl_new_good_deck_ratio",0.716981132075472,0.693340205912917,0.0459238178424036,0.608248081841432,0.779545454545454,0.32,FALSE,"200444","RL"
"rl_new_bad_deck_ratio",0.283018867924528,0.306659794087083,0.0459238178424036,0.220454545454545,0.391751918158568,0.7,FALSE,"200444","RL"
"rl_avg_outcome",3.96825396825397,-7.56072789359339,23.6272675276061,-59.4908997252747,29.3518907563025,0.31,FALSE,"200444","RL"
"rl_win_stay_ratio",0.106382978723404,0.123441090232242,0.0491091079607029,0.0253048780487805,0.211538461538462,0.64,FALSE,"200444","RL"
"rl_lose_shift_ratio",1,0.918148068651484,0.0794371992942192,0.720454545454545,1,0.28,FALSE,"200444","RL"
"rl_total_money",2650,-499,1796.62253276879,-3720.625,3053.75,0.04,TRUE,"200447","RL"
"rl_skip_ratio",0.258333333333333,0.359666666666667,0.0572802980762078,0.253958333333333,0.458333333333333,0.97,TRUE,"200447","RL"
"rl_good_deck_ratio",0.49438202247191,0.531711675761056,0.043015546034304,0.458471275559883,0.622542997542997,0.78,FALSE,"200447","RL"
"rl_new_good_deck_ratio",0.709677419354839,0.718019765930833,0.0448685358847601,0.636295928500497,0.809954844006568,0.56,FALSE,"200447","RL"
"rl_new_bad_deck_ratio",0.290322580645161,0.281980234069167,0.04486853588476,0.190045155993432,0.363704071499503,0.45,FALSE,"200447","RL"
"rl_avg_outcome",29.7752808988764,-6.66276479085723,22.9588815976748,-49.4390243902439,39.5047752808989,0.04,TRUE,"200447","RL"
"rl_win_stay_ratio",0.161290322580645,0.172378766635079,0.0521994183445528,0.0700512295081967,0.272727272727273,0.59,FALSE,"200447","RL"
"rl_lose_shift_ratio",0.8,0.896406056689904,0.0746740689692081,0.735416666666667,1,0.92,FALSE,"200447","RL"
"rl_total_money",-1825,-388,1510.6209840909,-3583.75,2480,0.85,FALSE,"200448","RL"
"rl_skip_ratio",0.416666666666667,0.45825,0.0542587924159138,0.358333333333333,0.554375,0.78,FALSE,"200448","RL"
"rl_good_deck_ratio",0.6,0.53749276488776,0.0424489934129361,0.44659030720339,0.598333333333333,0.03,TRUE,"200448","RL"
"rl_new_good_deck_ratio",0.736842105263158,0.726874633186037,0.0427746752876193,0.642149595687332,0.811697635135135,0.42,FALSE,"200448","RL"
"rl_new_bad_deck_ratio",0.263157894736842,0.273125366813963,0.0427746752876193,0.188302364864865,0.357850404312668,0.58,FALSE,"200448","RL"
