"statistic","observed","predicted_mean","predicted_sd","predicted_q025","predicted_q975","ppp_value","ppp_extreme","subject_id","component"
"rl_total_money",500,61.25,1455.85883136679,-2920.625,2605,0.41,FALSE,"200001","RL"
"rl_skip_ratio",0.358333333333333,0.389583333333333,0.0634357558309595,0.283333333333333,0.525,0.7,FALSE,"200001","RL"
"rl_good_deck_ratio",0.519480519480519,0.547617505753008,0.047034425723637,0.457708333333333,0.646448863636363,0.74,FALSE,"200001","RL"
"rl_new_good_deck_ratio",0.740740740740741,0.758267626588322,0.067516146026523,0.640716981132075,0.909943181818182,0.63,FALSE,"200001","RL"
"rl_new_bad_deck_ratio",0.259259259259259,0.241732373411678,0.067516146026523,0.0900568181818182,0.359283018867924,0.37,FALSE,"200001","RL"
"rl_avg_outcome",6.49350649350649,0.704985126913911,19.9452483210315,-40.6360638667129,36.8976449275362,0.4,FALSE,"200001","RL"
"rl_win_stay_ratio",0.120689655172414,0.14416685850794,0.0488735410806037,0.0660454545454545,0.248278985507246,0.67,FALSE,"200001","RL"
"rl_lose_shift_ratio",0.875,0.862498035676054,0.0897999774344267,0.678846153846154,1,0.53,FALSE,"200001","RL"
"rl_total_money",-75,513.5,1234.92638720621,-1778.75,2865.625,0.7,FALSE,"200002","RL"
"rl_skip_ratio",0.616666666666667,0.634833333333333,0.0846394279999936,0.466666666666667,0.800416666666667,0.61,FALSE,"200002","RL"
"rl_good_deck_ratio",0.673913043478261,0.637140696192395,0.106683551624961,0.427287581699346,0.840064102564102,0.4,FALSE,"200002","RL"
"rl_new_good_deck_ratio",0.815789473684211,0.852778477544624,0.0614014474144474,0.73502331002331,0.925,0.81,FALSE,"200002","RL"
"rl_new_bad_deck_ratio",0.184210526315789,0.147221522455376,0.0614014474144474,0.075,0.26497668997669,0.19,FALSE,"200002","RL"
"rl_avg_outcome",-1.6304347826087,9.53899557197914,27.6255508364703,-45.5555555555556,56.71875,0.69,FALSE,"200002","RL"
"rl_win_stay_ratio",0.117647058823529,0.10212106758288,0.0542905409796971,0,0.196346153846154,0.39,FALSE,"200002","RL"
"rl_lose_shift_ratio",1,0.888498917748918,0.113079723503845,0.631666666666667,1,0.4,FALSE,"200002","RL"
"rl_total_money",1200,-123.5,1778.54362449798,-3818.75,3076.25,0.24,FALSE,"200005","RL"
"rl_skip_ratio",0.35,0.40175,0.0679102757729311,0.275,0.525416666666667,0.81,FALSE,"200005","RL"
"rl_good_deck_ratio",0.564102564102564,0.570393501991788,0.0554600570753297,0.489980158730159,0.69708317472402,0.53,FALSE,"200005","RL"
"rl_new_good_deck_ratio",0.814814814814815,0.790126347231418,0.0669548696328792,0.674643046007404,0.926875,0.37,FALSE,"200005","RL"
"rl_new_bad_deck_ratio",0.185185185185185,0.209873652768582,0.0669548696328792,0.073125,0.325356953992596,0.63,FALSE,"200005","RL"
"rl_avg_outcome",15.3846153846154,-3.12037948633573,25.9553691462095,-60.3248106060606,40.0522727272727,0.24,FALSE,"200005","RL"
"rl_win_stay_ratio",0.19672131147541,0.167714186874003,0.0497685714641637,0.0705564784053156,0.266970443349754,0.28,FALSE,"200005","RL"
"rl_lose_shift_ratio",0.785714285714286,0.88583775619805,0.07205492597368,0.74125,1,0.92,FALSE,"200005","RL"
"rl_total_money",50,-309.25,1755.47719705895,-4117.5,2670.625,0.43,FALSE,"200007","RL"
"rl_skip_ratio",0.3,0.366083333333333,0.0622287041176467,0.25,0.491666666666667,0.84,FALSE,"200007","RL"
